Subject,Experience Sampling Questions Response Time,GoNoGo Task Response Time,GoNoGo Task Accuracy,Finger Tapping Task Response Time,Finger Tapping Task Accuracy,One-Back Task Response Time,One-Back Task Accuracy,Zero-Back Task Response Time,Zero-Back Task Accuracy,Hard Math Task Response Time,Hard Math Task Accuracy,Easy Math Task Response Time,Easy Math Task Accuracy,Friend Task Response Time,Friend Task Sentiment,You Task Response Time,You Task Sentiment
subject001,3.9393978847402686,0.9755759411764658,0.10784313725490197,Nan,0.0,1.8023157000000083,0.7,1.4438332499999547,1.0,2.1456194878048844,0.7560975609756098,1.9251790911111117,0.9333333333333333,Nan,0.475,Nan,0.43636363636363634
subject002,4.312669480519511,0.9775898854166437,0.4479166666666667,Nan,1.0,1.4828077499998358,0.875,0.6538496666667015,1.0,2.111587022727282,0.8636363636363636,1.9565173324999996,0.95,Nan,0.875,Nan,0.7068965517241379
subject003,3.9739717824675167,1.023464475247526,0.8712871287128713,Nan,1.0,1.5200336999998854,0.7,0.561405555555464,1.0,2.229038878048763,1.0,1.8687394204545453,1.0,Nan,0.6756756756756757,Nan,0.627906976744186
subject004,4.892287058441555,0.9719054954954806,0.9369369369369369,Nan,1.0,0.9335708749999867,0.75,0.5573797777778964,0.6666666666666666,2.0931711904762174,0.9761904761904762,1.855824277499999,0.975,Nan,0.9714285714285714,Nan,0.7446808510638298
subject005,5.060137094155872,1.0264577391304042,0.9130434782608695,Nan,1.0,1.2364628749999724,0.875,1.1939111249999428,0.875,2.2081447111110215,0.9772727272727273,1.8575868377777767,0.9777777777777777,Nan,0.725,Nan,0.8048780487804879
subject006,4.060922122077917,0.9990319813084434,0.19626168224299065,Nan,1.0,1.600904775,0.75,1.1343951142857642,1.0,2.414453268292685,0.9512195121951219,2.082454712820513,0.8918918918918919,Nan,0.4666666666666667,Nan,0.6
subject007,4.284652844155862,1.0235483225806385,0.5913978494623656,Nan,1.0,2.7109198181819507,0.45454545454545453,0.7806757777777117,0.8888888888888888,2.371257309523788,0.9024390243902439,1.9411198419999989,0.98,Nan,0.9,Nan,0.5833333333333334
subject008,3.963356848051941,1.0032654090908915,0.6590909090909091,Nan,1.0,1.7295808222222098,0.7777777777777778,0.5269426400000071,1.0,3.0808461891891707,0.8484848484848485,2.0276304149999986,0.9230769230769231,Nan,0.8,Nan,0.6666666666666666
subject009,7.455176480519475,0.9853102815533965,0.4563106796116505,Nan,0.9777777777777777,2.3382605555555833,0.7777777777777778,0.8060732499998267,1.0,2.575376512195229,0.8536585365853658,2.0412642645833325,0.9574468085106383,Nan,0.9,Nan,0.6551724137931034
subject010,3.3226342879870105,0.9509440178571376,0.9017857142857143,Nan,1.0,1.8912117500000818,0.75,1.1522207499999126,1.0,1.9830916956521665,1.0,1.8556621895833325,0.9583333333333334,Nan,0.8064516129032258,Nan,0.6326530612244898
subject011,3.7041185123377027,1.0574752438093475,0.7904761904761904,Nan,1.0,2.754339530000107,0.0,1.9504094222221384,0.0,2.8617779277776916,0.8857142857142857,1.9784915399999186,0.9772727272727273,Nan,0.8,Nan,0.7446808510638298
subject012,5.469724360714458,1.0522120760416935,0.96875,Nan,1.0,0.7695078125016153,0.0,0.4845782333326901,0.0,2.2801618439013356,0.7073170731707317,1.81960953170719,1.0,Nan,0.975609756097561,Nan,0.7272727272727273
subject013,5.407127104869746,1.009113654999528,0.95,Nan,1.0,1.4932644444504857,0.0,0.7963703333306411,0.0,1.9503032770847615,0.9791666666666666,1.8516431460011518,0.94,Nan,0.8571428571428571,Nan,0.7
subject014,4.335399722078293,0.9946149806123779,0.8163265306122449,Nan,1.0,1.2387130777788116,0.0,0.5639851299958536,0.0,2.6638259750007736,0.9069767441860465,2.0034126127643406,1.0,Nan,0.9142857142857143,Nan,0.8958333333333334
subject015,5.127330301622705,0.9759853029722177,0.5742574257425742,Nan,1.0,1.2234328999948048,0.0,1.0641108333333653,0.0,1.9691911978718943,0.9361702127659575,1.828714637208979,0.9534883720930233,Nan,0.8333333333333334,Nan,0.6415094339622641
subject016,3.9265497162337777,0.979325013265299,0.5612244897959183,Nan,1.0,0.9957988750000482,0.0,0.5422098624999308,0.0,2.2903181833333703,0.7619047619047619,2.056390900000057,0.9148936170212766,Nan,0.7631578947368421,Nan,0.6851851851851852
subject017,3.81157668441528,1.0531620229163916,0.34375,Nan,1.0,1.7748923124927387,0.0,1.3060071666744382,0.0,2.4480541883730926,0.7441860465116279,1.894589895744154,0.9782608695652174,Nan,0.7777777777777778,Nan,0.7843137254901961
subject018,5.574297959091937,1.0247861943191146,0.4431818181818182,Nan,1.0,1.8671895363579758,0.0,2.3049536000035005,0.0,2.0387618954535522,1.0,1.865588223998784,1.0,Nan,0.9354838709677419,Nan,0.7954545454545454
subject019,5.163691901297395,0.9689872000034158,0.6893203883495146,Nan,1.0,2.4326247888901786,0.0,1.298914588884347,0.0,2.2750055333356918,0.7916666666666666,1.9800896933302283,0.9555555555555556,Nan,0.8604651162790697,Nan,0.6415094339622641
subject020,4.902982494482005,0.9631107079522653,0.9090909090909091,Nan,1.0,1.0653909888868738,0.0,0.6225519428428795,0.0,2.0006772152176024,0.7391304347826086,1.8576221000042832,0.8809523809523809,Nan,0.59375,Nan,0.5918367346938775
subject021,4.625023026624468,1.0228129196413127,0.8660714285714286,Nan,1.0,1.056256387513713,0.0,0.8894003124878509,0.0,2.0260261612188795,0.9791666666666666,1.8888947512207712,1.0,Nan,0.6875,Nan,0.3617021276595745
subject022,4.570638117205061,0.9996795634551046,0.9326923076923077,Nan,1.0,3.453809459984768,0.0,1.4955349111049954,0.0,2.2643835090857465,0.9090909090909091,1.9746178477229974,0.9545454545454546,Nan,0.8235294117647058,Nan,0.8958333333333334
subject023,2.2200922204544216,0.9722126476189477,0.7904761904761904,Nan,0.9555555555555556,1.7817013700027018,0.0,3.1299635800009127,0.0,3.0175295550008743,0.5555555555555556,2.0603401512825466,0.8648648648648649,Nan,0.5405405405405406,Nan,0.7169811320754716
subject024,3.530621311039582,1.0075243386108022,0.7722772277227723,Nan,1.0,1.2806428889097232,0.0,1.4876567111221246,0.0,2.114846666666886,0.7727272727272727,1.8970968822146663,0.9777777777777777,Nan,0.8484848484848485,Nan,0.8043478260869565
subject025,5.531794056167082,1.0464579255144322,0.9285714285714286,Nan,1.0,1.9911405400373041,0.0,0.7308156454554674,0.0,2.0398387755053498,0.8775510204081632,1.961892863417544,1.0,Nan,0.8,Nan,0.7380952380952381
subject026,5.7890152967536945,1.0506135305261093,0.6210526315789474,Nan,1.0,2.0140492875016207,0.0,2.1705967749985575,0.0,2.5986875227274804,0.8181818181818182,1.9376996973675744,0.9736842105263158,Nan,0.8529411764705882,Nan,0.6590909090909091
subject027,4.684301148379651,0.9891564184404205,0.9223300970873787,Nan,1.0,1.3766977000166662,0.0,0.5236774285523487,0.0,2.3853710918825723,0.972972972972973,1.8641437459969894,0.92,Nan,0.6590909090909091,Nan,0.75
subject028,1.639075534742147,1.030181984905865,0.9245283018867925,Nan,1.0,0.9595394444444941,0.0,0.8481689444355046,0.0,2.5125584435852195,0.5128205128205128,1.967804478052663,0.975,Nan,0.8387096774193549,Nan,0.6607142857142857
subject029,3.0543062168826154,0.9482314244675589,0.5851063829787234,Nan,1.0,1.8775439111114893,0.0,1.3841047444471366,0.0,2.591547512821331,0.7894736842105263,2.0506016162787915,0.9512195121951219,Nan,0.8285714285714286,Nan,0.5348837209302325
subject030,4.3132997668838104,1.0269319606409903,0.6808510638297872,Nan,1.0,1.6664191125018988,0.0,1.1587730777553387,0.0,1.9344843854026597,1.0,1.8269604921509859,1.0,Nan,0.6764705882352942,Nan,0.7457627118644068
subject031,4.808988860389331,1.0616267728071667,0.5701754385964912,Nan,1.0,1.4339272888901178,0.0,0.5679192375009734,0.0,2.617349325581779,0.8372093023255814,1.9249127872348293,0.8913043478260869,Nan,0.925,Nan,0.7962962962962963
