Task_name,Participant #,Runtime_mod,Absorption_response,Other_response,Problem_response,Modality_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Reading Task,subject001,-15,6.799999999999997,1.0,3.0000000000000124,6.700000000000012,8.000000000000007,10.0,7.899999999999997,8.300000000000006,8.0,1.0,5.0,5.000000000000018,1.0,8.800000000000004,-0.19586954,-0.014883893,0.326889586
Reading Task,subject001,5,7.10000000000001,9.0,2.2000000000000117,7.799999999999994,7.399999999999992,4.800000000000007,4.70000000000001,3.6000000000000094,5.700000000000008,7.20000000000001,2.5000000000000084,6.399999999999998,3.000000000000001,7.899999999999991,-0.19586954,-0.014883893,0.326889586
Memory Task,subject001,11,9.500000000000002,10.0,1.0,4.100000000000001,10.0,5.399999999999999,2.6000000000000005,9.300000000000002,10.0,9.0,1.0,10.0,7.000000000000011,10.0,-0.036691414,0.115884583,0.323863964
Memory Task,subject001,-13,1.8999999999999992,9.999999999999982,1.0,2.4000000000000155,9.799999999999986,6.0,2.300000000000001,3.7000000000000095,6.599999999999995,7.899999999999993,5.6000000000000085,9.299999999999992,8.199999999999996,8.600000000000005,-0.036691414,0.115884583,0.323863964
Movie Task,subject001,12,5.2,5.2,1.7999999999999998,2.5999999999999974,7.800000000000001,7.099999999999996,6.599999999999994,3.800000000000006,6.9000000000000075,4.600000000000017,1.0,6.599999999999998,1.100000000000001,6.700000000000008,-0.304622372,0.279657292,0.266021512
Movie Task,subject001,-7,6.899999999999995,4.900000000000002,1.0,5.100000000000001,1.800000000000001,1.6999999999999984,1.1000000000000152,1.0,5.000000000000007,7.900000000000004,2.0,10.0,2.4000000000000155,7.8999999999999915,-0.304622372,0.279657292,0.266021512
GoNoGo Task,subject001,9,8.0,1.0,1.0,10.0,1.0,7.499999999999994,8.899999999999988,4.800000000000014,1.5000000000000009,2.0,2.100000000000008,1.0,5.0,1.9999999999999973,-0.317026634,0.036363877,-0.159409951
GoNoGo Task,subject001,-12,4.700000000000017,1.0,6.799999999999995,7.999999999999991,1.0,1.0,2.0000000000000044,1.2999999999999976,3.200000000000002,1.800000000000001,1.0,6.099999999999998,2.600000000000012,3.0,-0.317026634,0.036363877,-0.159409951
Finger Tapping Task,subject001,-8,1.4999999999999993,3.5000000000000164,10.0,4.70000000000001,1.0,7.899999999999991,3.900000000000017,1.4000000000000001,2.499999999999998,4.200000000000006,1.0,1.5000000000000115,1.0,7.99999999999999,-0.090963611,-0.241336271,-0.170440706
Finger Tapping Task,subject001,10,10.0,9.399999999999986,9.099999999999993,6.0,9.899999999999984,10.0,9.999999999999996,9.599999999999987,1.5999999999999974,4.300000000000001,8.399999999999991,1.6999999999999984,9.699999999999994,8.199999999999992,-0.090963611,-0.241336271,-0.170440706
One-Back Task,subject001,9,6.799999999999995,9.0,2.200000000000008,7.899999999999992,2.0999999999999974,10.0,5.899999999999997,7.599999999999992,1.7999999999999994,1.0,7.0,2.0,2.599999999999998,7.899999999999991,-0.009917203,-0.030030693,-0.537271814
One-Back Task,subject001,6,7.299999999999994,8.09999999999999,1.1999999999999984,9.999999999999986,2.6000000000000014,9.599999999999985,1.9000000000000008,1.6999999999999984,1.9000000000000044,1.3000000000000012,6.600000000000012,1.900000000000008,6.899999999999995,3.0000000000000053,-0.009917203,-0.030030693,-0.537271814
Zero-Back Task,subject001,-5,9.599999999999985,9.899999999999984,1.500000000000008,1.1000000000000152,9.0,8.79999999999999,6.1,6.200000000000003,8.800000000000004,7.999999999999989,2.2000000000000153,5.100000000000017,1.4000000000000046,6.499999999999997,0.092938575,-0.060981684,-0.3893953
Zero-Back Task,subject001,-6,8.399999999999988,6.7999999999999945,1.0,5.6000000000000085,4.4,9.299999999999999,6.0,6.299999999999997,9.0,9.0,8.0,7.79999999999999,6.30000000000001,3.5000000000000058,0.092938575,-0.060981684,-0.3893953
Hard Math Task,subject001,5,9.399999999999999,1.0,10.0,4.70000000000001,7.399999999999993,1.4999999999999984,1.1999999999999984,1.3000000000000083,1.0,3.8000000000000096,1.0,8.09999999999999,2.200000000000008,8.89999999999999,-0.275799256,0.402382604,-0.407382308
Hard Math Task,subject001,-12,10.0,4.0,9.0,6.0,8.300000000000002,8.0,7.99999999999999,8.399999999999995,4.00000000000001,3.0,1.0,3.5000000000000164,4.0,1.7999999999999976,-0.275799256,0.402382604,-0.407382308
Easy Math Task,subject001,5,1.6999999999999993,7.599999999999992,2.1999999999999975,3.8000000000000167,2.0,8.699999999999989,7.899999999999993,8.0,6.800000000000008,4.0,3.500000000000002,1.7999999999999985,5.0,7.599999999999994,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject001,-5,10.0,3.0,2.0,5.100000000000014,2.0,8.99999999999999,3.0,3.899999999999999,8.799999999999986,9.0,2.100000000000015,7.199999999999993,6.600000000000012,3.0999999999999983,-0.124954138,0.332221971,-0.020870498
Friend Task,subject001,14,9.499999999999991,10.0,1.0,1.0,5.0,5.30000000000001,4.500000000000011,8.999999999999996,1.2999999999999994,6.4999999999999964,6.3000000000000025,8.999999999999996,7.0,9.499999999999991,0.066232149,0.061472746,0.208836055
Friend Task,subject001,9,9.199999999999992,9.399999999999995,4.600000000000017,2.1999999999999984,4.200000000000003,8.9,6.9000000000000075,4.000000000000003,1.0,7.699999999999994,7.3999999999999915,3.3000000000000127,8.200000000000006,5.699999999999998,0.066232149,0.061472746,0.208836055
You Task,subject001,-13,3.0,9.0,3.8000000000000167,8.69999999999999,3.0,7.200000000000006,7.700000000000008,7.500000000000009,9.0,7.399999999999992,2.3999999999999977,4.000000000000003,2.0,10.0,-0.068696902,0.051619026,0.141604039
You Task,subject001,15,4.0,7.0,10.0,1.8999999999999984,4.8000000000000105,7.30000000000001,4.100000000000003,2.0,4.0,5.500000000000012,5.0,9.9,8.0,8.0,-0.068696902,0.051619026,0.141604039
Easy Math Task,subject002,-6,10.0,1.3999999999999995,7.299999999999995,10.0,6.799999999999994,3.4000000000000163,1.5999999999999983,3.0,8.49999999999999,6.6000000000000085,6.800000000000004,7.8999999999999915,5.999999999999997,10.0,-0.124954138,0.332221971,-0.020870498
Easy Math Task,subject002,-14,9.499999999999984,3.4000000000000092,8.0,10.0,7.099999999999996,2.4999999999999996,1.9000000000000115,1.0,8.700000000000005,7.0999999999999925,8.399999999999991,10.0,3.0,6.399999999999999,-0.124954138,0.332221971,-0.020870498
Hard Math Task,subject002,7,8.99999999999999,8.99999999999999,4.800000000000007,10.0,3.1000000000000054,10.0,9.0,8.0,2.600000000000012,2.5999999999999988,9.299999999999985,2.600000000000005,5.0000000000000036,6.000000000000014,-0.275799256,0.402382604,-0.407382308
