METADATA:
Experiment Seed,Subject
1474741,001geora
Time after setup,7.358798100030981
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,9
EXPERIMENT DATA:,GoNoGo Task
Start Time,72.57693700003438
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,227.29094960005023
ESQ,261.44720320001943,,Other_response,1.0,Experience Sampling Questions,1,001geora,,Marker Started at 7,GoNoGo Task
ESQ,269.82058430003235,,Self_response,7.99999999999999,Experience Sampling Questions,1,001geora,,Marker Started at 4,GoNoGo Task
ESQ,284.51437440002337,,Emotion_response,4.300000000000013,Experience Sampling Questions,1,001geora,,Marker Started at 9,GoNoGo Task
ESQ,295.2423813000205,,Distracting_response,3.6000000000000094,Experience Sampling Questions,1,001geora,,Marker Started at 8,GoNoGo Task
ESQ,306.3011318000499,,Sounds_response,8.199999999999989,Experience Sampling Questions,1,001geora,,Marker Started at 4,GoNoGo Task
ESQ,324.2320963999955,,Knowledge_response,5.3,Experience Sampling Questions,1,001geora,,Marker Started at 4,GoNoGo Task
ESQ,330.3525402000523,,Images_response,9.0,Experience Sampling Questions,1,001geora,,Marker Started at 9,GoNoGo Task
ESQ,338.1597524000099,,Words_response,9.099999999999989,Experience Sampling Questions,1,001geora,,Marker Started at 2,GoNoGo Task
ESQ,345.99927440000465,,Past_response,7.1,Experience Sampling Questions,1,001geora,,Marker Started at 7,GoNoGo Task
ESQ,353.1364424000494,,Deliberate_response,3.6000000000000023,Experience Sampling Questions,1,001geora,,Marker Started at 6,GoNoGo Task
ESQ,363.6301419000374,,Intrusive_response,3.500000000000002,Experience Sampling Questions,1,001geora,,Marker Started at 6,GoNoGo Task
ESQ,371.7845889000455,,Absorption_response,9.399999999999999,Experience Sampling Questions,1,001geora,,Marker Started at 9,GoNoGo Task
ESQ,386.33112889999757,,Focus_response,6.899999999999995,Experience Sampling Questions,1,001geora,,Marker Started at 3,GoNoGo Task
ESQ,396.5727298000129,,Detailed_response,2.699999999999999,Experience Sampling Questions,1,001geora,,Marker Started at 4,GoNoGo Task
ESQ,419.7745221000514,,Problem_response,8.89999999999999,Experience Sampling Questions,1,001geora,,Marker Started at 6,GoNoGo Task
ESQ,428.3483576000435,,Future_response,3.200000000000002,Experience Sampling Questions,1,001geora,,Marker Started at 6,GoNoGo Task
 
Runtime Mod,-8
EXPERIMENT DATA:,GoNoGo Task
Start Time,428.3665275000385
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,527.6105470000184
ESQ,542.9713320000446,,Future_response,1.5999999999999992,Experience Sampling Questions,1,001geora,,Marker Started at 3,GoNoGo Task
