METADATA:
Experiment Seed,Subject
1474741,001geora
Time after setup,7.358786199998576
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,72.57692490000045
gonogo START,72.57695820002118,,,,GoNoGo Task,1,001geora,,,
Go/NoGo Initialized,142.80321159999585,,,,GoNoGo Task,1,001geora,,,
Stimulus start,143.86370800004806,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,144.6220192000037,noResponse,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,145.1794285000069,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,146.43998020002618,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,147.4994766000309,,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus end,148.75870490004309,True,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus start,149.57009789999574,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,150.32650070003,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,150.89235270000063,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,151.89341440005228,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,152.94937470002333,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,153.96209800004726,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,154.5198174000252,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,155.28068540000822,noResponse,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,156.08514020004077,,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus end,157.34900149999885,True,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus start,158.40604160004295,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,159.1668397000176,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,160.22283929999685,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,161.2352984000463,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,162.2918903999962,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,163.05328660004307,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,163.85953270003665,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,165.12173950002762,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,165.6793592000031,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,166.43939290003618,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,167.2451476000133,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,168.25748220004607,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,168.8132048000116,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,169.82544690003851,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,170.38077129999874,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,171.1431975000305,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,172.2006229000399,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,172.9614658000064,noResponse,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,173.76538340002298,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,174.5292027000105,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,175.3355409000069,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,176.59753379999893,noResponse,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,177.65312370000174,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,178.41569450002862,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,178.973575800017,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,179.73338370001875,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,180.28793920000317,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,181.3012088999967,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,181.86095340002794,,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus end,182.86919580004178,False,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus start,183.67503959999885,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,184.68730500002857,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,185.7460262000095,,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus end,186.75481110002147,True,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus start,187.81216370000038,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,189.0741458000266,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,190.13103129999945,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,190.89230090001365,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,191.94820570002776,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,192.96049840003252,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,193.76693490002071,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,194.77849100000458,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,195.33414150000317,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,196.09569030004786,noResponse,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,197.1545266000321,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,198.4142255000188,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,199.2204418000183,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,199.98280590004288,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,201.0377114000148,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,201.80069679999724,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,202.35534270002972,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,203.6190501000383,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,204.67279820004478,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,205.43645620002644,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,206.49261070002103,,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus end,207.7560552000068,True,,,GoNoGo Task,1,001geora,,Type: NoGo,
Stimulus start,208.31484700000146,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,209.3235280000372,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,209.87924560002284,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,210.64113040000666,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,211.4477854000288,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,212.209154900047,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,212.76737730001332,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,214.027240800031,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,215.0809733000351,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,216.09489260002738,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,217.16345600003842,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,217.91372730000876,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,218.4680975000374,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,219.48137500003213,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,220.28787060000468,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,221.299753600033,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,222.1033599000075,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,223.36747180001112,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,224.1724820000236,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,225.18611650000094,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,226.24055940000108,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,227.25455740001053,False,,,GoNoGo Task,1,001geora,,Type: Go,
Go/NoGo Finished,227.27733559999615,,,,GoNoGo Task,1,001geora,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,227.29089500004193
ESQ,243.16935430001467,,Other_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,261.44720320001943,,Other_response,1.0,Experience Sampling Questions,1,001geora,,Marker Started at 7,GoNoGo Task
ESQ,261.4489733000519,,Self_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,269.82058430003235,,Self_response,7.99999999999999,Experience Sampling Questions,1,001geora,,Marker Started at 4,GoNoGo Task
ESQ,269.8212013000157,,Emotion_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,284.51437440002337,,Emotion_response,4.300000000000013,Experience Sampling Questions,1,001geora,,Marker Started at 9,GoNoGo Task
ESQ,284.515356500051,,Distracting_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,295.2423813000205,,Distracting_response,3.6000000000000094,Experience Sampling Questions,1,001geora,,Marker Started at 8,GoNoGo Task
ESQ,295.24395240005106,,Sounds_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,306.3011318000499,,Sounds_response,8.199999999999989,Experience Sampling Questions,1,001geora,,Marker Started at 4,GoNoGo Task
ESQ,306.30299090000335,,Knowledge_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,324.2320963999955,,Knowledge_response,5.3,Experience Sampling Questions,1,001geora,,Marker Started at 4,GoNoGo Task
ESQ,324.2339763000491,,Images_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,330.3525402000523,,Images_response,9.0,Experience Sampling Questions,1,001geora,,Marker Started at 9,GoNoGo Task
ESQ,330.35425730003044,,Words_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,338.1597524000099,,Words_response,9.099999999999989,Experience Sampling Questions,1,001geora,,Marker Started at 2,GoNoGo Task
ESQ,338.16148500004783,,Past_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,345.99927440000465,,Past_response,7.1,Experience Sampling Questions,1,001geora,,Marker Started at 7,GoNoGo Task
ESQ,346.0010515000322,,Deliberate_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,353.1364424000494,,Deliberate_response,3.6000000000000023,Experience Sampling Questions,1,001geora,,Marker Started at 6,GoNoGo Task
ESQ,353.13710540003376,,Intrusive_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,363.6301419000374,,Intrusive_response,3.500000000000002,Experience Sampling Questions,1,001geora,,Marker Started at 6,GoNoGo Task
ESQ,363.6317932000384,,Absorption_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,371.7845889000455,,Absorption_response,9.399999999999999,Experience Sampling Questions,1,001geora,,Marker Started at 9,GoNoGo Task
ESQ,371.7863454000326,,Focus_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,386.33112889999757,,Focus_response,6.899999999999995,Experience Sampling Questions,1,001geora,,Marker Started at 3,GoNoGo Task
ESQ,386.3329621000448,,Detailed_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,396.5727298000129,,Detailed_response,2.699999999999999,Experience Sampling Questions,1,001geora,,Marker Started at 4,GoNoGo Task
ESQ,396.5745528000407,,Problem_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,419.7745221000514,,Problem_response,8.89999999999999,Experience Sampling Questions,1,001geora,,Marker Started at 6,GoNoGo Task
ESQ,419.77622390002944,,Future_start,,Experience Sampling Questions,1,001geora,,,GoNoGo Task
ESQ,428.3483576000435,,Future_response,3.200000000000002,Experience Sampling Questions,1,001geora,,Marker Started at 6,GoNoGo Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,428.36651290004374
gonogo START,428.3665527999983,,,,GoNoGo Task,1,001geora,,,
Go/NoGo Initialized,459.7221414000378,,,,GoNoGo Task,1,001geora,,,
Stimulus start,460.7764387000352,,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus end,461.5411921000341,False,,,GoNoGo Task,1,001geora,,Type: Go,
Stimulus start,462.0947834000108,,,,GoNoGo Task,1,001geora,,Type: Go,
