METADATA:
Experiment Seed,Subject
9941455,001raary
Time after setup,12.057713200047147
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,11
EXPERIMENT DATA:,GoNoGo Task
Start Time,49.7326061000349
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,176.91228650003904
ESQ,197.22687000001315,,Distracting_response,3.8000000000000025,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,208.68707949999953,,Problem_response,5.400000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,214.20716069999617,,Self_response,6.199999999999996,Experience Sampling Questions,1,001raary,,Marker Started at 5,GoNoGo Task
ESQ,219.04466120002326,,Future_response,6.700000000000005,Experience Sampling Questions,1,001raary,,Marker Started at 8,GoNoGo Task
ESQ,226.08398789999774,,Emotion_response,4.600000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,231.4725168000441,,Absorption_response,6.099999999999997,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,239.3281571000116,,Other_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,246.05016700003762,,Knowledge_response,1.5000000000000115,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,250.77061320003122,,Past_response,4.9,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,255.89149760000873,,Words_response,7.499999999999995,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,262.4971871000016,,Detailed_response,5.800000000000011,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,270.2866405000095,,Focus_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 8,GoNoGo Task
ESQ,276.22444160003215,,Deliberate_response,5.000000000000007,Experience Sampling Questions,1,001raary,,Marker Started at 7,GoNoGo Task
ESQ,282.2288822000264,,Images_response,5.299999999999999,Experience Sampling Questions,1,001raary,,Marker Started at 5,GoNoGo Task
ESQ,287.44956140004797,,Intrusive_response,2.899999999999998,Experience Sampling Questions,1,001raary,,Marker Started at 5,GoNoGo Task
ESQ,295.12305370002287,,Sounds_response,2.4000000000000012,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
 
Runtime Mod,8
EXPERIMENT DATA:,GoNoGo Task
Start Time,295.1410136000486
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,399.639229900029
ESQ,411.3321034000255,,Future_response,5.100000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,415.76894720003475,,Focus_response,3.8000000000000007,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,421.62350010004593,,Deliberate_response,2.2999999999999994,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,426.5776088000275,,Images_response,4.300000000000013,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,430.64758620003704,,Intrusive_response,3.100000000000002,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,434.53343200002564,,Past_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,439.4210388000356,,Other_response,2.099999999999999,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,443.8733620000421,,Knowledge_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,448.44386870000744,,Absorption_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,454.8996213999926,,Self_response,6.399999999999996,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,463.48969870002475,,Words_response,6.999999999999996,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,469.79482830001507,,Distracting_response,1.5,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,476.8175429000403,,Emotion_response,5.100000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,483.9900062000379,,Sounds_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,490.74514930002624,,Problem_response,1.6,Experience Sampling Questions,1,001raary,,Marker Started at 7,GoNoGo Task
ESQ,498.65138039999874,,Detailed_response,2.400000000000005,Experience Sampling Questions,1,001raary,,Marker Started at 7,GoNoGo Task
 
Runtime Mod,13
EXPERIMENT DATA:,GoNoGo Task
Start Time,498.66803590004565
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,604.9536669999943
ESQ,613.7099246000289,,Detailed_response,3.9000000000000097,Experience Sampling Questions,1,001raary,,Marker Started at 8,GoNoGo Task
ESQ,620.8148438000353,,Absorption_response,4.300000000000013,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,625.7028732000035,,Focus_response,4.600000000000003,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,630.2563480000244,,Future_response,4.700000000000003,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,636.8778529000119,,Distracting_response,3.9000000000000132,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,641.6988408000325,,Other_response,3.8000000000000025,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,650.7884548000293,,Emotion_response,5.1,Experience Sampling Questions,1,001raary,,Marker Started at 5,GoNoGo Task
ESQ,654.141196200042,,Intrusive_response,3.2999999999999994,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,672.1398536000052,,Knowledge_response,3.700000000000013,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,683.2485832000384,,Problem_response,4.600000000000003,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,687.0347041999921,,Images_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,695.2581201000139,,Past_response,1.200000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,698.0924889000016,,Sounds_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,711.3041223000037,,Deliberate_response,1.5,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,716.2748027000343,,Self_response,5.000000000000007,Experience Sampling Questions,1,001raary,,Marker Started at 7,GoNoGo Task
ESQ,723.5139566000435,,Words_response,6.7999999999999945,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
 
Runtime Mod,13
EXPERIMENT DATA:,Finger Tapping Task
Start Time,723.5289707000484
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,839.1068066000007
ESQ,849.6144212000072,,Sounds_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,853.751073100022,,Other_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,859.855126600014,,Self_response,5.799999999999998,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,865.1941511000041,,Future_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,871.3984351000399,,Emotion_response,5.6000000000000005,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,878.3713060000446,,Problem_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 7,Finger Tapping Task
ESQ,886.8768597000162,,Images_response,1.4000000000000081,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,892.3651347000268,,Absorption_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,896.8845671000308,,Detailed_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,900.6883648000075,,Distracting_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,905.3418553000083,,Focus_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,915.2166021000012,,Past_response,1.9999999999999996,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,919.1529351000208,,Words_response,2.0,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,925.6416113000014,,Deliberate_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,932.3635477999924,,Knowledge_response,6.399999999999996,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,950.643776300014,,Intrusive_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 3,Finger Tapping Task
 
Runtime Mod,14
EXPERIMENT DATA:,Finger Tapping Task
Start Time,950.6604875000194
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1056.913410200039
ESQ,1064.9359144000337,,Problem_response,2.000000000000015,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,1071.9580496000126,,Words_response,7.699999999999992,Experience Sampling Questions,1,001raary,,Marker Started at 3,Finger Tapping Task
ESQ,1077.5632816000143,,Sounds_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,1081.4157319000224,,Other_response,3.900000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 3,Finger Tapping Task
ESQ,1084.384695900022,,Intrusive_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,1091.106748100021,,Absorption_response,1.3000000000000154,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,1096.3108371000271,,Distracting_response,1.6,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1104.550843200006,,Past_response,3.3000000000000127,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,1109.6381854999927,,Knowledge_response,5.100000000000014,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,1115.0257309000008,,Deliberate_response,5.999999999999999,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,1119.5293428000296,,Detailed_response,3.899999999999999,Experience Sampling Questions,1,001raary,,Marker Started at 5,Finger Tapping Task
ESQ,1123.2990476000123,,Images_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,1127.6196919000358,,Emotion_response,6.0,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1130.9717026000144,,Self_response,8.0,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,1137.3602025000146,,Focus_response,4.30000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,1142.0306553000119,,Future_response,4.10000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
 
Runtime Mod,-14
EXPERIMENT DATA:,Finger Tapping Task
Start Time,1142.044590800011
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1231.552804200037
ESQ,1241.4765087999986,,Detailed_response,5.800000000000015,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,1246.1309671000345,,Sounds_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,1250.8672690000385,,Distracting_response,4.400000000000003,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1253.9030191000202,,Self_response,7.0,Experience Sampling Questions,1,001raary,,Marker Started at 7,Finger Tapping Task
ESQ,1258.8569490000373,,Focus_response,6.7999999999999945,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,1261.0919546000077,,Future_response,7.0,Experience Sampling Questions,1,001raary,,Marker Started at 7,Finger Tapping Task
ESQ,1264.811779300042,,Past_response,2.9,Experience Sampling Questions,1,001raary,,Marker Started at 3,Finger Tapping Task
ESQ,1271.4169399000239,,Deliberate_response,6.400000000000006,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,1276.0873684000107,,Other_response,3.0000000000000124,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,1280.9076984000276,,Problem_response,2.100000000000001,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1286.4111083000316,,Emotion_response,6.6999999999999975,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1290.7156936000101,,Absorption_response,4.600000000000003,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1294.7684960000333,,Intrusive_response,1.0,Experience Sampling Questions,1,001raary,,Marker Started at 5,Finger Tapping Task
