METADATA:
Experiment Seed,Subject
9941455,001raary
Time after setup,12.057702300022356
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,49.73259390000021
gonogo START,49.73263050004607,,,,GoNoGo Task,1,001raary,,,
Go/NoGo Initialized,89.39264320000075,,,,GoNoGo Task,1,001raary,,,
Stimulus start,89.95370470004855,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,91.21115940000163,noResponse,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,91.7684833999956,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,93.02897200000007,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,93.58727880002698,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,94.59644460002892,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,95.6585871000425,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,96.91554670000914,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,97.970822400006,,,,GoNoGo Task,1,001raary,,Type: NoGo,
Stimulus end,98.98391000000993,True,,,GoNoGo Task,1,001raary,,Type: NoGo,
Stimulus start,100.04087430000072,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,100.80131920002168,noResponse,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,101.61060390004423,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,102.87017920002108,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,103.42862940003397,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,104.43749919999391,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,104.99410820001503,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,105.75574480002979,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,106.31373270001495,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,107.32314300001599,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,108.13128590001725,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,109.14119719999144,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,109.69659420003882,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,110.95994380000047,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,111.76389410003321,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,112.52798330003861,noResponse,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,113.33234990003984,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,114.34540779999224,noResponse,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,115.1501826000167,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,116.41368830000283,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,117.47484030004125,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,118.73289899999509,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,119.2889867000049,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,120.300672100042,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,121.3550918000401,,,,GoNoGo Task,1,001raary,,Type: NoGo,
Stimulus end,122.36851110000862,False,,,GoNoGo Task,1,001raary,,Type: NoGo,
Stimulus start,123.17758230003528,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,124.43749660003232,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,124.99264589999802,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,126.25502000004053,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,127.31083339999896,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,128.3231823000242,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,129.1311859000125,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,130.3920974000357,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,131.19707019999623,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,131.95990630000597,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,132.51871259999461,,,,GoNoGo Task,1,001raary,,Type: NoGo,
Stimulus end,133.27771690004738,True,,,GoNoGo Task,1,001raary,,Type: NoGo,
Stimulus start,134.33283010002924,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,135.09583990002284,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,136.15156530000968,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,137.41437210002914,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,138.47250390000409,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,139.73228019999806,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,140.28507909999462,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,141.55095440003788,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,142.10836509999353,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,142.86854240001412,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,143.42639690003125,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,144.43684400001075,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,144.99202070001047,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,146.25412840000354,noResponse,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,147.06491020001704,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,148.32304350001505,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,149.38364860002184,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,150.14156380004715,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,151.20508000004338,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,151.95955170004163,noResponse,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,152.51939020003192,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,153.7774735999992,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,154.58881020004628,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,155.5958449000027,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,156.39887860004092,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,157.41309829999227,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,157.9727367000305,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,158.7316729000304,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,159.78840750001837,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,160.54961420001928,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,161.60830469999928,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,162.61787680000998,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,163.17152900004294,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,163.93540449999273,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,164.99732560000848,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,166.25328210002044,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,167.06250240001827,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,168.07203270000173,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,168.63095110002905,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,169.64001319999807,False,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,170.9096955000423,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,171.67495380004402,False,,,GoNoGo Task,1,001raary,,Type: Go,
