METADATA:
Experiment Seed,Subject
3210082,001ravera
Time after setup,12.052290199964773
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-14
EXPERIMENT DATA:,Reading Task
Start Time,56.49339809996309
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,142.69797939999262
ESQ,165.559946399997,,Knowledge_response,5.1000000000000005,Experience Sampling Questions,1,001ravera,,Marker Started at 4,Reading Task
ESQ,172.28380540001672,,Intrusive_response,1.4000000000000001,Experience Sampling Questions,1,001ravera,,Marker Started at 2,Reading Task
ESQ,180.58900019997964,,Words_response,7.2999999999999945,Experience Sampling Questions,1,001ravera,,Marker Started at 2,Reading Task
ESQ,187.4471545999986,,Distracting_response,5.300000000000002,Experience Sampling Questions,1,001ravera,,Marker Started at 2,Reading Task
ESQ,191.35027140000602,,Images_response,1.0,Experience Sampling Questions,1,001ravera,,Marker Started at 3,Reading Task
ESQ,198.62128279998433,,Focus_response,4.600000000000002,Experience Sampling Questions,1,001ravera,,Marker Started at 2,Reading Task
ESQ,204.0756054999656,,Deliberate_response,3.200000000000002,Experience Sampling Questions,1,001ravera,,Marker Started at 6,Reading Task
ESQ,213.18222019996028,,Future_response,1.0,Experience Sampling Questions,1,001ravera,,Marker Started at 7,Reading Task
ESQ,218.28682609996758,,Detailed_response,9.199999999999985,Experience Sampling Questions,1,001ravera,,Marker Started at 5,Reading Task
ESQ,223.7079204999609,,Sounds_response,1.0,Experience Sampling Questions,1,001ravera,,Marker Started at 7,Reading Task
ESQ,231.31387469999027,,Problem_response,2.8000000000000087,Experience Sampling Questions,1,001ravera,,Marker Started at 8,Reading Task
ESQ,237.45345729996916,,Emotion_response,7.599999999999991,Experience Sampling Questions,1,001ravera,,Marker Started at 5,Reading Task
ESQ,241.5050762000028,,Self_response,10.0,Experience Sampling Questions,1,001ravera,,Marker Started at 4,Reading Task
ESQ,246.34251629997743,,Other_response,2.400000000000005,Experience Sampling Questions,1,001ravera,,Marker Started at 7,Reading Task
ESQ,251.8484093999723,,Past_response,10.0,Experience Sampling Questions,1,001ravera,,Marker Started at 8,Reading Task
ESQ,258.6522557999706,,Absorption_response,3.7000000000000006,Experience Sampling Questions,1,001ravera,,Marker Started at 3,Reading Task
 
Runtime Mod,14
EXPERIMENT DATA:,Reading Task
Start Time,258.6684879999957
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,367.6587756999652
ESQ,380.5506564999814,,Images_response,6.2000000000000135,Experience Sampling Questions,1,001ravera,,Marker Started at 10,Reading Task
ESQ,386.6386575999786,,Detailed_response,2.799999999999999,Experience Sampling Questions,1,001ravera,,Marker Started at 4,Reading Task
ESQ,391.7096352999797,,Past_response,4.100000000000007,Experience Sampling Questions,1,001ravera,,Marker Started at 7,Reading Task
ESQ,399.01492290000897,,Focus_response,4.300000000000001,Experience Sampling Questions,1,001ravera,,Marker Started at 4,Reading Task
ESQ,405.83753079996677,,Self_response,2.8000000000000007,Experience Sampling Questions,1,001ravera,,Marker Started at 2,Reading Task
ESQ,412.0909966999898,,Distracting_response,6.599999999999995,Experience Sampling Questions,1,001ravera,,Marker Started at 4,Reading Task
ESQ,416.2963252000045,,Intrusive_response,6.700000000000005,Experience Sampling Questions,1,001ravera,,Marker Started at 8,Reading Task
ESQ,422.2491190999863,,Deliberate_response,6.699999999999996,Experience Sampling Questions,1,001ravera,,Marker Started at 3,Reading Task
ESQ,429.271075800003,,Knowledge_response,7.600000000000005,Experience Sampling Questions,1,001ravera,,Marker Started at 9,Reading Task
ESQ,433.84153829998104,,Absorption_response,2.799999999999999,Experience Sampling Questions,1,001ravera,,Marker Started at 4,Reading Task
ESQ,439.2804215999786,,Other_response,1.0,Experience Sampling Questions,1,001ravera,,Marker Started at 10,Reading Task
ESQ,445.35224539996125,,Words_response,6.799999999999997,Experience Sampling Questions,1,001ravera,,Marker Started at 6,Reading Task
ESQ,451.64062929997453,,Emotion_response,4.300000000000001,Experience Sampling Questions,1,001ravera,,Marker Started at 3,Reading Task
ESQ,458.19542339997133,,Future_response,3.4000000000000012,Experience Sampling Questions,1,001ravera,,Marker Started at 2,Reading Task
ESQ,464.85108990001027,,Problem_response,1.3000000000000154,Experience Sampling Questions,1,001ravera,,Marker Started at 10,Reading Task
ESQ,469.72157719999086,,Sounds_response,1.7999999999999998,Experience Sampling Questions,1,001ravera,,Marker Started at 8,Reading Task
 
Runtime Mod,-13
