METADATA:
Experiment Seed,Subject
3210082,001ravera
Time after setup,12.052276299975347
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Reading Task
Start Time,56.49338549998356
Reading start,56.4971671999665,,,,Reading Task,1,001ravera,,,
Reading trial start,69.26497620000737,,,,Reading Task,1,001ravera,,"['Windows', 'often have', 'movable', 'coverings', 'such as', 'blinds or', 'curtains', 'to keep', 'light', 'out,', 'provide', 'additional', 'insulation,', 'and ensure', 'privacy.']",
Reading trial ended,83.81285019998904,,,,Reading Task,1,001ravera,,,
Reading trial start,83.83108969999012,,,,Reading Task,1,001ravera,,"['Lobsters', 'are', 'omnivores', 'and typically', 'eat', 'live', 'prey', 'such as', 'fish,', 'molluscs,', 'other', 'crustaceans,', 'worms,', 'and some', 'plants.']",
Reading trial ended,98.39114119997248,,,,Reading Task,1,001ravera,,,
Reading trial start,98.40832529996987,,,,Reading Task,1,001ravera,,"['Ankle', 'problems', 'are very', 'common', 'and', 'mild', 'pain', 'can often', 'be', 'treated', 'at home', 'though', 'it takes', 'time', 'to cure.']",
Reading trial ended,112.96952320000855,,,,Reading Task,1,001ravera,,,
Reading trial start,112.98949720000383,,,,Reading Task,1,001ravera,,"['Rulers', 'have', 'long been', 'made from', 'different', 'materials', 'and in', 'multiple', 'sizes,', 'plastics', 'have been', 'used', 'since', 'they were', 'invented.']",
Reading trial ended,128.1149810999632,,,,Reading Task,1,001ravera,,,
Reading trial start,128.1325097999652,,,,Reading Task,1,001ravera,,"['String', 'could', 'be a', 'component', 'in other', 'tools,', 'and in', 'devices', 'as', 'diverse', 'as', 'weapons,', 'musical', 'instruments,', 'and toys.']",
Reading trial ended,142.69307290000143,,,,Reading Task,1,001ravera,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,142.6979245999828
ESQ,151.3225991000072,,Knowledge_start,,Experience Sampling Questions,1,001ravera,,,Reading Task
ESQ,165.559946399997,,Knowledge_response,5.1000000000000005,Experience Sampling Questions,1,001ravera,,Marker Started at 4,Reading Task
ESQ,165.56039539998164,,Intrusive_start,,Experience Sampling Questions,1,001ravera,,,Reading Task
ESQ,172.28380540001672,,Intrusive_response,1.4000000000000001,Experience Sampling Questions,1,001ravera,,Marker Started at 2,Reading Task
ESQ,172.2843140999903,,Words_start,,Experience Sampling Questions,1,001ravera,,,Reading Task
ESQ,180.58900019997964,,Words_response,7.2999999999999945,Experience Sampling Questions,1,001ravera,,Marker Started at 2,Reading Task
ESQ,180.5903643000056,,Distracting_start,,Experience Sampling Questions,1,001ravera,,,Reading Task
