METADATA:
Experiment Seed,Subject
5747449,017
Time after setup,468.57828660000814
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,11
EXPERIMENT DATA:,You Task
Start Time,492.34756219998235
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,596.9840124000038
ESQ,617.5721333999827,,Focus_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 4,You Task
ESQ,625.9474443999934,,Emotion_response,5.500000000000009,Experience Sampling Questions,1,017,,Marker Started at 8,You Task
ESQ,635.0532046000008,,Past_response,4.500000000000018,Experience Sampling Questions,1,017,,Marker Started at 10,You Task
ESQ,641.1421544000041,,Words_response,8.700000000000005,Experience Sampling Questions,1,017,,Marker Started at 10,You Task
ESQ,646.1787387999939,,Intrusive_response,3.000000000000009,Experience Sampling Questions,1,017,,Marker Started at 8,You Task
ESQ,649.7148833999818,,Other_response,8.0,Experience Sampling Questions,1,017,,Marker Started at 8,You Task
ESQ,656.0881119999976,,Problem_response,3.300000000000002,Experience Sampling Questions,1,017,,Marker Started at 6,You Task
ESQ,665.9125347999798,,Deliberate_response,5.600000000000005,Experience Sampling Questions,1,017,,Marker Started at 7,You Task
ESQ,671.582239899988,,Future_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 10,You Task
ESQ,676.6043435999891,,Knowledge_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 3,You Task
ESQ,680.5407409000036,,Images_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 8,You Task
ESQ,684.7276026000036,,Distracting_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 9,You Task
ESQ,688.3783424999856,,Detailed_response,1.8999999999999975,Experience Sampling Questions,1,017,,Marker Started at 5,You Task
ESQ,691.9666680999799,,Self_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 5,You Task
ESQ,696.9688620000088,,Absorption_response,5.9000000000000075,Experience Sampling Questions,1,017,,Marker Started at 8,You Task
ESQ,701.8396974999923,,Sounds_response,5.6,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
 
Runtime Mod,13
EXPERIMENT DATA:,You Task
Start Time,701.859522099985
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,801.4760644999915
ESQ,812.9962659000012,,Deliberate_response,3.100000000000001,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
ESQ,817.9669202000077,,Emotion_response,5.500000000000016,Experience Sampling Questions,1,017,,Marker Started at 10,You Task
ESQ,826.6240139000001,,Knowledge_response,9.299999999999992,Experience Sampling Questions,1,017,,Marker Started at 7,You Task
ESQ,834.4452027000079,,Absorption_response,8.09999999999999,Experience Sampling Questions,1,017,,Marker Started at 3,You Task
ESQ,838.1311373999924,,Detailed_response,2.4999999999999996,Experience Sampling Questions,1,017,,Marker Started at 3,You Task
ESQ,845.6871744999953,,Focus_response,3.2,Experience Sampling Questions,1,017,,Marker Started at 3,You Task
ESQ,850.124387399992,,Self_response,9.0,Experience Sampling Questions,1,017,,Marker Started at 9,You Task
ESQ,854.0941787000047,,Words_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
ESQ,857.2300862999982,,Distracting_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
ESQ,866.1052245000028,,Intrusive_response,6.500000000000012,Experience Sampling Questions,1,017,,Marker Started at 10,You Task
ESQ,871.024330699991,,Sounds_response,7.299999999999993,Experience Sampling Questions,1,017,,Marker Started at 4,You Task
ESQ,874.8106198000023,,Problem_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 7,You Task
ESQ,881.2005654999812,,Other_response,5.400000000000009,Experience Sampling Questions,1,017,,Marker Started at 8,You Task
ESQ,884.7530014000076,,Images_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 3,You Task
ESQ,887.2371679999924,,Future_response,2.0,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
ESQ,891.7243144999957,,Past_response,9.499999999999991,Experience Sampling Questions,1,017,,Marker Started at 7,You Task
 
Runtime Mod,-10
EXPERIMENT DATA:,You Task
Start Time,891.7403568000009
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,971.194831700006
ESQ,977.9427376999811,,Images_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 10,You Task
ESQ,981.8974308999896,,Detailed_response,4.600000000000003,Experience Sampling Questions,1,017,,Marker Started at 6,You Task
ESQ,987.334921600006,,Emotion_response,5.0,Experience Sampling Questions,1,017,,Marker Started at 5,You Task
ESQ,990.8194836000039,,Focus_response,3.500000000000002,Experience Sampling Questions,1,017,,Marker Started at 6,You Task
ESQ,993.9051790999947,,Sounds_response,6.30000000000001,Experience Sampling Questions,1,017,,Marker Started at 9,You Task
ESQ,997.8434657999896,,Past_response,6.299999999999996,Experience Sampling Questions,1,017,,Marker Started at 4,You Task
ESQ,1006.083655399998,,Intrusive_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 3,You Task
ESQ,1015.0070334000047,,Deliberate_response,5.500000000000012,Experience Sampling Questions,1,017,,Marker Started at 9,You Task
ESQ,1020.0439814999991,,Words_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 10,You Task
ESQ,1024.4630503999942,,Knowledge_response,6.799999999999996,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
ESQ,1028.3496047999943,,Problem_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 5,You Task
ESQ,1031.1348057999858,,Future_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
ESQ,1035.505214899982,,Self_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
ESQ,1038.5076343999826,,Distracting_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 4,You Task
ESQ,1045.0628001999867,,Other_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 7,You Task
ESQ,1051.8348600000027,,Absorption_response,6.599999999999997,Experience Sampling Questions,1,017,,Marker Started at 2,You Task
 
Runtime Mod,13
EXPERIMENT DATA:,Friend Task
Start Time,1051.8495508999913
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1151.6707191999885
ESQ,1157.5855116999883,,Other_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
ESQ,1162.3895305999904,,Past_response,9.0,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1165.5937289999856,,Problem_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 4,Friend Task
ESQ,1168.5775657999911,,Sounds_response,7.000000000000007,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1173.4498803000024,,Deliberate_response,8.399999999999995,Experience Sampling Questions,1,017,,Marker Started at 7,Friend Task
ESQ,1180.4537505999906,,Images_response,7.5999999999999925,Experience Sampling Questions,1,017,,Marker Started at 3,Friend Task
ESQ,1183.572674199997,,Words_response,7.400000000000009,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
ESQ,1187.6110501000076,,Future_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 3,Friend Task
ESQ,1191.280477399996,,Absorption_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 3,Friend Task
ESQ,1194.9506878999819,,Distracting_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 4,Friend Task
ESQ,1199.8026674999855,,Emotion_response,5.799999999999997,Experience Sampling Questions,1,017,,Marker Started at 5,Friend Task
ESQ,1204.3729015999998,,Knowledge_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
ESQ,1207.9272111000028,,Focus_response,5.600000000000005,Experience Sampling Questions,1,017,,Marker Started at 7,Friend Task
ESQ,1211.678736700007,,Detailed_response,4.900000000000015,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1216.2156958999985,,Self_response,1.0999999999999985,Experience Sampling Questions,1,017,,Marker Started at 4,Friend Task
ESQ,1219.7699324999994,,Intrusive_response,3.2999999999999985,Experience Sampling Questions,1,017,,Marker Started at 5,Friend Task
 
Runtime Mod,11
EXPERIMENT DATA:,Friend Task
Start Time,1219.78588879999
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1308.996425099991
ESQ,1316.5955861999828,,Sounds_response,3.0,Experience Sampling Questions,1,017,,Marker Started at 3,Friend Task
ESQ,1320.6654247999832,,Distracting_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 4,Friend Task
ESQ,1324.9370434999873,,Images_response,8.600000000000005,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
ESQ,1328.388233100006,,Focus_response,5.600000000000012,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1333.7268881000055,,Emotion_response,8.599999999999987,Experience Sampling Questions,1,017,,Marker Started at 5,Friend Task
ESQ,1337.4620781999838,,Intrusive_response,3.6000000000000165,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
ESQ,1340.4811694999808,,Words_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 4,Friend Task
ESQ,1344.4010043999879,,Self_response,3.1000000000000125,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1349.8401761999994,,Past_response,7.9000000000000075,Experience Sampling Questions,1,017,,Marker Started at 5,Friend Task
ESQ,1352.157542800007,,Knowledge_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1355.861441199988,,Other_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 8,Friend Task
ESQ,1359.4629923999892,,Problem_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 8,Friend Task
ESQ,1364.5504264000047,,Absorption_response,7.399999999999994,Experience Sampling Questions,1,017,,Marker Started at 2,Friend Task
ESQ,1368.2699687999848,,Future_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
ESQ,1373.4241809999803,,Detailed_response,6.800000000000011,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
ESQ,1378.2107064999873,,Deliberate_response,5.699999999999998,Experience Sampling Questions,1,017,,Marker Started at 4,Friend Task
 
Runtime Mod,-13
EXPERIMENT DATA:,Friend Task
Start Time,1378.224644700007
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1444.354188199999
ESQ,1450.5869767999975,,Problem_response,2.0,Experience Sampling Questions,1,017,,Marker Started at 2,Friend Task
ESQ,1454.9889898999827,,Emotion_response,5.2000000000000135,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1458.5084780000034,,Self_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 8,Friend Task
ESQ,1461.161826399999,,Knowledge_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 8,Friend Task
ESQ,1464.5131627999945,,Other_response,9.999999999999996,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1467.4148930000083,,Words_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 7,Friend Task
ESQ,1470.3511067999934,,Absorption_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 6,Friend Task
ESQ,1473.8053658999852,,Distracting_response,1.5000000000000115,Experience Sampling Questions,1,017,,Marker Started at 9,Friend Task
ESQ,1478.5243647999887,,Past_response,2.900000000000001,Experience Sampling Questions,1,017,,Marker Started at 2,Friend Task
ESQ,1481.6284265999857,,Focus_response,5.500000000000016,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
ESQ,1485.5132744000002,,Future_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 8,Friend Task
ESQ,1489.034156699985,,Sounds_response,2.0,Experience Sampling Questions,1,017,,Marker Started at 2,Friend Task
ESQ,1492.518712399993,,Detailed_response,6.899999999999993,Experience Sampling Questions,1,017,,Marker Started at 5,Friend Task
ESQ,1496.0731633999967,,Intrusive_response,2.799999999999998,Experience Sampling Questions,1,017,,Marker Started at 5,Friend Task
ESQ,1500.4584401999891,,Images_response,9.299999999999995,Experience Sampling Questions,1,017,,Marker Started at 8,Friend Task
ESQ,1503.7777996000077,,Deliberate_response,6.100000000000014,Experience Sampling Questions,1,017,,Marker Started at 10,Friend Task
 
Runtime Mod,-10
EXPERIMENT DATA:,Two-Back Task
Start Time,1509.1158924000047
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1625.4416192999925
ESQ,1630.9471161999973,,Images_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 6,Two-Back Task-faces
ESQ,1634.4161788999918,,Knowledge_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 10,Two-Back Task-faces
ESQ,1637.202268299996,,Past_response,8.0,Experience Sampling Questions,1,017,,Marker Started at 8,Two-Back Task-faces
ESQ,1640.4879574000079,,Focus_response,2.0,Experience Sampling Questions,1,017,,Marker Started at 2,Two-Back Task-faces
ESQ,1643.021900599997,,Words_response,10.0,Experience Sampling Questions,1,017,,Marker Started at 9,Two-Back Task-faces
ESQ,1648.9431278999837,,Distracting_response,1.0,Experience Sampling Questions,1,017,,Marker Started at 8,Two-Back Task-faces
ESQ,1652.996437099995,,Future_response,8.200000000000006,Experience Sampling Questions,1,017,,Marker Started at 10,Two-Back Task-faces
