METADATA:
Experiment Seed,Subject
5747449,017
Time after setup,468.5782731999934
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,You Task
Start Time,492.34755010000663
Self_Task_Start,508.5962392000074,,,,You Task,1,017,,,
Start_of_thrifty,511.1718470999913,,,,You Task,1,017,,,
End_of_thrifty,513.3233540999936,,,,You Task,1,017,right,,
Start_of_frank,515.8922254999925,,,,You Task,1,017,,,
End_of_frank,517.5112260000024,,,,You Task,1,017,right,,
Start_of_talkative,520.0789451999881,,,,You Task,1,017,,,
End_of_talkative,520.7626161999942,,,,You Task,1,017,right,,
Start_of_stubborn,523.3314558999846,,,,You Task,1,017,,,
End_of_stubborn,523.9650851000042,,,,You Task,1,017,right,,
Start_of_loyal,526.5339505999873,,,,You Task,1,017,,,
End_of_loyal,527.1009575999924,,,,You Task,1,017,right,,
Start_of_self -centered,529.6698073000007,,,,You Task,1,017,,,
End_of_self -centered,531.9381273000035,,,,You Task,1,017,right,,
Start_of_orderly,534.5066625000036,,,,You Task,1,017,,,
End_of_orderly,535.3408540999808,,,,You Task,1,017,left,,
Start_of_daring,537.9097981999803,,,,You Task,1,017,,,
End_of_daring,538.6101934000035,,,,You Task,1,017,left,,
Start_of_modest,541.1792203999939,,,,You Task,1,017,,,
End_of_modest,542.2630818999896,,,,You Task,1,017,left,,
Start_of_loud-mouthed,544.8317888999882,,,,You Task,1,017,,,
End_of_loud-mouthed,546.2829768999945,,,,You Task,1,017,right,,
Start_of_self-assured,548.8516409999866,,,,You Task,1,017,,,
End_of_self-assured,549.8524351000087,,,,You Task,1,017,left,,
Start_of_argumentative,552.4213584999961,,,,You Task,1,017,,,
End_of_argumentative,553.004859299981,,,,You Task,1,017,right,,
Start_of_lazy,555.5738543999905,,,,You Task,1,017,,,
End_of_lazy,556.3242234000063,,,,You Task,1,017,right,,
Start_of_easygoing,558.893003300007,,,,You Task,1,017,,,
End_of_easygoing,559.5436673999939,,,,You Task,1,017,right,,
Start_of_persuasive,562.1123535000079,,,,You Task,1,017,,,
End_of_persuasive,562.8460831999837,,,,You Task,1,017,right,,
Start_of_jealous,565.4149846000073,,,,You Task,1,017,,,
End_of_jealous,566.1821270000073,,,,You Task,1,017,right,,
Start_of_fault-finding,568.7505974999804,,,,You Task,1,017,,,
End_of_fault-finding,569.9183691999933,,,,You Task,1,017,right,,
Start_of_inconsistent,572.4871800999972,,,,You Task,1,017,,,
End_of_inconsistent,573.8047662999888,,,,You Task,1,017,right,,
Start_of_narrow-minded,576.3734857999953,,,,You Task,1,017,,,
End_of_narrow-minded,577.0408203999978,,,,You Task,1,017,left,,
