METADATA:
Block Runtime,Experiment Seed,Subject
90,2010109,Enter Name Here
Time after setup,3.2894351000431925
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,7
EXPERIMENT DATA:,Movie Task
Start Time,6.260830600047484
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,147.6889427000424
ESQ,151.7967040000949,,Other_response,3.0,Experience Sampling Questions,1,2010109,,Marker Started at 3,Movie Task
ESQ,153.0729024000466,,Focus_response,7.0,Experience Sampling Questions,1,2010109,,Marker Started at 7,Movie Task
ESQ,154.10148270009086,,Modality_response,7.0,Experience Sampling Questions,1,2010109,,Marker Started at 7,Movie Task
ESQ,155.1295523000881,,Past_response,7.0,Experience Sampling Questions,1,2010109,,Marker Started at 7,Movie Task
ESQ,156.15786670008674,,Intrusive_response,10.0,Experience Sampling Questions,1,2010109,,Marker Started at 10,Movie Task
ESQ,157.19160010002088,,Knowledge_response,8.0,Experience Sampling Questions,1,2010109,,Marker Started at 8,Movie Task
ESQ,158.21863380004652,,Detailed_response,3.0,Experience Sampling Questions,1,2010109,,Marker Started at 3,Movie Task
ESQ,159.2466252000304,,Problem_response,4.0,Experience Sampling Questions,1,2010109,,Marker Started at 4,Movie Task
ESQ,160.27787380001973,,Deliberate_response,2.0,Experience Sampling Questions,1,2010109,,Marker Started at 2,Movie Task
ESQ,161.30957430007402,,Emotion_response,3.0,Experience Sampling Questions,1,2010109,,Marker Started at 3,Movie Task
ESQ,162.33883340004832,,Distracting_response,7.0,Experience Sampling Questions,1,2010109,,Marker Started at 7,Movie Task
ESQ,163.35955520009156,,Self_response,3.0,Experience Sampling Questions,1,2010109,,Marker Started at 3,Movie Task
ESQ,164.38632100005634,,Future_response,6.0,Experience Sampling Questions,1,2010109,,Marker Started at 6,Movie Task
ESQ,165.42068630002905,,Absorption_response,5.0,Experience Sampling Questions,1,2010109,,Marker Started at 5,Movie Task
 
Runtime Mod,7
EXPERIMENT DATA:,Movie Task
Start Time,165.43711410008837
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,293.53601640008856
ESQ,323.6948515000986,,Knowledge_response,6.0,Experience Sampling Questions,1,2010109,,Marker Started at 6,Movie Task
ESQ,324.7239237000467,,Absorption_response,6.0,Experience Sampling Questions,1,2010109,,Marker Started at 6,Movie Task
ESQ,325.7448416000698,,Self_response,5.0,Experience Sampling Questions,1,2010109,,Marker Started at 5,Movie Task
ESQ,326.7788912000833,,Future_response,10.0,Experience Sampling Questions,1,2010109,,Marker Started at 10,Movie Task
ESQ,327.8005464000162,,Focus_response,8.0,Experience Sampling Questions,1,2010109,,Marker Started at 8,Movie Task
ESQ,328.82154030003585,,Problem_response,8.0,Experience Sampling Questions,1,2010109,,Marker Started at 8,Movie Task
ESQ,329.85557840007823,,Emotion_response,6.0,Experience Sampling Questions,1,2010109,,Marker Started at 6,Movie Task
ESQ,330.88163340010215,,Intrusive_response,6.0,Experience Sampling Questions,1,2010109,,Marker Started at 6,Movie Task
ESQ,331.91158790001646,,Modality_response,4.0,Experience Sampling Questions,1,2010109,,Marker Started at 4,Movie Task
ESQ,332.9415912000695,,Detailed_response,5.0,Experience Sampling Questions,1,2010109,,Marker Started at 5,Movie Task
ESQ,333.9666127000237,,Past_response,8.0,Experience Sampling Questions,1,2010109,,Marker Started at 8,Movie Task
ESQ,334.99365670001134,,Distracting_response,6.0,Experience Sampling Questions,1,2010109,,Marker Started at 6,Movie Task
ESQ,336.0236051999964,,Deliberate_response,5.0,Experience Sampling Questions,1,2010109,,Marker Started at 5,Movie Task
ESQ,337.0646125000203,,Other_response,4.0,Experience Sampling Questions,1,2010109,,Marker Started at 4,Movie Task
