METADATA:
Block Runtime,Experiment Seed,Subject
15,4107988,Enter Name Here
Time after setup,5.03864479999902
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-11
EXPERIMENT DATA:,Movie Task
Start Time,9.148668299996643
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,21.53878850000183
ESQ,169.1151361000011,,Past_response,10.0,Experience Sampling Questions,1,4107988,,Marker Started at 10,Movie Task
 
Runtime Mod,10
EXPERIMENT DATA:,Movie Task
Start Time,169.13155800000095
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,182.19388479999907
ESQ,2509.7292399,,Distracting_response,7.0,Experience Sampling Questions,1,4107988,,Marker Started at 7,Movie Task
 
Runtime Mod,-13
EXPERIMENT DATA:,Movie Task
Start Time,2509.7548208000007
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,2521.9394554999963
ESQ,2988.5777812000015,,Past_response,10.0,Experience Sampling Questions,1,4107988,,Marker Started at 10,Movie Task
 
Runtime Mod,6
EXPERIMENT DATA:,Movie Task
Start Time,2988.5993182999955
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,2988.600274299999
ESQ,5756.217469199997,,Detailed_response,7.0,Experience Sampling Questions,1,4107988,,Marker Started at 7,Movie Task
