METADATA:
Experiment Seed,Subject
4920925,Enter Name Here
Time after setup,13.491208200000074
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,10
EXPERIMENT DATA:,You Task
Start Time,17.673954200000026
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,105.33324460000017
ESQ,111.22880180000016,,Knowledge_response,3.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 3,You Task
ESQ,112.66322100000002,,Focus_response,5.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 5,You Task
ESQ,113.69743270000004,,Deliberate_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,You Task
ESQ,114.73158540000009,,Absorption_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,You Task
ESQ,115.76572540000006,,Emotion_response,6.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 6,You Task
ESQ,116.79979850000018,,Self_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,You Task
ESQ,117.81672100000014,,Images_response,5.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 5,You Task
ESQ,118.85131360000014,,Problem_response,10.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 10,You Task
ESQ,119.86887430000002,,Other_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,You Task
ESQ,120.88643860000002,,Detailed_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,You Task
ESQ,121.90401740000016,,Future_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,You Task
ESQ,122.92142160000003,,Sounds_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,You Task
ESQ,123.9386664000001,,Words_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,You Task
ESQ,124.95627600000012,,Distracting_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,You Task
ESQ,125.97379850000016,,Past_response,6.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 6,You Task
ESQ,126.99119810000002,,Intrusive_response,4.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 4,You Task
 
Runtime Mod,15
EXPERIMENT DATA:,You Task
Start Time,127.00736649999999
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,219.02145010000004
ESQ,222.60199660000012,,Intrusive_response,6.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 6,You Task
ESQ,224.3853097000001,,Other_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,You Task
ESQ,225.75471590000006,,Future_response,9.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 9,You Task
ESQ,227.12081910000006,,Past_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,You Task
ESQ,228.35505590000002,,Distracting_response,3.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 3,You Task
ESQ,229.3893081000001,,Deliberate_response,3.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 3,You Task
ESQ,230.42334840000012,,Emotion_response,10.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 10,You Task
ESQ,231.4568944,,Detailed_response,8.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 8,You Task
ESQ,232.47494140000003,,Problem_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,You Task
ESQ,233.49258480000003,,Self_response,3.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 3,You Task
ESQ,234.50987510000004,,Sounds_response,6.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 6,You Task
ESQ,235.52750750000018,,Images_response,5.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 5,You Task
ESQ,236.54579920000015,,Absorption_response,5.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 5,You Task
ESQ,237.57870530000014,,Knowledge_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,You Task
ESQ,238.6135991000001,,Focus_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,You Task
ESQ,239.69911300000012,,Words_response,6.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 6,You Task
 
Runtime Mod,-12
EXPERIMENT DATA:,You Task
Start Time,239.7087269000001
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,305.1731234000001
ESQ,308.8521048,,Words_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,You Task
