METADATA:
Block Runtime,Experiment Seed,Subject
5,7075200,Enter Name Here
Time after setup,5.087168700003531
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Reading Task
Start Time,8.341376099997433
Reading start,8.345526999997674,,,,Reading Task,1,7075200,,,
Reading trial start,9.697306000001845,,,,Reading Task,1,7075200,,"['Film is', 'considered', 'to be', 'an important', 'art', 'form,', 'a source', 'of', 'popular', 'entertainment,', 'and a', 'medium', 'for', 'educating', 'citizens.']",
Reading trial ended,24.253644800002803,,,,Reading Task,1,7075200,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,24.255613100001938
ESQ,6130.309473500005,,Distracting_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17375.1074869,,Distracting_response,10.0,Experience Sampling Questions,1,7075200,,Marker Started at 10,Reading Task
ESQ,17375.1347773,,Self_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17376.570191599996,,Self_response,9.0,Experience Sampling Questions,1,7075200,,Marker Started at 9,Reading Task
ESQ,17376.571479499995,,Emotion_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17377.974291499995,,Emotion_response,8.0,Experience Sampling Questions,1,7075200,,Marker Started at 8,Reading Task
ESQ,17377.976794300004,,Future_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17379.216238099994,,Future_response,3.0,Experience Sampling Questions,1,7075200,,Marker Started at 3,Reading Task
ESQ,17379.217841599995,,Detailed_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17380.521262099996,,Detailed_response,7.0,Experience Sampling Questions,1,7075200,,Marker Started at 7,Reading Task
ESQ,17380.522878400006,,Absorption_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17381.898335799997,,Absorption_response,9.0,Experience Sampling Questions,1,7075200,,Marker Started at 9,Reading Task
ESQ,17381.900588699995,,Intrusive_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17383.3152632,,Intrusive_response,6.0,Experience Sampling Questions,1,7075200,,Marker Started at 6,Reading Task
ESQ,17383.316290000002,,Other_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17384.395229600006,,Other_response,3.0,Experience Sampling Questions,1,7075200,,Marker Started at 3,Reading Task
ESQ,17384.395942799994,,Focus_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17385.518221399994,,Focus_response,3.0,Experience Sampling Questions,1,7075200,,Marker Started at 3,Reading Task
ESQ,17385.519002300003,,Knowledge_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17387.606778,,Knowledge_response,2.0,Experience Sampling Questions,1,7075200,,Marker Started at 2,Reading Task
ESQ,17387.6081156,,Modality_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17388.700782,,Modality_response,7.0,Experience Sampling Questions,1,7075200,,Marker Started at 7,Reading Task
ESQ,17388.701302500005,,Deliberate_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17389.837865399997,,Deliberate_response,7.0,Experience Sampling Questions,1,7075200,,Marker Started at 7,Reading Task
ESQ,17389.839067399997,,Problem_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17390.974845300007,,Problem_response,7.0,Experience Sampling Questions,1,7075200,,Marker Started at 7,Reading Task
ESQ,17390.975980200004,,Past_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17392.057789700004,,Past_response,3.0,Experience Sampling Questions,1,7075200,,Marker Started at 3,Reading Task
EXPERIMENT DATA:,Reading Task
Start Time,17392.466194499997
Reading start,17392.475868399997,,,,Reading Task,1,7075200,,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,17394.1043927
ESQ,17395.4349259,,Distracting_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17401.650872600003,,Distracting_response,2.0,Experience Sampling Questions,1,7075200,,Marker Started at 2,Reading Task
ESQ,17401.6517227,,Past_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17403.080874699997,,Past_response,2.0,Experience Sampling Questions,1,7075200,,Marker Started at 2,Reading Task
ESQ,17403.082196400006,,Emotion_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17404.481796699998,,Emotion_response,5.0,Experience Sampling Questions,1,7075200,,Marker Started at 5,Reading Task
ESQ,17404.4824469,,Modality_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17405.579774600003,,Modality_response,7.0,Experience Sampling Questions,1,7075200,,Marker Started at 7,Reading Task
ESQ,17405.580402299995,,Absorption_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17406.752968400004,,Absorption_response,3.0,Experience Sampling Questions,1,7075200,,Marker Started at 3,Reading Task
ESQ,17406.754020399996,,Focus_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17408.055914800003,,Focus_response,10.0,Experience Sampling Questions,1,7075200,,Marker Started at 10,Reading Task
ESQ,17408.0569198,,Deliberate_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17409.323923899996,,Deliberate_response,2.0,Experience Sampling Questions,1,7075200,,Marker Started at 2,Reading Task
ESQ,17409.325423500006,,Future_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17410.455801100004,,Future_response,7.0,Experience Sampling Questions,1,7075200,,Marker Started at 7,Reading Task
ESQ,17410.456596699994,,Intrusive_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17411.706854000004,,Intrusive_response,4.0,Experience Sampling Questions,1,7075200,,Marker Started at 4,Reading Task
ESQ,17411.708058000004,,Detailed_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17412.857946200005,,Detailed_response,6.0,Experience Sampling Questions,1,7075200,,Marker Started at 6,Reading Task
ESQ,17412.8596426,,Self_start,,Experience Sampling Questions,1,7075200,,,Reading Task
ESQ,17413.9427782,,Self_response,4.0,Experience Sampling Questions,1,7075200,,Marker Started at 4,Reading Task
