METADATA:
Experiment Seed,Subject
7585242,Enter Name Here
Time after setup,2.5879586999999447
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,You Task
Start Time,40.43477679999978
Self_Task_Start,41.07779609999989,,,,You Task,1,Enter Name Here,,,
Start_of_persistent,43.64901370000007,,,,You Task,1,Enter Name Here,,,
End_of_persistent,49.17702659999986,,,,You Task,1,Enter Name Here,None,,
Start_of_enthusiastic,51.745009799999934,,,,You Task,1,Enter Name Here,,,
End_of_enthusiastic,57.25910399999975,,,,You Task,1,Enter Name Here,None,,
Start_of_nosey,59.83044250000012,,,,You Task,1,Enter Name Here,,,
End_of_nosey,65.35713540000006,,,,You Task,1,Enter Name Here,None,,
Start_of_jealous,67.92188249999981,,,,You Task,1,Enter Name Here,,,
End_of_jealous,68.43463999999994,,,,You Task,1,Enter Name Here,left,,
Start_of_sensible,71.0064140999998,,,,You Task,1,Enter Name Here,,,
End_of_sensible,76.53233760000012,,,,You Task,1,Enter Name Here,None,,
Start_of_competent,79.09635320000007,,,,You Task,1,Enter Name Here,,,
End_of_competent,84.41544720000002,,,,You Task,1,Enter Name Here,left,,
Start_of_creative,86.98652749999974,,,,You Task,1,Enter Name Here,,,
End_of_creative,92.33742230000007,,,,You Task,1,Enter Name Here,left,,
Start_of_inconsistent,94.90863179999997,,,,You Task,1,Enter Name Here,,,
End_of_inconsistent,100.42657599999984,,,,You Task,1,Enter Name Here,None,,
Start_of_talkative,102.99965229999998,,,,You Task,1,Enter Name Here,,,
End_of_talkative,104.53194320000011,,,,You Task,1,Enter Name Here,left,,
Start_of_angry,107.10103320000007,,,,You Task,1,Enter Name Here,,,
End_of_angry,107.92191959999991,,,,You Task,1,Enter Name Here,left,,
Start_of_well-mannered,110.48965090000002,,,,You Task,1,Enter Name Here,,,
End_of_well-mannered,110.8056075999998,,,,You Task,1,Enter Name Here,right,,
Start_of_practical,113.3734899000001,,,,You Task,1,Enter Name Here,,,
End_of_practical,113.6916342999998,,,,You Task,1,Enter Name Here,right,,
Start_of_fault-finding,116.25882999999976,,,,You Task,1,Enter Name Here,,,
End_of_fault-finding,116.5729965999999,,,,You Task,1,Enter Name Here,left,,
Start_of_wasteful,119.14580539999997,,,,You Task,1,Enter Name Here,,,
End_of_wasteful,119.97562569999991,,,,You Task,1,Enter Name Here,left,,
Start_of_boastful,122.54663170000003,,,,You Task,1,Enter Name Here,,,
End_of_boastful,124.96440769999981,,,,You Task,1,Enter Name Here,right,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,125.48796149999998
ESQ,127.09796169999981,,Distracting_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
ESQ,128.61446119999982,,Distracting_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,You Task
ESQ,128.6152345999999,,Images_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
ESQ,130.10691700000007,,Images_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,You Task
ESQ,130.1077654999999,,Self_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
ESQ,131.16760269999986,,Self_response,5.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 5,You Task
ESQ,131.16844020000008,,Past_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
ESQ,132.3212923000001,,Past_response,7.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 7,You Task
ESQ,132.32224229999974,,Other_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
ESQ,133.73865299999989,,Other_response,3.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 3,You Task
ESQ,133.73948560000008,,Deliberate_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
ESQ,134.77087440000014,,Deliberate_response,6.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 6,You Task
ESQ,134.7717435999998,,Future_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
ESQ,135.80412079999996,,Future_response,5.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 5,You Task
ESQ,135.80504139999994,,Absorption_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
ESQ,136.82463159999998,,Absorption_response,2.0,Experience Sampling Questions,1,Enter Name Here,,Marker Started at 2,You Task
ESQ,136.82549119999976,,Knowledge_start,,Experience Sampling Questions,1,Enter Name Here,,,You Task
