METADATA:
Experiment Seed,Subject
9430769,RA 3
Time after setup,20.00508930000069
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,14
EXPERIMENT DATA:,GoNoGo Task
Start Time,45.440766100000474
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,180.5603039000125
ESQ,197.0889223000122,,Problem_response,6.9999999999999964,Experience Sampling Questions,1,RA 3,,Marker Started at 6,GoNoGo Task
ESQ,214.13615530000243,,Images_response,9.0,Experience Sampling Questions,1,RA 3,,Marker Started at 9,GoNoGo Task
ESQ,220.49131900000793,,Distracting_response,1.9999999999999991,Experience Sampling Questions,1,RA 3,,Marker Started at 3,GoNoGo Task
ESQ,226.49593180000375,,Past_response,1.800000000000008,Experience Sampling Questions,1,RA 3,,Marker Started at 8,GoNoGo Task
ESQ,230.98321060001035,,Intrusive_response,2.099999999999999,Experience Sampling Questions,1,RA 3,,Marker Started at 3,GoNoGo Task
ESQ,241.25752150001063,,Emotion_response,5.000000000000002,Experience Sampling Questions,1,RA 3,,Marker Started at 3,GoNoGo Task
ESQ,246.6436018000095,,Other_response,2.7000000000000086,Experience Sampling Questions,1,RA 3,,Marker Started at 8,GoNoGo Task
ESQ,251.99827850000293,,Detailed_response,2.899999999999999,Experience Sampling Questions,1,RA 3,,Marker Started at 4,GoNoGo Task
ESQ,261.25739300000714,,Absorption_response,5.000000000000018,Experience Sampling Questions,1,RA 3,,Marker Started at 10,GoNoGo Task
ESQ,267.2797203000082,,Future_response,2.899999999999999,Experience Sampling Questions,1,RA 3,,Marker Started at 4,GoNoGo Task
ESQ,272.29887410000083,,Self_response,5.800000000000008,Experience Sampling Questions,1,RA 3,,Marker Started at 8,GoNoGo Task
ESQ,277.1852454000036,,Sounds_response,1.0,Experience Sampling Questions,1,RA 3,,Marker Started at 10,GoNoGo Task
ESQ,284.7415648000024,,Deliberate_response,9.299999999999986,Experience Sampling Questions,1,RA 3,,Marker Started at 4,GoNoGo Task
ESQ,291.3306736000086,,Words_response,2.0999999999999974,Experience Sampling Questions,1,RA 3,,Marker Started at 5,GoNoGo Task
ESQ,297.8682770000014,,Knowledge_response,2.0,Experience Sampling Questions,1,RA 3,,Marker Started at 2,GoNoGo Task
ESQ,306.24375500000315,,Focus_response,9.300000000000002,Experience Sampling Questions,1,RA 3,,Marker Started at 10,GoNoGo Task
 
Runtime Mod,-9
EXPERIMENT DATA:,GoNoGo Task
Start Time,306.2670857000048
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,384.0879052000091
ESQ,394.1950113000057,,Absorption_response,6.999999999999994,Experience Sampling Questions,1,RA 3,,Marker Started at 4,GoNoGo Task
ESQ,400.25092900000163,,Future_response,2.400000000000005,Experience Sampling Questions,1,RA 3,,Marker Started at 7,GoNoGo Task
ESQ,404.6202597000083,,Focus_response,9.199999999999989,Experience Sampling Questions,1,RA 3,,Marker Started at 2,GoNoGo Task
ESQ,410.4413009000127,,Words_response,6.000000000000014,Experience Sampling Questions,1,RA 3,,Marker Started at 10,GoNoGo Task
ESQ,416.9955215000082,,Sounds_response,6.3000000000000025,Experience Sampling Questions,1,RA 3,,Marker Started at 7,GoNoGo Task
ESQ,421.08234690000245,,Self_response,2.6000000000000014,Experience Sampling Questions,1,RA 3,,Marker Started at 6,GoNoGo Task
ESQ,427.37149489999865,,Detailed_response,4.000000000000003,Experience Sampling Questions,1,RA 3,,Marker Started at 6,GoNoGo Task
ESQ,433.77584970000316,,Emotion_response,5.000000000000001,Experience Sampling Questions,1,RA 3,,Marker Started at 4,GoNoGo Task
ESQ,439.76339500000176,,Past_response,2.5000000000000013,Experience Sampling Questions,1,RA 3,,Marker Started at 6,GoNoGo Task
ESQ,445.4202981000126,,Distracting_response,1.8999999999999984,Experience Sampling Questions,1,RA 3,,Marker Started at 4,GoNoGo Task
ESQ,450.12336380001216,,Intrusive_response,2.600000000000012,Experience Sampling Questions,1,RA 3,,Marker Started at 9,GoNoGo Task
ESQ,456.4945704000129,,Other_response,2.500000000000005,Experience Sampling Questions,1,RA 3,,Marker Started at 7,GoNoGo Task
ESQ,462.4496574000077,,Images_response,9.599999999999985,Experience Sampling Questions,1,RA 3,,Marker Started at 4,GoNoGo Task
ESQ,469.57092700000794,,Problem_response,3.7000000000000006,Experience Sampling Questions,1,RA 3,,Marker Started at 3,GoNoGo Task
