METADATA:
Experiment Seed,Subject
9430769,RA 3
Time after setup,20.005077400011942
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task
Start Time,45.44075470000098
gonogo START,45.440789200001745,,,,GoNoGo Task,1,RA 3,,,
Go/NoGo Initialized,90.93921260000207,,,,GoNoGo Task,1,RA 3,,,
Stimulus start,91.75508919999993,,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus end,92.75689570000395,False,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus start,93.56821680000576,,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus end,94.32626270000765,noResponse,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus start,95.13527510000858,,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus end,96.14403730000777,False,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus start,97.20215130000724,,,,GoNoGo Task,1,RA 3,,Type: NoGo,
Stimulus end,98.21181130000332,True,,,GoNoGo Task,1,RA 3,,Type: NoGo,
Stimulus start,99.0210933000053,,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus end,100.2806275000039,False,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus start,100.8399977000081,,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus end,102.09839850000571,False,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus start,103.15603880000708,,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus end,104.417609000011,False,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus start,105.22562070000276,,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus end,106.48450050000974,False,,,GoNoGo Task,1,RA 3,,Type: Go,
Stimulus start,107.29332050000085,,,,GoNoGo Task,1,RA 3,,Type: NoGo,
Stimulus end,108.55280640001001,True,,,GoNoGo Task,1,RA 3,,Type: NoGo,
