METADATA:
Experiment Seed,Subject
2084637,RA4
Time after setup,20.302270500000304
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-15
EXPERIMENT DATA:,You Task
Start Time,53.96361710000019
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,121.47187710000071
ESQ,130.4876892000002,,Past_response,4.600000000000001,Experience Sampling Questions,1,RA4,,Marker Started at 3,You Task
ESQ,131.54020280000077,,Focus_response,9.0,Experience Sampling Questions,1,RA4,,Marker Started at 9,You Task
ESQ,132.72288590000062,,Deliberate_response,5.0,Experience Sampling Questions,1,RA4,,Marker Started at 5,You Task
ESQ,133.85710000000017,,Knowledge_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,135.20800490000056,,Emotion_response,3.0,Experience Sampling Questions,1,RA4,,Marker Started at 3,You Task
ESQ,136.55939949999993,,Problem_response,7.0,Experience Sampling Questions,1,RA4,,Marker Started at 7,You Task
ESQ,137.8936005000005,,Absorption_response,2.0,Experience Sampling Questions,1,RA4,,Marker Started at 2,You Task
ESQ,139.12940750000053,,Intrusive_response,8.0,Experience Sampling Questions,1,RA4,,Marker Started at 8,You Task
ESQ,140.3450771000007,,Sounds_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
ESQ,141.91481600000043,,Self_response,2.0,Experience Sampling Questions,1,RA4,,Marker Started at 2,You Task
ESQ,143.3975086999999,,Distracting_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,You Task
ESQ,145.0007828000007,,Other_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
ESQ,146.3670643000005,,Images_response,9.0,Experience Sampling Questions,1,RA4,,Marker Started at 9,You Task
ESQ,147.68639100000019,,Future_response,9.0,Experience Sampling Questions,1,RA4,,Marker Started at 9,You Task
ESQ,148.98586909999995,,Detailed_response,9.0,Experience Sampling Questions,1,RA4,,Marker Started at 9,You Task
ESQ,150.0381152,,Words_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
 
Runtime Mod,-14
EXPERIMENT DATA:,You Task
Start Time,150.05134350000026
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,216.18006820000028
ESQ,219.70889940000052,,Other_response,5.0,Experience Sampling Questions,1,RA4,,Marker Started at 5,You Task
ESQ,221.2935019000006,,Sounds_response,2.0,Experience Sampling Questions,1,RA4,,Marker Started at 2,You Task
ESQ,222.57785590000003,,Problem_response,7.0,Experience Sampling Questions,1,RA4,,Marker Started at 7,You Task
ESQ,223.79703820000032,,Distracting_response,3.0,Experience Sampling Questions,1,RA4,,Marker Started at 3,You Task
ESQ,224.9457424000002,,Words_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
ESQ,226.4475749000003,,Knowledge_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,228.03217720000066,,Focus_response,3.0,Experience Sampling Questions,1,RA4,,Marker Started at 3,You Task
ESQ,229.28466160000062,,Past_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,230.6341570000004,,Detailed_response,8.0,Experience Sampling Questions,1,RA4,,Marker Started at 8,You Task
ESQ,231.86804819999998,,Absorption_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
ESQ,233.0695596000005,,Future_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
ESQ,234.50341560000015,,Images_response,8.0,Experience Sampling Questions,1,RA4,,Marker Started at 8,You Task
ESQ,235.90454510000018,,Deliberate_response,9.0,Experience Sampling Questions,1,RA4,,Marker Started at 9,You Task
ESQ,237.32286079999994,,Self_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,238.70874360000016,,Intrusive_response,8.0,Experience Sampling Questions,1,RA4,,Marker Started at 8,You Task
ESQ,240.07445580000058,,Emotion_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
 
Runtime Mod,-12
EXPERIMENT DATA:,You Task
Start Time,240.09024410000075
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,305.7009629000004
ESQ,308.97979660000055,,Focus_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,310.29767640000046,,Self_response,5.0,Experience Sampling Questions,1,RA4,,Marker Started at 5,You Task
ESQ,311.58205799999996,,Knowledge_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,You Task
ESQ,312.9330312000002,,Words_response,9.0,Experience Sampling Questions,1,RA4,,Marker Started at 9,You Task
ESQ,314.06763990000036,,Sounds_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
ESQ,316.4691972999999,,Deliberate_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,You Task
ESQ,317.8701477000004,,Distracting_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,You Task
ESQ,319.17131900000004,,Past_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,You Task
ESQ,320.58908390000033,,Absorption_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,321.74160030000075,,Detailed_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,323.3413993000004,,Emotion_response,7.0,Experience Sampling Questions,1,RA4,,Marker Started at 7,You Task
ESQ,324.80919340000037,,Future_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,You Task
ESQ,326.4452805000001,,Problem_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,327.8449905000007,,Other_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,329.2794025000003,,Images_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,You Task
ESQ,330.2969585000001,,Intrusive_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
 
Runtime Mod,15
EXPERIMENT DATA:,Friend Task
Start Time,330.31131240000013
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,431.5677441000007
ESQ,434.6148355000005,,Distracting_response,2.0,Experience Sampling Questions,1,RA4,,Marker Started at 2,Friend Task
ESQ,435.81367820000014,,Deliberate_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,Friend Task
ESQ,437.1818443000002,,Intrusive_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,Friend Task
ESQ,438.46615030000066,,Images_response,9.0,Experience Sampling Questions,1,RA4,,Marker Started at 9,Friend Task
ESQ,439.6836447000005,,Past_response,3.0,Experience Sampling Questions,1,RA4,,Marker Started at 3,Friend Task
ESQ,440.7362272999999,,Future_response,2.0,Experience Sampling Questions,1,RA4,,Marker Started at 2,Friend Task
ESQ,441.77019270000073,,Words_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,Friend Task
ESQ,442.85318559999996,,Emotion_response,4.0,Experience Sampling Questions,1,RA4,,Marker Started at 4,Friend Task
