METADATA:
Experiment Seed,Subject
2084637,RA4
Time after setup,20.30225750000045
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,You Task
Start Time,53.9636059000004
Self_Task_Start,60.007708600000115,,,,You Task,1,RA4,,,
Start_of_enthusiastic,62.584277900000416,,,,You Task,1,RA4,,,
End_of_enthusiastic,63.05119950000062,,,,You Task,1,RA4,left,,
Start_of_stubborn,65.6198514000007,,,,You Task,1,RA4,,,
End_of_stubborn,66.00365050000073,,,,You Task,1,RA4,left,,
Start_of_nosey,68.57237890000033,,,,You Task,1,RA4,,,
End_of_nosey,68.83910660000038,,,,You Task,1,RA4,left,,
Start_of_bashful,71.40741250000065,,,,You Task,1,RA4,,,
End_of_bashful,71.50787850000052,,,,You Task,1,RA4,left,,
Start_of_quiet,74.05964420000055,,,,You Task,1,RA4,,,
End_of_quiet,74.29312550000031,,,,You Task,1,RA4,left,,
Start_of_self-critical,76.86217430000033,,,,You Task,1,RA4,,,
End_of_self-critical,77.16208160000042,,,,You Task,1,RA4,left,,
Start_of_superstitious,79.73115340000004,,,,You Task,1,RA4,,,
End_of_superstitious,80.1150658000006,,,,You Task,1,RA4,left,,
Start_of_untidy ,82.68351090000033,,,,You Task,1,RA4,,,
End_of_untidy ,83.36734670000078,,,,You Task,1,RA4,left,,
Start_of_patient,85.93627050000032,,,,You Task,1,RA4,,,
End_of_patient,86.56999020000057,,,,You Task,1,RA4,left,,
Start_of_modest,89.13880800000061,,,,You Task,1,RA4,,,
End_of_modest,89.60560950000036,,,,You Task,1,RA4,left,,
Start_of_perfectionistic,92.17424160000064,,,,You Task,1,RA4,,,
End_of_perfectionistic,93.42542880000019,,,,You Task,1,RA4,left,,
Start_of_warm,95.99423980000029,,,,You Task,1,RA4,,,
End_of_warm,96.54449440000008,,,,You Task,1,RA4,left,,
Start_of_distrustful,99.11325000000033,,,,You Task,1,RA4,,,
End_of_distrustful,99.43049210000027,,,,You Task,1,RA4,left,,
Start_of_angry,101.99904930000048,,,,You Task,1,RA4,,,
End_of_angry,102.64938270000039,,,,You Task,1,RA4,left,,
Start_of_disobedient,105.2182257000004,,,,You Task,1,RA4,,,
End_of_disobedient,106.26896320000014,,,,You Task,1,RA4,left,,
Start_of_curious,108.8377616000007,,,,You Task,1,RA4,,,
End_of_curious,109.32218820000071,,,,You Task,1,RA4,left,,
Start_of_confident,111.89010099999996,,,,You Task,1,RA4,,,
End_of_confident,111.94004470000073,,,,You Task,1,RA4,left,,
Start_of_studious,114.50884200000019,,,,You Task,1,RA4,,,
End_of_studious,115.2095119000005,,,,You Task,1,RA4,left,,
Start_of_imaginative,117.77820630000042,,,,You Task,1,RA4,,,
End_of_imaginative,118.07824820000042,,,,You Task,1,RA4,left,,
Start_of_unimaginative,120.64703129999998,,,,You Task,1,RA4,,,
End_of_unimaginative,120.9472409,,,,You Task,1,RA4,left,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,121.47186300000067
ESQ,126.71291350000047,,Past_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,130.4876892000002,,Past_response,4.600000000000001,Experience Sampling Questions,1,RA4,,Marker Started at 3,You Task
ESQ,130.4883174000006,,Focus_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,131.54020280000077,,Focus_response,9.0,Experience Sampling Questions,1,RA4,,Marker Started at 9,You Task
ESQ,131.54271030000018,,Deliberate_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,132.72288590000062,,Deliberate_response,5.0,Experience Sampling Questions,1,RA4,,Marker Started at 5,You Task
ESQ,132.72539320000033,,Knowledge_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,133.85710000000017,,Knowledge_response,10.0,Experience Sampling Questions,1,RA4,,Marker Started at 10,You Task
ESQ,133.85773380000046,,Emotion_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,135.20800490000056,,Emotion_response,3.0,Experience Sampling Questions,1,RA4,,Marker Started at 3,You Task
ESQ,135.20951590000004,,Problem_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,136.55939949999993,,Problem_response,7.0,Experience Sampling Questions,1,RA4,,Marker Started at 7,You Task
ESQ,136.56070400000044,,Absorption_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,137.8936005000005,,Absorption_response,2.0,Experience Sampling Questions,1,RA4,,Marker Started at 2,You Task
ESQ,137.89509870000074,,Intrusive_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,139.12940750000053,,Intrusive_response,8.0,Experience Sampling Questions,1,RA4,,Marker Started at 8,You Task
ESQ,139.13116870000067,,Sounds_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,140.3450771000007,,Sounds_response,6.0,Experience Sampling Questions,1,RA4,,Marker Started at 6,You Task
ESQ,140.34657719999996,,Self_start,,Experience Sampling Questions,1,RA4,,,You Task
ESQ,141.91481600000043,,Self_response,2.0,Experience Sampling Questions,1,RA4,,Marker Started at 2,You Task
