METADATA:,,,,,,,,,,
Experiment Seed,Subject,,,,,,,,,
9941455,RA5,,,,,,,,,
Time after setup,12.0577132,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 ,,,,,,,,,,
Runtime Mod,11,,,,,,,,,
EXPERIMENT DATA:,GoNoGo Task,,,,,,,,,
Start Time,49.7326061,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,176.9122865,,,,,,,,,
ESQ,197.22687,,Distracting_response,3.8,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,208.6870795,,Problem_response,5.4,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,214.2071607,,Self_response,6.2,Experience Sampling Questions,1,001raary,,Marker Started at 5,GoNoGo Task
ESQ,219.0446612,,Future_response,6.7,Experience Sampling Questions,1,001raary,,Marker Started at 8,GoNoGo Task
ESQ,226.0839879,,Emotion_response,4.6,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,231.4725168,,Absorption_response,6.1,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,239.3281571,,Other_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,246.050167,,Knowledge_response,1.5,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,250.7706132,,Past_response,4.9,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,255.8914976,,Words_response,7.5,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,262.4971871,,Detailed_response,5.8,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,270.2866405,,Focus_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 8,GoNoGo Task
ESQ,276.2244416,,Deliberate_response,5,Experience Sampling Questions,1,001raary,,Marker Started at 7,GoNoGo Task
ESQ,282.2288822,,Images_response,5.3,Experience Sampling Questions,1,001raary,,Marker Started at 5,GoNoGo Task
ESQ,287.4495614,,Intrusive_response,2.9,Experience Sampling Questions,1,001raary,,Marker Started at 5,GoNoGo Task
ESQ,295.1230537,,Sounds_response,2.4,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
 ,,,,,,,,,,
Runtime Mod,8,,,,,,,,,
EXPERIMENT DATA:,GoNoGo Task,,,,,,,,,
Start Time,295.1410136,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,399.6392299,,,,,,,,,
ESQ,411.3321034,,Future_response,5.1,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,415.7689472,,Focus_response,3.8,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,421.6235001,,Deliberate_response,2.3,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,426.5776088,,Images_response,4.3,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,430.6475862,,Intrusive_response,3.1,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,434.533432,,Past_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,439.4210388,,Other_response,2.1,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,443.873362,,Knowledge_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,448.4438687,,Absorption_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,454.8996214,,Self_response,6.4,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,463.4896987,,Words_response,7,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,469.7948283,,Distracting_response,1.5,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,476.8175429,,Emotion_response,5.1,Experience Sampling Questions,1,001raary,,Marker Started at 3,GoNoGo Task
ESQ,483.9900062,,Sounds_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,490.7451493,,Problem_response,1.6,Experience Sampling Questions,1,001raary,,Marker Started at 7,GoNoGo Task
ESQ,498.6513804,,Detailed_response,2.4,Experience Sampling Questions,1,001raary,,Marker Started at 7,GoNoGo Task
 ,,,,,,,,,,
Runtime Mod,13,,,,,,,,,
EXPERIMENT DATA:,GoNoGo Task,,,,,,,,,
Start Time,498.6680359,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,604.953667,,,,,,,,,
ESQ,613.7099246,,Detailed_response,3.9,Experience Sampling Questions,1,001raary,,Marker Started at 8,GoNoGo Task
ESQ,620.8148438,,Absorption_response,4.3,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,625.7028732,,Focus_response,4.6,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,630.256348,,Future_response,4.7,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,636.8778529,,Distracting_response,3.9,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,641.6988408,,Other_response,3.8,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,650.7884548,,Emotion_response,5.1,Experience Sampling Questions,1,001raary,,Marker Started at 5,GoNoGo Task
ESQ,654.1411962,,Intrusive_response,3.3,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
ESQ,672.1398536,,Knowledge_response,3.7,Experience Sampling Questions,1,001raary,,Marker Started at 9,GoNoGo Task
ESQ,683.2485832,,Problem_response,4.6,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,687.0347042,,Images_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,695.2581201,,Past_response,1.2,Experience Sampling Questions,1,001raary,,Marker Started at 6,GoNoGo Task
ESQ,698.0924889,,Sounds_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,711.3041223,,Deliberate_response,1.5,Experience Sampling Questions,1,001raary,,Marker Started at 2,GoNoGo Task
ESQ,716.2748027,,Self_response,5,Experience Sampling Questions,1,001raary,,Marker Started at 7,GoNoGo Task
ESQ,723.5139566,,Words_response,6.8,Experience Sampling Questions,1,001raary,,Marker Started at 4,GoNoGo Task
 ,,,,,,,,,,
Runtime Mod,13,,,,,,,,,
EXPERIMENT DATA:,Finger Tapping Task,,,,,,,,,
Start Time,723.5289707,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,839.1068066,,,,,,,,,
ESQ,849.6144212,,Sounds_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,853.7510731,,Other_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,859.8551266,,Self_response,5.8,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,865.1941511,,Future_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,871.3984351,,Emotion_response,5.6,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,878.371306,,Problem_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 7,Finger Tapping Task
ESQ,886.8768597,,Images_response,1.4,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,892.3651347,,Absorption_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,896.8845671,,Detailed_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,900.6883648,,Distracting_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,905.3418553,,Focus_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,915.2166021,,Past_response,2,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,919.1529351,,Words_response,2,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,925.6416113,,Deliberate_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,932.3635478,,Knowledge_response,6.4,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,950.6437763,,Intrusive_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 3,Finger Tapping Task
 ,,,,,,,,,,
Runtime Mod,14,,,,,,,,,
EXPERIMENT DATA:,Finger Tapping Task,,,,,,,,,
Start Time,950.6604875,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1056.91341,,,,,,,,,
ESQ,1064.935914,,Problem_response,2,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,1071.95805,,Words_response,7.7,Experience Sampling Questions,1,001raary,,Marker Started at 3,Finger Tapping Task
ESQ,1077.563282,,Sounds_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,1081.415732,,Other_response,3.9,Experience Sampling Questions,1,001raary,,Marker Started at 3,Finger Tapping Task
ESQ,1084.384696,,Intrusive_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,1091.106748,,Absorption_response,1.3,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,1096.310837,,Distracting_response,1.6,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1104.550843,,Past_response,3.3,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,1109.638185,,Knowledge_response,5.1,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,1115.025731,,Deliberate_response,6,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,1119.529343,,Detailed_response,3.9,Experience Sampling Questions,1,001raary,,Marker Started at 5,Finger Tapping Task
ESQ,1123.299048,,Images_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,1127.619692,,Emotion_response,6,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1130.971703,,Self_response,8,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,1137.360203,,Focus_response,4.3,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,1142.030655,,Future_response,4.1,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
 ,,,,,,,,,,
Runtime Mod,-14,,,,,,,,,
EXPERIMENT DATA:,Finger Tapping Task,,,,,,,,,
Start Time,1142.044591,,,,,,,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1231.552804,,,,,,,,,
ESQ,1241.476509,,Detailed_response,5.8,Experience Sampling Questions,1,001raary,,Marker Started at 10,Finger Tapping Task
ESQ,1246.130967,,Sounds_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,1250.867269,,Distracting_response,4.4,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1253.903019,,Self_response,7,Experience Sampling Questions,1,001raary,,Marker Started at 7,Finger Tapping Task
ESQ,1258.856949,,Focus_response,6.8,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,1261.091955,,Future_response,7,Experience Sampling Questions,1,001raary,,Marker Started at 7,Finger Tapping Task
ESQ,1264.811779,,Past_response,2.9,Experience Sampling Questions,1,001raary,,Marker Started at 3,Finger Tapping Task
ESQ,1271.41694,,Deliberate_response,6.4,Experience Sampling Questions,1,001raary,,Marker Started at 8,Finger Tapping Task
ESQ,1276.087368,,Other_response,3,Experience Sampling Questions,1,001raary,,Marker Started at 9,Finger Tapping Task
ESQ,1280.907698,,Problem_response,2.1,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1286.411108,,Emotion_response,6.7,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1290.715694,,Absorption_response,4.6,Experience Sampling Questions,1,001raary,,Marker Started at 6,Finger Tapping Task
ESQ,1294.768496,,Intrusive_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 5,Finger Tapping Task
ESQ,1298.888886,,Images_response,1,Experience Sampling Questions,1,001raary,,Marker Started at 4,Finger Tapping Task
ESQ,1303.742501,,Words_response,10,Experience Sampling Questions,1,001raary,,Marker Started at 2,Finger Tapping Task
ESQ,1309.431238,,Knowledge_response,7,Experience Sampling Questions,1,001raary,,Marker Started at 7,Finger Tapping Task
 ,,,,,,,,,,
Runtime Mod,-5,,,,,,,,,
EXPERIMENT DATA:,Hard Math Task,,,,,,,,,
