METADATA:,,,,,,,,,,
Experiment Seed,Subject,,,,,,,,,
9941455,RA5,,,,,,,,,
Time after setup,12.0577023,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,GoNoGo Task,,,,,,,,,
Start Time,49.7325939,,,,,,,,,
gonogo START,49.7326305,,,,GoNoGo Task,1,001raary,,,
Go/NoGo Initialized,89.3926432,,,,GoNoGo Task,1,001raary,,,
Stimulus start,89.9537047,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,91.2111594,noResponse,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,91.7684834,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,93.028972,FALSE,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,93.5872788,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,94.5964446,FALSE,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,95.6585871,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,96.9155467,FALSE,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,97.9708224,,,,GoNoGo Task,1,001raary,,Type: NoGo,
Stimulus end,98.98391,TRUE,,,GoNoGo Task,1,001raary,,Type: NoGo,
Stimulus start,100.0408743,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,100.8013192,noResponse,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,101.6106039,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,102.8701792,FALSE,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,103.4286294,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,104.4374992,FALSE,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,104.9941082,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,105.7557448,FALSE,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,106.3137327,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,107.323143,FALSE,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,108.1312859,,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus end,109.1411972,FALSE,,,GoNoGo Task,1,001raary,,Type: Go,
Stimulus start,109.6965942,,,,GoNoGo Task,1,001raary,,Type: Go,
