METADATA:
Experiment Seed,Subject
7257139,Subject034
Time after setup,26.261710899998434
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,15
EXPERIMENT DATA:,Two-Back Task
Start Time,55.44797049998306
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,201.03235950000817
ESQ,228.98496460000752,,Other_response,2.0999999999999996,Experience Sampling Questions,1,Subject034,,Marker Started at 2,Two-Back Task-faces
ESQ,238.41072560002794,,Detailed_response,4.299999999999999,Experience Sampling Questions,1,Subject034,,Marker Started at 5,Two-Back Task-faces
ESQ,247.03241290000733,,Emotion_response,5.1000000000000005,Experience Sampling Questions,1,Subject034,,Marker Started at 4,Two-Back Task-faces
ESQ,255.33925369998906,,Focus_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 7,Two-Back Task-faces
ESQ,262.9447978999815,,Images_response,10.0,Experience Sampling Questions,1,Subject034,,Marker Started at 9,Two-Back Task-faces
ESQ,270.6193649999914,,Self_response,2.0,Experience Sampling Questions,1,Subject034,,Marker Started at 5,Two-Back Task-faces
ESQ,276.92430299997795,,Words_response,8.200000000000006,Experience Sampling Questions,1,Subject034,,Marker Started at 10,Two-Back Task-faces
ESQ,287.0992302999948,,Problem_response,2.3999999999999986,Experience Sampling Questions,1,Subject034,,Marker Started at 4,Two-Back Task-faces
ESQ,296.856981799996,,Deliberate_response,7.999999999999992,Experience Sampling Questions,1,Subject034,,Marker Started at 2,Two-Back Task-faces
ESQ,301.12552739999956,,Sounds_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 3,Two-Back Task-faces
ESQ,305.64723010000307,,Past_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 7,Two-Back Task-faces
ESQ,314.7705268000136,,Knowledge_response,6.499999999999996,Experience Sampling Questions,1,Subject034,,Marker Started at 4,Two-Back Task-faces
ESQ,322.4090372999781,,Absorption_response,8.899999999999988,Experience Sampling Questions,1,Subject034,,Marker Started at 3,Two-Back Task-faces
ESQ,325.5946652999846,,Future_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 2,Two-Back Task-faces
ESQ,331.0838970000041,,Distracting_response,1.9999999999999973,Experience Sampling Questions,1,Subject034,,Marker Started at 5,Two-Back Task-faces
ESQ,336.9033836000017,,Intrusive_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 6,Two-Back Task-faces
 
Runtime Mod,-8
EXPERIMENT DATA:,Two-Back Task
Start Time,336.9263015000033
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,429.89628560002893
ESQ,442.93705030001,,Deliberate_response,8.1,Experience Sampling Questions,1,Subject034,,Marker Started at 8,Two-Back Task-faces
ESQ,450.92876009998145,,Past_response,3.4000000000000092,Experience Sampling Questions,1,Subject034,,Marker Started at 8,Two-Back Task-faces
ESQ,457.19881109998096,,Focus_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 8,Two-Back Task-faces
ESQ,463.005003200029,,Future_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 6,Two-Back Task-faces
ESQ,469.257851900009,,Problem_response,6.1999999999999975,Experience Sampling Questions,1,Subject034,,Marker Started at 3,Two-Back Task-faces
ESQ,472.52725639997516,,Sounds_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 3,Two-Back Task-faces
ESQ,477.36627769999905,,Detailed_response,5.3,Experience Sampling Questions,1,Subject034,,Marker Started at 4,Two-Back Task-faces
ESQ,483.4695654999814,,Knowledge_response,8.09999999999999,Experience Sampling Questions,1,Subject034,,Marker Started at 3,Two-Back Task-faces
ESQ,489.3073819000274,,Other_response,4.800000000000003,Experience Sampling Questions,1,Subject034,,Marker Started at 6,Two-Back Task-faces
ESQ,492.69368550000945,,Self_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 6,Two-Back Task-faces
ESQ,495.79612529999577,,Absorption_response,10.0,Experience Sampling Questions,1,Subject034,,Marker Started at 10,Two-Back Task-faces
ESQ,500.61761760001536,,Distracting_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 6,Two-Back Task-faces
ESQ,505.4031845999998,,Images_response,10.0,Experience Sampling Questions,1,Subject034,,Marker Started at 6,Two-Back Task-faces
ESQ,508.20594840002013,,Intrusive_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 2,Two-Back Task-faces
ESQ,512.1437212000019,,Words_response,10.0,Experience Sampling Questions,1,Subject034,,Marker Started at 6,Two-Back Task-faces
ESQ,516.6141028000275,,Emotion_response,5.0,Experience Sampling Questions,1,Subject034,,Marker Started at 5,Two-Back Task-faces
 
Runtime Mod,5
EXPERIMENT DATA:,Two-Back Task
Start Time,516.6314852000214
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,605.0190337999957
ESQ,610.5367888999754,,Other_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 4,Two-Back Task-scenes
ESQ,616.9434052000288,,Problem_response,6.999999999999996,Experience Sampling Questions,1,Subject034,,Marker Started at 2,Two-Back Task-scenes
ESQ,620.8944714000099,,Future_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 3,Two-Back Task-scenes
ESQ,625.9156284999917,,Emotion_response,5.9999999999999964,Experience Sampling Questions,1,Subject034,,Marker Started at 5,Two-Back Task-scenes
ESQ,630.8024613999878,,Images_response,10.0,Experience Sampling Questions,1,Subject034,,Marker Started at 4,Two-Back Task-scenes
ESQ,634.1220670000184,,Absorption_response,10.0,Experience Sampling Questions,1,Subject034,,Marker Started at 8,Two-Back Task-scenes
ESQ,638.1748105000006,,Sounds_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 7,Two-Back Task-scenes
ESQ,641.6128421999747,,Past_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 6,Two-Back Task-scenes
ESQ,648.4001521000173,,Knowledge_response,7.199999999999994,Experience Sampling Questions,1,Subject034,,Marker Started at 3,Two-Back Task-scenes
ESQ,652.1530484000104,,Self_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 8,Two-Back Task-scenes
ESQ,658.6263141999952,,Deliberate_response,8.399999999999988,Experience Sampling Questions,1,Subject034,,Marker Started at 5,Two-Back Task-scenes
ESQ,663.5787624000222,,Focus_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 8,Two-Back Task-scenes
ESQ,668.6496325000189,,Detailed_response,3.7000000000000015,Experience Sampling Questions,1,Subject034,,Marker Started at 2,Two-Back Task-scenes
ESQ,673.5881561000133,,Distracting_response,2.2,Experience Sampling Questions,1,Subject034,,Marker Started at 4,Two-Back Task-scenes
ESQ,676.3569487999775,,Words_response,10.0,Experience Sampling Questions,1,Subject034,,Marker Started at 8,Two-Back Task-scenes
ESQ,680.1416204000125,,Intrusive_response,1.0,Experience Sampling Questions,1,Subject034,,Marker Started at 8,Two-Back Task-scenes
 
Runtime Mod,8
EXPERIMENT DATA:,Two-Back Task
Start Time,680.1545388000086
EXPERIMENT DATA:,Experience Sampling Questions
