METADATA:
Experiment Seed,Subject
7257139,Subject034
Time after setup,26.261700299975928
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Two-Back Task
Start Time,55.44795800000429
2-back Task Start,109.09713150002062,,,,Two-Back Task,1,Subject034,,faces,
fixation cross,109.1218544000294,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,111.22529380000196,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,111.22532119997777,,,,Two-Back Task,1,Subject034,,faces,
Choice made,112.71021290001227,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,112.71025439997902,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,114.76830489997519,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,114.7683318000054,,,,Two-Back Task,1,Subject034,,faces,
Choice made,115.57910730002914,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,115.57914879999589,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,117.63757199997781,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,117.63759810000192,,,,Two-Back Task,1,Subject034,,faces,
Choice made,118.2645680999849,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,118.26461010001367,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,120.32367529999465,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,120.32370160002029,,,,Two-Back Task,1,Subject034,,faces,
Choice made,121.6505688999896,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,121.65060990001075,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,123.70866780000506,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,123.70869400002994,,,,Two-Back Task,1,Subject034,,faces,
Choice made,124.90293039998505,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,124.90297190001002,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,126.95915990002686,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,126.95918790000724,,,,Two-Back Task,1,Subject034,,faces,
Choice made,128.85666260001017,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,128.8567493999726,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,130.9099912000238,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,130.9100177999935,,,,Two-Back Task,1,Subject034,,faces,
Choice made,132.50920819997555,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,132.50925429997733,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,134.56960089999484,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,134.5696291999775,,,,Two-Back Task,1,Subject034,,faces,
Choice made,135.61207269999431,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,135.6121144000208,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,137.6708027999848,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,137.67083010001807,,,,Two-Back Task,1,Subject034,,faces,
Choice made,138.93093530001352,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,138.93097659997875,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,140.98239140002988,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,140.98241910000797,,,,Two-Back Task,1,Subject034,,faces,
Choice made,141.88422639999771,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,141.88427440001396,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,143.93622560001677,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,143.93625219998648,,,,Two-Back Task,1,Subject034,,faces,
Choice made,145.9697649999871,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,145.96980530000292,False,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,148.01813600002788,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,148.01816249999683,,,,Two-Back Task,1,Subject034,,faces,
Choice made,149.10565749998204,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,149.105699000007,False,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,151.16125459998148,,,,Two-Back Task,1,Subject034,,faces,
Choice presented,151.1612817000132,,,,Two-Back Task,1,Subject034,,faces,
Choice made,152.69178749999264,,,,Two-Back Task,1,Subject034,,faces,
2-back Trial End,152.69182800001,True,,,Two-Back Task,1,Subject034,,faces,
2-back Trial Start,154.7488118999754,,,,Two-Back Task,1,Subject034,,faces,
