METADATA:
Experiment Seed,Subject
6599885,Syc01
Time after setup,8.427452000032645
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,11
EXPERIMENT DATA:,Movie Task
Start Time,15.491479200019967
ESQ,68.23782179999398,,Distracting_response,6.100000000000003,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,70.27271220000694,,Emotion_response,2.5999999999999988,Movie Task,1,Syc01,,Marker Started at 4,Movie Task
ESQ,76.31369859998813,,Self_response,6.100000000000007,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
ESQ,86.6690289999824,,Words_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,94.2513539000065,,Detailed_response,4.000000000000002,Movie Task,1,Syc01,,Marker Started at 2,Movie Task
ESQ,102.38267810002435,,Deliberate_response,3.0,Movie Task,1,Syc01,,Marker Started at 3,Movie Task
ESQ,103.40531940001529,,Sounds_response,3.0,Movie Task,1,Syc01,,Marker Started at 3,Movie Task
ESQ,137.617518700019,,Knowledge_response,5.0,Movie Task,1,Syc01,,Marker Started at 5,Movie Task
ESQ,138.64734710002085,,Absorption_response,10.0,Movie Task,1,Syc01,,Marker Started at 10,Movie Task
ESQ,141.89450709999073,,Past_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,143.20089959999314,,Focus_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,144.56197590002557,,Problem_response,9.0,Movie Task,1,Syc01,,Marker Started at 9,Movie Task
ESQ,146.0132451999816,,Future_response,9.0,Movie Task,1,Syc01,,Marker Started at 9,Movie Task
ESQ,147.40939490002347,,Other_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,148.69980440003565,,Intrusive_response,5.0,Movie Task,1,Syc01,,Marker Started at 5,Movie Task
ESQ,149.96421130001545,,Images_response,5.0,Movie Task,1,Syc01,,Marker Started at 5,Movie Task
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,222.85937950003427
ESQ,228.9624609000166,,Detailed_response,2.0,Experience Sampling Questions,1,Syc01,,Marker Started at 2,Movie Task
ESQ,229.99711490003392,,Deliberate_response,6.0,Experience Sampling Questions,1,Syc01,,Marker Started at 6,Movie Task
ESQ,231.16389349999372,,Distracting_response,2.0,Experience Sampling Questions,1,Syc01,,Marker Started at 2,Movie Task
ESQ,232.54487979999976,,Problem_response,8.0,Experience Sampling Questions,1,Syc01,,Marker Started at 8,Movie Task
ESQ,236.32251179998275,,Future_response,4.0,Experience Sampling Questions,1,Syc01,,Marker Started at 4,Movie Task
ESQ,237.72586130001582,,Other_response,2.0,Experience Sampling Questions,1,Syc01,,Marker Started at 2,Movie Task
ESQ,238.97614500002237,,Past_response,9.0,Experience Sampling Questions,1,Syc01,,Marker Started at 9,Movie Task
ESQ,240.2599601999973,,Absorption_response,10.0,Experience Sampling Questions,1,Syc01,,Marker Started at 10,Movie Task
ESQ,241.64974600001005,,Images_response,10.0,Experience Sampling Questions,1,Syc01,,Marker Started at 10,Movie Task
ESQ,243.01793680002447,,Sounds_response,6.0,Experience Sampling Questions,1,Syc01,,Marker Started at 6,Movie Task
ESQ,244.88463889999548,,Focus_response,5.0,Experience Sampling Questions,1,Syc01,,Marker Started at 5,Movie Task
ESQ,246.1974716000259,,Words_response,8.0,Experience Sampling Questions,1,Syc01,,Marker Started at 8,Movie Task
ESQ,247.391337500012,,Self_response,4.0,Experience Sampling Questions,1,Syc01,,Marker Started at 4,Movie Task
ESQ,248.42421349999495,,Emotion_response,9.0,Experience Sampling Questions,1,Syc01,,Marker Started at 9,Movie Task
ESQ,249.71817780000856,,Intrusive_response,9.0,Experience Sampling Questions,1,Syc01,,Marker Started at 9,Movie Task
ESQ,250.98181530000875,,Knowledge_response,3.0,Experience Sampling Questions,1,Syc01,,Marker Started at 3,Movie Task
 
Runtime Mod,-10
EXPERIMENT DATA:,Movie Task
Start Time,251.0257795000216
ESQ,360.4920264999964,,Deliberate_response,3.0,Movie Task,1,Syc01,,Marker Started at 3,Movie Task
ESQ,361.52383190003457,,Detailed_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,362.5430228000041,,Future_response,9.0,Movie Task,1,Syc01,,Marker Started at 9,Movie Task
ESQ,363.5668663000106,,Distracting_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,364.5890306000365,,Absorption_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,365.6124384999857,,Problem_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,366.632443999988,,Intrusive_response,5.0,Movie Task,1,Syc01,,Marker Started at 5,Movie Task
ESQ,367.65585350000765,,Other_response,8.0,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
ESQ,368.6659753000131,,Images_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,369.6951790000312,,Words_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,370.76257600000827,,Knowledge_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,371.81914089998463,,Past_response,4.0,Movie Task,1,Syc01,,Marker Started at 4,Movie Task
ESQ,372.9230235000141,,Emotion_response,9.0,Movie Task,1,Syc01,,Marker Started at 9,Movie Task
ESQ,374.0353627000004,,Focus_response,5.0,Movie Task,1,Syc01,,Marker Started at 5,Movie Task
ESQ,375.075794400007,,Sounds_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,376.1033175000339,,Self_response,8.0,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,395.44949000002816
ESQ,399.691744700016,,Intrusive_response,3.0,Experience Sampling Questions,1,Syc01,,Marker Started at 3,Movie Task
ESQ,400.96416630002204,,Deliberate_response,6.0,Experience Sampling Questions,1,Syc01,,Marker Started at 6,Movie Task
ESQ,402.19852420000825,,Future_response,7.0,Experience Sampling Questions,1,Syc01,,Marker Started at 7,Movie Task
ESQ,403.3938041999936,,Knowledge_response,8.0,Experience Sampling Questions,1,Syc01,,Marker Started at 8,Movie Task
ESQ,404.46303769998485,,Absorption_response,7.0,Experience Sampling Questions,1,Syc01,,Marker Started at 7,Movie Task
ESQ,405.57393760001287,,Detailed_response,4.0,Experience Sampling Questions,1,Syc01,,Marker Started at 4,Movie Task
ESQ,406.60065989999566,,Images_response,5.0,Experience Sampling Questions,1,Syc01,,Marker Started at 5,Movie Task
ESQ,407.6578049000236,,Focus_response,10.0,Experience Sampling Questions,1,Syc01,,Marker Started at 10,Movie Task
ESQ,408.7842602999881,,Self_response,6.0,Experience Sampling Questions,1,Syc01,,Marker Started at 6,Movie Task
ESQ,409.85196940001333,,Distracting_response,3.0,Experience Sampling Questions,1,Syc01,,Marker Started at 3,Movie Task
ESQ,411.4209417999955,,Problem_response,7.0,Experience Sampling Questions,1,Syc01,,Marker Started at 7,Movie Task
ESQ,412.53895399998873,,Words_response,3.0,Experience Sampling Questions,1,Syc01,,Marker Started at 3,Movie Task
ESQ,413.8236309000058,,Past_response,7.0,Experience Sampling Questions,1,Syc01,,Marker Started at 7,Movie Task
ESQ,415.1222658000188,,Other_response,5.0,Experience Sampling Questions,1,Syc01,,Marker Started at 5,Movie Task
ESQ,416.3723064000369,,Sounds_response,9.0,Experience Sampling Questions,1,Syc01,,Marker Started at 9,Movie Task
ESQ,417.69883180002216,,Emotion_response,10.0,Experience Sampling Questions,1,Syc01,,Marker Started at 10,Movie Task
 
Runtime Mod,9
EXPERIMENT DATA:,Movie Task
Start Time,417.7561487000203
ESQ,440.84540210000705,,Problem_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,441.8689591999864,,Intrusive_response,2.0,Movie Task,1,Syc01,,Marker Started at 2,Movie Task
ESQ,442.8872725000256,,Detailed_response,3.0,Movie Task,1,Syc01,,Marker Started at 3,Movie Task
ESQ,443.91326649999246,,Deliberate_response,8.0,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
ESQ,444.9285764999804,,Future_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,445.94630409998354,,Past_response,8.0,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
ESQ,446.9735608000192,,Emotion_response,3.0,Movie Task,1,Syc01,,Marker Started at 3,Movie Task
ESQ,448.0051181000308,,Words_response,8.0,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
ESQ,449.27459699998144,,Absorption_response,10.0,Movie Task,1,Syc01,,Marker Started at 10,Movie Task
ESQ,450.3511477999855,,Distracting_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,451.3744318999816,,Knowledge_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,452.65064230002463,,Self_response,3.0,Movie Task,1,Syc01,,Marker Started at 3,Movie Task
ESQ,453.9146432999987,,Focus_response,9.0,Movie Task,1,Syc01,,Marker Started at 9,Movie Task
ESQ,455.1767336000339,,Sounds_response,8.0,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
ESQ,456.34413019998465,,Other_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,457.41244610003196,,Images_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,528.7389634000137
ESQ,534.346967999998,,Emotion_response,10.0,Experience Sampling Questions,1,Syc01,,Marker Started at 10,Movie Task
ESQ,535.6741287999903,,Future_response,6.0,Experience Sampling Questions,1,Syc01,,Marker Started at 6,Movie Task
ESQ,536.6875424000318,,Images_response,4.0,Experience Sampling Questions,1,Syc01,,Marker Started at 4,Movie Task
ESQ,537.875245800009,,Past_response,6.0,Experience Sampling Questions,1,Syc01,,Marker Started at 6,Movie Task
ESQ,539.0214686000254,,Intrusive_response,7.0,Experience Sampling Questions,1,Syc01,,Marker Started at 7,Movie Task
ESQ,540.2501971999882,,Focus_response,4.0,Experience Sampling Questions,1,Syc01,,Marker Started at 4,Movie Task
ESQ,541.4032526999945,,Deliberate_response,10.0,Experience Sampling Questions,1,Syc01,,Marker Started at 10,Movie Task
ESQ,542.6673099999898,,Detailed_response,8.0,Experience Sampling Questions,1,Syc01,,Marker Started at 8,Movie Task
ESQ,543.9378007000196,,Other_response,10.0,Experience Sampling Questions,1,Syc01,,Marker Started at 10,Movie Task
ESQ,545.2221325000282,,Problem_response,6.0,Experience Sampling Questions,1,Syc01,,Marker Started at 6,Movie Task
ESQ,546.4722480000346,,Words_response,2.0,Experience Sampling Questions,1,Syc01,,Marker Started at 2,Movie Task
ESQ,547.7217722000205,,Sounds_response,10.0,Experience Sampling Questions,1,Syc01,,Marker Started at 10,Movie Task
ESQ,548.9720614000107,,Knowledge_response,7.0,Experience Sampling Questions,1,Syc01,,Marker Started at 7,Movie Task
ESQ,550.2635667999857,,Distracting_response,9.0,Experience Sampling Questions,1,Syc01,,Marker Started at 9,Movie Task
ESQ,551.5969935000176,,Self_response,2.0,Experience Sampling Questions,1,Syc01,,Marker Started at 2,Movie Task
ESQ,552.8399920000229,,Absorption_response,2.0,Experience Sampling Questions,1,Syc01,,Marker Started at 2,Movie Task
 
Runtime Mod,-15
EXPERIMENT DATA:,Movie Task
Start Time,552.8822123000282
ESQ,608.2063366000075,,Past_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,609.6577708999976,,Self_response,8.0,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
ESQ,610.9909463000367,,Focus_response,2.0,Movie Task,1,Syc01,,Marker Started at 2,Movie Task
ESQ,612.2694451999851,,Words_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,613.5327601000317,,Images_response,4.0,Movie Task,1,Syc01,,Marker Started at 4,Movie Task
ESQ,614.7805867000134,,Sounds_response,2.0,Movie Task,1,Syc01,,Marker Started at 2,Movie Task
ESQ,616.0397497999948,,Deliberate_response,7.0,Movie Task,1,Syc01,,Marker Started at 7,Movie Task
ESQ,617.2912718000007,,Future_response,5.0,Movie Task,1,Syc01,,Marker Started at 5,Movie Task
ESQ,618.525934699981,,Intrusive_response,6.0,Movie Task,1,Syc01,,Marker Started at 6,Movie Task
ESQ,619.9140511000296,,Other_response,9.0,Movie Task,1,Syc01,,Marker Started at 9,Movie Task
ESQ,621.1779466000153,,Detailed_response,3.0,Movie Task,1,Syc01,,Marker Started at 3,Movie Task
ESQ,622.4630828999798,,Problem_response,9.0,Movie Task,1,Syc01,,Marker Started at 9,Movie Task
ESQ,623.7265976000344,,Distracting_response,4.0,Movie Task,1,Syc01,,Marker Started at 4,Movie Task
ESQ,625.0402315999963,,Absorption_response,9.0,Movie Task,1,Syc01,,Marker Started at 9,Movie Task
ESQ,627.4759001000202,,Emotion_response,8.0,Movie Task,1,Syc01,,Marker Started at 8,Movie Task
