METADATA:
Experiment Seed,Subject
968467,ra1dav
Time after setup,24.170834199991077
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-11
EXPERIMENT DATA:,Hard Math Task
Start Time,56.972764799997094
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,146.20065709999471
ESQ,170.7197113000002,,Other_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Hard Math Task
ESQ,171.75250159999996,,Past_response,8.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Hard Math Task
ESQ,336.76861220000137,,Intrusive_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Hard Math Task
ESQ,356.03253949999635,,Focus_response,3.000000000000009,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Hard Math Task
ESQ,366.54096309999295,,Self_response,7.899999999999991,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Hard Math Task
ESQ,380.52022540000326,,Knowledge_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Hard Math Task
ESQ,399.4338488999929,,Deliberate_response,9.200000000000003,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Hard Math Task
ESQ,407.4583389999898,,Detailed_response,2.0000000000000044,Experience Sampling Questions,1,ra1dav,,Marker Started at 7,Hard Math Task
ESQ,451.7920853999967,,Words_response,8.49999999999999,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Hard Math Task
ESQ,454.7120297999936,,Sounds_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Hard Math Task
ESQ,460.73437629999535,,Distracting_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Hard Math Task
ESQ,468.7904874999949,,Absorption_response,9.099999999999987,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Hard Math Task
ESQ,476.49649949999,,Problem_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 5,Hard Math Task
ESQ,483.95112879999215,,Emotion_response,5.000000000000014,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Hard Math Task
ESQ,488.6380550999893,,Images_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Hard Math Task
ESQ,493.35847079999803,,Future_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Hard Math Task
 
Runtime Mod,-10
EXPERIMENT DATA:,Hard Math Task
Start Time,493.37349469999026
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,575.9596246000001
ESQ,584.080741400001,,Focus_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Hard Math Task
ESQ,594.6236430999998,,Detailed_response,2.3999999999999995,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Hard Math Task
ESQ,606.9838811999944,,Knowledge_response,8.800000000000004,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Hard Math Task
ESQ,610.5352018999984,,Other_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 5,Hard Math Task
ESQ,614.5398021000001,,Past_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Hard Math Task
ESQ,618.5761322999897,,Distracting_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Hard Math Task
ESQ,627.4834256999893,,Emotion_response,5.000000000000018,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Hard Math Task
ESQ,631.2029965999973,,Sounds_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Hard Math Task
ESQ,644.7968682999926,,Self_response,2.6000000000000005,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Hard Math Task
ESQ,655.0208923000027,,Problem_response,8.999999999999993,Experience Sampling Questions,1,ra1dav,,Marker Started at 7,Hard Math Task
ESQ,659.7088466999994,,Intrusive_response,2.3999999999999986,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Hard Math Task
ESQ,690.6656796000025,,Words_response,7.100000000000007,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Hard Math Task
ESQ,693.9030789999961,,Images_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 7,Hard Math Task
ESQ,698.9576951999916,,Deliberate_response,8.79999999999999,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Hard Math Task
ESQ,705.1099191999965,,Future_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Hard Math Task
ESQ,723.3417140999954,,Absorption_response,3.000000000000016,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Hard Math Task
 
Runtime Mod,15
EXPERIMENT DATA:,Hard Math Task
Start Time,723.3568636999989
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,820.887914699997
ESQ,828.7270331999898,,Other_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Hard Math Task
ESQ,832.7468653999968,,Distracting_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Hard Math Task
ESQ,846.4578646000009,,Words_response,6.600000000000005,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Hard Math Task
ESQ,863.8547514999955,,Emotion_response,5.100000000000003,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Hard Math Task
ESQ,867.7233567999938,,Past_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Hard Math Task
ESQ,880.1338600000017,,Absorption_response,4.300000000000017,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Hard Math Task
ESQ,889.4411506000033,,Problem_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Hard Math Task
ESQ,902.435798999999,,Focus_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Hard Math Task
ESQ,905.8725370000029,,Knowledge_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Hard Math Task
ESQ,910.1237560000009,,Images_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Hard Math Task
ESQ,914.1602915999974,,Future_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Hard Math Task
ESQ,919.5326602999994,,Self_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 7,Hard Math Task
ESQ,922.9672925999912,,Sounds_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 5,Hard Math Task
ESQ,942.5675491000002,,Detailed_response,5.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 5,Hard Math Task
ESQ,945.8521579999942,,Deliberate_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Hard Math Task
ESQ,949.4211998999963,,Intrusive_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 7,Hard Math Task
 
Runtime Mod,6
EXPERIMENT DATA:,Easy Math Task
Start Time,949.4435767999967
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1037.9440502999933
ESQ,1055.0385196999996,,Knowledge_response,5.999999999999999,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1058.0581861999963,,Sounds_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Easy Math Task
ESQ,1063.5959818999982,,Other_response,5.300000000000002,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1082.9780183999974,,Words_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Easy Math Task
ESQ,1091.119254099991,,Future_response,6.000000000000014,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Easy Math Task
ESQ,1098.0247989999916,,Absorption_response,6.999999999999993,Experience Sampling Questions,1,ra1dav,,Marker Started at 5,Easy Math Task
ESQ,1102.9939051999972,,Detailed_response,8.200000000000003,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Easy Math Task
ESQ,1110.9015680000011,,Focus_response,6.600000000000012,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Easy Math Task
ESQ,1117.5048259000032,,Emotion_response,5.0000000000000036,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Easy Math Task
ESQ,1123.0445173999906,,Distracting_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Easy Math Task
ESQ,1129.8167511999927,,Past_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1142.592188900002,,Intrusive_response,7.299999999999993,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Easy Math Task
ESQ,1146.179316499998,,Images_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1151.1667137999902,,Deliberate_response,4.000000000000001,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Easy Math Task
ESQ,1161.5417862999893,,Self_response,3.2000000000000126,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Easy Math Task
ESQ,1201.956096599999,,Problem_response,3.3999999999999995,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Easy Math Task
 
Runtime Mod,10
EXPERIMENT DATA:,Easy Math Task
Start Time,1201.9709115000005
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1292.5304035000008
ESQ,1302.8203896999912,,Absorption_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1320.5353941999929,,Problem_response,7.000000000000007,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Easy Math Task
ESQ,1329.8424330999987,,Self_response,8.500000000000005,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Easy Math Task
ESQ,1349.8249616999965,,Knowledge_response,8.49999999999999,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Easy Math Task
ESQ,1355.6299183999945,,Past_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Easy Math Task
ESQ,1359.1160356999899,,Other_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Easy Math Task
ESQ,1371.3921069999924,,Emotion_response,7.399999999999994,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1376.0794609000004,,Intrusive_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 4,Easy Math Task
ESQ,1381.565169900001,,Sounds_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Easy Math Task
ESQ,1396.862620999993,,Images_response,5.999999999999998,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Easy Math Task
ESQ,1400.6657632999995,,Distracting_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 5,Easy Math Task
ESQ,1408.1217240999977,,Detailed_response,7.999999999999992,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1411.3242247000017,,Focus_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Easy Math Task
ESQ,1418.5785972000012,,Words_response,8.699999999999998,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Easy Math Task
ESQ,1425.9692849999992,,Future_response,8.799999999999986,Experience Sampling Questions,1,ra1dav,,Marker Started at 5,Easy Math Task
ESQ,1436.8942816999916,,Deliberate_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 7,Easy Math Task
 
Runtime Mod,15
EXPERIMENT DATA:,Easy Math Task
Start Time,1436.9075551999995
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1537.3575427000033
ESQ,1543.4127099999896,,Absorption_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Easy Math Task
ESQ,1551.6691816999955,,Focus_response,9.100000000000003,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1567.1817557000031,,Knowledge_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 2,Easy Math Task
ESQ,1571.68512129999,,Deliberate_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Easy Math Task
ESQ,1577.3231080999976,,Self_response,6.399999999999997,Experience Sampling Questions,1,ra1dav,,Marker Started at 3,Easy Math Task
ESQ,1585.4462197999965,,Images_response,7.500000000000009,Experience Sampling Questions,1,ra1dav,,Marker Started at 9,Easy Math Task
ESQ,1589.8664890999935,,Distracting_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 10,Easy Math Task
ESQ,1594.6842571000016,,Other_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Easy Math Task
ESQ,1600.7914699999965,,Future_response,10.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 8,Easy Math Task
ESQ,1609.0984067999962,,Sounds_response,3.900000000000006,Experience Sampling Questions,1,ra1dav,,Marker Started at 7,Easy Math Task
ESQ,1616.5860654999997,,Emotion_response,5.000000000000007,Experience Sampling Questions,1,ra1dav,,Marker Started at 7,Easy Math Task
ESQ,1621.1078663999942,,Past_response,1.0,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Easy Math Task
ESQ,1631.3823971999955,,Words_response,5.0000000000000036,Experience Sampling Questions,1,ra1dav,,Marker Started at 6,Easy Math Task
