METADATA:
Experiment Seed,Subject
968467,ra1dav
Time after setup,24.170818999991752
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Hard Math Task
Start Time,56.97275200000149
Math Task Start,80.27550319999864,,,,Hard Math Task,1,ra1dav,,,
fixation cross,80.28773299999011,,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,82.33424879999075,,,,Hard Math Task,1,ra1dav,,,
Choice presented,82.35053419999895,,,,Hard Math Task,1,ra1dav,,,
Choice made,87.26884609999252,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,87.26891489999252,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,87.26895089999016,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,89.30215269999462,,,,Hard Math Task,1,ra1dav,,,
Choice presented,89.30696989998978,,,,Hard Math Task,1,ra1dav,,,
Choice made,91.5390092000016,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,91.53908339999907,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,91.53912299999502,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,93.57616109999071,,,,Hard Math Task,1,ra1dav,,,
Choice presented,93.59314430000086,,,,Hard Math Task,1,ra1dav,,,
Choice made,95.49211929999001,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,95.49219350000203,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,95.4922338000033,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,97.5263227999967,,,,Hard Math Task,1,ra1dav,,,
Choice presented,97.5457136999903,,,,Hard Math Task,1,ra1dav,,,
Choice made,99.9122755999997,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,99.9123438999959,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,99.9123821999965,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,101.9429678000015,,,,Hard Math Task,1,ra1dav,,,
Choice presented,101.94903869999689,,,,Hard Math Task,1,ra1dav,,,
Choice made,103.84874459999264,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,103.84881359999417,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,103.84885189999477,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,105.87912909999432,,,,Hard Math Task,1,ra1dav,,,
Choice presented,105.88574379999773,,,,Hard Math Task,1,ra1dav,,,
Choice made,107.78506779999589,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,107.78509720000147,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,107.78512929999852,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,109.81493429999682,,,,Hard Math Task,1,ra1dav,,,
Choice presented,109.82216409999819,,,,Hard Math Task,1,ra1dav,,,
Choice made,111.72166179999476,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,111.72174300000188,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,111.72178229999554,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,113.75472869999066,,,,Hard Math Task,1,ra1dav,,,
Choice presented,113.7591367999994,,,,Hard Math Task,1,ra1dav,,,
Choice made,115.60821639999631,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,115.60827779999818,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,115.60830779999378,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,117.63830479999888,,,,Hard Math Task,1,ra1dav,,,
Choice presented,117.64511719999427,,,,Hard Math Task,1,ra1dav,,,
Choice made,121.41279190000205,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,121.41286299999047,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,121.41289929999039,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,123.44301619999169,,,,Hard Math Task,1,ra1dav,,,
Choice presented,123.44979990000138,,,,Hard Math Task,1,ra1dav,,,
Choice made,125.8663102999999,,,,Hard Math Task,1,ra1dav,,,
Math Trial End,125.86637879999762,True,,,Hard Math Task,1,ra1dav,,,
Math Trial End,125.86641770000278,True,,,Hard Math Task,1,ra1dav,,,
Math Trial Start,127.89464699999371,,,,Hard Math Task,1,ra1dav,,,
