METADATA:
Experiment Seed,Subject
8755718,sub026
Time after setup,7.414046899997629
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-7
EXPERIMENT DATA:,Two-Back Task
Start Time,25.904451299997163
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,138.91979349999747
ESQ,149.88735019999876,,Knowledge_response,1.4000000000000152,Experience Sampling Questions,1,sub026,,Marker Started at 10,Two-Back Task-scenes
ESQ,153.69025719999627,,Deliberate_response,5.500000000000012,Experience Sampling Questions,1,sub026,,Marker Started at 9,Two-Back Task-scenes
ESQ,157.361587899999,,Emotion_response,4.0,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
ESQ,162.33197870000004,,Words_response,2.0999999999999983,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
ESQ,166.80106689999957,,Past_response,9.0,Experience Sampling Questions,1,sub026,,Marker Started at 9,Two-Back Task-scenes
ESQ,169.40522339999734,,Detailed_response,2.0,Experience Sampling Questions,1,sub026,,Marker Started at 2,Two-Back Task-scenes
ESQ,172.53906540000025,,Intrusive_response,3.400000000000002,Experience Sampling Questions,1,sub026,,Marker Started at 6,Two-Back Task-scenes
ESQ,176.24315729999944,,Other_response,3.400000000000013,Experience Sampling Questions,1,sub026,,Marker Started at 9,Two-Back Task-scenes
ESQ,179.37790349999705,,Absorption_response,2.2999999999999976,Experience Sampling Questions,1,sub026,,Marker Started at 5,Two-Back Task-scenes
ESQ,183.2821871999986,,Sounds_response,1.5999999999999992,Experience Sampling Questions,1,sub026,,Marker Started at 3,Two-Back Task-scenes
ESQ,188.06830899999477,,Self_response,2.1999999999999975,Experience Sampling Questions,1,sub026,,Marker Started at 5,Two-Back Task-scenes
ESQ,191.17224009999336,,Future_response,7.10000000000001,Experience Sampling Questions,1,sub026,,Marker Started at 10,Two-Back Task-scenes
ESQ,195.3908386999974,,Images_response,9.299999999999986,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
ESQ,199.67913709999993,,Focus_response,7.599999999999993,Experience Sampling Questions,1,sub026,,Marker Started at 2,Two-Back Task-scenes
ESQ,206.18352199999936,,Distracting_response,5.599999999999999,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
ESQ,209.43501470000047,,Problem_response,6.899999999999994,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
 
Runtime Mod,-9
EXPERIMENT DATA:,Two-Back Task
Start Time,209.45759289999842
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,362.09477669999615
ESQ,373.4516532999987,,Problem_response,4.400000000000002,Experience Sampling Questions,1,sub026,,Marker Started at 2,Two-Back Task-scenes
ESQ,378.15715129999444,,Future_response,3.0,Experience Sampling Questions,1,sub026,,Marker Started at 3,Two-Back Task-scenes
ESQ,381.24130879999575,,Emotion_response,5.0,Experience Sampling Questions,1,sub026,,Marker Started at 5,Two-Back Task-scenes
ESQ,388.61414249999507,,Words_response,4.000000000000013,Experience Sampling Questions,1,sub026,,Marker Started at 9,Two-Back Task-scenes
