METADATA:
Experiment Seed,Subject
8755718,sub026
Time after setup,7.414034199995513
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Two-Back Task
Start Time,25.90443779999623
2-back Task Start,70.04879859999346,,,,Two-Back Task,1,sub026,,scenes,
fixation cross,70.07508659999439,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,72.19697659999656,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,72.19700139999622,,,,Two-Back Task,1,sub026,,scenes,
Choice made,74.22641289999592,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,74.22647429999779,False,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,76.27306729999691,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,76.27309359999344,,,,Two-Back Task,1,sub026,,scenes,
Choice made,78.06284419999429,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,78.06290139999328,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,80.10845739999786,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,80.10848229999829,,,,Two-Back Task,1,sub026,,scenes,
Choice made,81.08195589999377,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,81.08199429999513,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,83.11671949999436,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,83.11674459999631,,,,Two-Back Task,1,sub026,,scenes,
Choice made,84.31780979999894,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,84.31785079999827,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,86.36073309999483,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,86.36075869999331,,,,Two-Back Task,1,sub026,,scenes,
Choice made,88.38792969999486,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,88.38798319999478,False,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,90.44332189999841,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,90.44334619999427,,,,Two-Back Task,1,sub026,,scenes,
Choice made,91.99078269999882,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,91.99083959999552,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,94.04124659999798,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,94.04127239999798,,,,Two-Back Task,1,sub026,,scenes,
Choice made,94.89305400000012,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,94.89313549999497,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,96.94032629999856,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,96.940351499994,,,,Two-Back Task,1,sub026,,scenes,
Choice made,98.4793606999956,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,98.47941719999653,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,100.52361309999833,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,100.52363799999875,,,,Two-Back Task,1,sub026,,scenes,
Choice made,102.03227729999344,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,102.03231719999894,False,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,104.07026999999653,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,104.0702953,,,,Two-Back Task,1,sub026,,scenes,
Choice made,104.81783329999598,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,104.81789019999997,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,106.86109619999479,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,106.86111999999412,,,,Two-Back Task,1,sub026,,scenes,
Choice made,108.17060309999943,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,108.17064329999994,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,110.22288370000024,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,110.22290829999838,,,,Two-Back Task,1,sub026,,scenes,
Choice made,110.90606399999524,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,110.90610429999651,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,112.9535304999954,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,112.95355689999997,,,,Two-Back Task,1,sub026,,scenes,
Choice made,113.75838199999998,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,113.75842099999863,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,115.80538149999484,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,115.8054073999956,,,,Two-Back Task,1,sub026,,scenes,
Choice made,116.69405509999342,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,116.69409959999757,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,118.7319478999998,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,118.73197339999751,,,,Two-Back Task,1,sub026,,scenes,
Choice made,120.480510399997,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,120.48057249999692,False,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,122.52123989999382,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,122.52126889999636,,,,Two-Back Task,1,sub026,,scenes,
Choice made,123.13275929999509,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,123.1328005999967,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,125.18075589999353,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,125.18078160000005,,,,Two-Back Task,1,sub026,,scenes,
Choice made,126.08506759999727,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,126.08511449999787,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,128.13732080000045,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,128.13734639999893,,,,Two-Back Task,1,sub026,,scenes,
Choice made,128.68711769999936,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,128.6871644999992,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,130.7299020999999,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,130.72992829999566,,,,Two-Back Task,1,sub026,,scenes,
Choice made,131.289305899998,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,131.28934630000003,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,133.3243685999987,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,133.3243935999999,,,,Two-Back Task,1,sub026,,scenes,
Choice made,134.2083050999936,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,134.20836209999834,False,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,136.2613149999961,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,136.26133979999577,,,,Two-Back Task,1,sub026,,scenes,
Choice made,136.8938127999936,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,136.89385319999565,True,,,Two-Back Task,1,sub026,,scenes,
2-back Task End,138.91102969999338,,,,Two-Back Task,1,sub026,,scenes,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,138.91973589999543
ESQ,144.07563229999505,,Knowledge_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,149.88735019999876,,Knowledge_response,1.4000000000000152,Experience Sampling Questions,1,sub026,,Marker Started at 10,Two-Back Task-scenes
ESQ,149.88907469999685,,Deliberate_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,153.69025719999627,,Deliberate_response,5.500000000000012,Experience Sampling Questions,1,sub026,,Marker Started at 9,Two-Back Task-scenes
ESQ,153.69188219999342,,Emotion_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,157.361587899999,,Emotion_response,4.0,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
ESQ,157.36319099999673,,Words_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,162.33197870000004,,Words_response,2.0999999999999983,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
ESQ,162.3336242000005,,Past_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,166.80106689999957,,Past_response,9.0,Experience Sampling Questions,1,sub026,,Marker Started at 9,Two-Back Task-scenes
ESQ,166.80267299999832,,Detailed_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,169.40522339999734,,Detailed_response,2.0,Experience Sampling Questions,1,sub026,,Marker Started at 2,Two-Back Task-scenes
ESQ,169.40683929999796,,Intrusive_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,172.53906540000025,,Intrusive_response,3.400000000000002,Experience Sampling Questions,1,sub026,,Marker Started at 6,Two-Back Task-scenes
ESQ,172.54067279999435,,Other_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,176.24315729999944,,Other_response,3.400000000000013,Experience Sampling Questions,1,sub026,,Marker Started at 9,Two-Back Task-scenes
ESQ,176.24477459999616,,Absorption_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,179.37790349999705,,Absorption_response,2.2999999999999976,Experience Sampling Questions,1,sub026,,Marker Started at 5,Two-Back Task-scenes
ESQ,179.37965319999785,,Sounds_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,183.2821871999986,,Sounds_response,1.5999999999999992,Experience Sampling Questions,1,sub026,,Marker Started at 3,Two-Back Task-scenes
ESQ,183.2831870999944,,Self_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,188.06830899999477,,Self_response,2.1999999999999975,Experience Sampling Questions,1,sub026,,Marker Started at 5,Two-Back Task-scenes
ESQ,188.07007369999337,,Future_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,191.17224009999336,,Future_response,7.10000000000001,Experience Sampling Questions,1,sub026,,Marker Started at 10,Two-Back Task-scenes
ESQ,191.17405139999755,,Images_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,195.3908386999974,,Images_response,9.299999999999986,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
ESQ,195.39234319999377,,Focus_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,199.67913709999993,,Focus_response,7.599999999999993,Experience Sampling Questions,1,sub026,,Marker Started at 2,Two-Back Task-scenes
ESQ,199.68076889999793,,Distracting_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,206.18352199999936,,Distracting_response,5.599999999999999,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
ESQ,206.1840521999984,,Problem_start,,Experience Sampling Questions,1,sub026,,,Two-Back Task-scenes
ESQ,209.43501470000047,,Problem_response,6.899999999999994,Experience Sampling Questions,1,sub026,,Marker Started at 4,Two-Back Task-scenes
EXPERIMENT DATA:,Two-Back Task
Start Time,209.45757789999334
2-back Task Start,295.6806062999967,,,,Two-Back Task,1,sub026,,scenes,
fixation cross,295.7070112999936,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,297.7629545999953,,,,Two-Back Task,1,sub026,,scenes,
Choice presented,297.76297820000036,,,,Two-Back Task,1,sub026,,scenes,
Choice made,299.32512940000015,,,,Two-Back Task,1,sub026,,scenes,
2-back Trial End,299.32516999999643,True,,,Two-Back Task,1,sub026,,scenes,
2-back Trial Start,301.37122859999363,,,,Two-Back Task,1,sub026,,scenes,
