METADATA:,,,,,,,,,,
Block Runtime,Experiment Seed,Subject,,,,,,,,
90,8707290,subject010,,,,,,,,
Time after setup,7.9334354,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,55.8762525,,,,,,,,,
Movie Task Start,55.8762964,,,,Movie Task,1,8707290,,,
Movie Init,83.7994495,,,,Movie Task,1,8707290,,,
Movie Start,83.7995351,,,,Movie Task,1,8707290,,,
Movie End,218.1569878,,,,Movie Task,1,8707290,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,218.178499,,,,,,,,,
ESQ,223.9157345,,Distracting_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,233.2379428,,Distracting_response,9.2,Experience Sampling Questions,1,8707290,,Marker Started at 7,Movie Task
ESQ,233.2390771,,Detailed_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,244.7869646,,Detailed_response,4.5,Experience Sampling Questions,1,8707290,,Marker Started at 6,Movie Task
ESQ,244.7872943,,Focus_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,251.2868786,,Focus_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 4,Movie Task
ESQ,251.2871141,,Modality_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,258.8369835,,Modality_response,5.4,Experience Sampling Questions,1,8707290,,Marker Started at 9,Movie Task
ESQ,258.8372695,,Deliberate_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,262.9867701,,Deliberate_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 5,Movie Task
ESQ,262.9870465,,Other_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,268.3861539,,Other_response,2.6,Experience Sampling Questions,1,8707290,,Marker Started at 4,Movie Task
ESQ,268.38647,,Intrusive_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,271.769395,,Intrusive_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 6,Movie Task
ESQ,271.769633,,Past_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,278.4028524,,Past_response,1.1,Experience Sampling Questions,1,8707290,,Marker Started at 4,Movie Task
ESQ,278.4031017,,Absorption_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,281.4186447,,Absorption_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 10,Movie Task
ESQ,281.4189049,,Problem_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,288.0024342,,Problem_response,1.7,Experience Sampling Questions,1,8707290,,Marker Started at 6,Movie Task
ESQ,288.0034981,,Self_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,291.7186969,,Self_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 2,Movie Task
ESQ,291.7189704,,Emotion_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,295.6866781,,Emotion_response,1,Experience Sampling Questions,1,8707290,,Marker Started at 3,Movie Task
ESQ,295.6877766,,Future_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,299.6027145,,Future_response,10,Experience Sampling Questions,1,8707290,,Marker Started at 6,Movie Task
ESQ,299.6038498,,Knowledge_start,,Experience Sampling Questions,1,8707290,,,Movie Task
ESQ,306.435121,,Knowledge_response,7.7,Experience Sampling Questions,1,8707290,,Marker Started at 7,Movie Task
EXPERIMENT DATA:,Movie Task,,,,,,,,,
Start Time,306.4538626,,,,,,,,,
Movie Task Start,306.4539032,,,,Movie Task,1,8707290,,,
Movie Init,322.1465359,,,,Movie Task,1,8707290,,,
Movie Start,322.1466129,,,,Movie Task,1,8707290,,,
Movie End,449.8156024,,,,Movie Task,1,8707290,,,
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,449.8227448,,,,,,,,,
