METADATA:
Block Runtime,Experiment Seed,Subject
90,6184888,subject018
Time after setup,969.4456310999813
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,One-Back Task
Start Time,1040.8345598999877
0-Back Start,1040.8345942999877,,,,One-Back Task,1,6184888,,,
NoGoStimulus Start,1181.6429271999805,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1182.6871159999864,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1184.4486392999825,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1185.7522175999766,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1187.8290150999965,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1188.8030704999983,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1191.3184172999754,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1191.8518626999867,True,,,One-Back Task,1,6184888,None,OneBack,
OneBackStimulus Start,1194.1217810999951,,,,One-Back Task,1,6184888,,OneBack,
OneBackStimulus End,1195.685048299987,False,,,One-Back Task,1,6184888,left,OneBack,
NoGoStimulus Start,1200.276059899974,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1200.9516048999794,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1202.9089016999933,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1204.0009774999926,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1206.1083103999845,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1207.0515204999829,True,,,One-Back Task,1,6184888,None,OneBack,
OneBackStimulus Start,1209.2370849,,,,One-Back Task,1,6184888,,OneBack,
OneBackStimulus End,1213.1012360999885,False,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1214.6602796999796,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1216.1520165999827,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1218.5088318999915,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1219.2009354999755,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1221.4712423999736,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1222.2511344999948,True,,,One-Back Task,1,6184888,None,OneBack,
OneBackStimulus Start,1223.932206699974,,,,One-Back Task,1,6184888,,OneBack,
OneBackStimulus End,1225.002408899978,False,,,One-Back Task,1,6184888,left,OneBack,
NoGoStimulus Start,1229.8816177999834,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1231.3672996999812,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1233.0282216999913,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1234.418107799982,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1236.7350315999938,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1237.4669724999985,True,,,One-Back Task,1,6184888,None,OneBack,
OneBackStimulus Start,1239.5107630999992,,,,One-Back Task,1,6184888,,OneBack,
OneBackStimulus End,1241.017458199989,False,,,One-Back Task,1,6184888,right,OneBack,
NoGoStimulus Start,1245.2252168999985,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1246.5663484999968,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1248.935572699993,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1249.6165188000014,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1251.6159259999986,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1252.6667751999921,True,,,One-Back Task,1,6184888,None,OneBack,
NoGoStimulus Start,1254.909187399986,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1255.7175519999873,True,,,One-Back Task,1,6184888,None,OneBack,
OneBackStimulus Start,1256.810893499991,,,,One-Back Task,1,6184888,,OneBack,
OneBackStimulus End,1258.434145999985,False,,,One-Back Task,1,6184888,right,OneBack,
NoGoStimulus Start,1263.959117099992,,,,One-Back Task,1,6184888,,OneBack,
NoGoStimulus End,1264.8171985999797,True,,,One-Back Task,1,6184888,None,OneBack,
