METADATA:
Block Runtime,Experiment Seed,Subject
90,6563695,subject030
Time after setup,1001.6305847000331
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-12
EXPERIMENT DATA:,Zero-Back Task
Start Time,1060.0345329000847
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1178.7708755000494
ESQ,1193.623852699995,,Deliberate_response,10.0,Experience Sampling Questions,1,6563695,,Marker Started at 10,Zero-Back Task
ESQ,1201.9420690999832,,Focus_response,5.600000000000016,Experience Sampling Questions,1,6563695,,Marker Started at 10,Zero-Back Task
ESQ,1210.7571941000642,,Emotion_response,6.6000000000000085,Experience Sampling Questions,1,6563695,,Marker Started at 9,Zero-Back Task
ESQ,1215.8581059999997,,Future_response,3.0,Experience Sampling Questions,1,6563695,,Marker Started at 3,Zero-Back Task
ESQ,1217.1071818000637,,Other_response,2.0,Experience Sampling Questions,1,6563695,,Marker Started at 2,Zero-Back Task
ESQ,1222.7241679000435,,Intrusive_response,2.0,Experience Sampling Questions,1,6563695,,Marker Started at 2,Zero-Back Task
ESQ,1223.7400888000848,,Self_response,10.0,Experience Sampling Questions,1,6563695,,Marker Started at 10,Zero-Back Task
ESQ,1232.2747293000575,,Absorption_response,7.399999999999992,Experience Sampling Questions,1,6563695,,Marker Started at 4,Zero-Back Task
ESQ,1236.7730185000692,,Distracting_response,8.899999999999986,Experience Sampling Questions,1,6563695,,Marker Started at 5,Zero-Back Task
ESQ,1241.4904281999916,,Knowledge_response,8.999999999999996,Experience Sampling Questions,1,6563695,,Marker Started at 8,Zero-Back Task
ESQ,1246.2891035000794,,Modality_response,8.599999999999989,Experience Sampling Questions,1,6563695,,Marker Started at 3,Zero-Back Task
ESQ,1252.7560031000758,,Problem_response,6.200000000000003,Experience Sampling Questions,1,6563695,,Marker Started at 7,Zero-Back Task
ESQ,1256.9886669000844,,Past_response,10.0,Experience Sampling Questions,1,6563695,,Marker Started at 4,Zero-Back Task
ESQ,1260.773432200076,,Detailed_response,7.0,Experience Sampling Questions,1,6563695,,Marker Started at 7,Zero-Back Task
 
Runtime Mod,14
EXPERIMENT DATA:,Zero-Back Task
Start Time,1260.7936232000357
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1382.1921001999872
ESQ,1391.2175805000588,,Detailed_response,8.599999999999989,Experience Sampling Questions,1,6563695,,Marker Started at 3,Zero-Back Task
ESQ,1394.1181472000899,,Intrusive_response,9.0,Experience Sampling Questions,1,6563695,,Marker Started at 9,Zero-Back Task
ESQ,1398.4844511999981,,Other_response,10.0,Experience Sampling Questions,1,6563695,,Marker Started at 2,Zero-Back Task
ESQ,1403.6182347000577,,Deliberate_response,8.59999999999999,Experience Sampling Questions,1,6563695,,Marker Started at 6,Zero-Back Task
ESQ,1407.2355548000196,,Problem_response,7.699999999999991,Experience Sampling Questions,1,6563695,,Marker Started at 4,Zero-Back Task
ESQ,1410.68447810004,,Distracting_response,9.79999999999999,Experience Sampling Questions,1,6563695,,Marker Started at 7,Zero-Back Task
ESQ,1414.2512589000398,,Emotion_response,1.0,Experience Sampling Questions,1,6563695,,Marker Started at 2,Zero-Back Task
ESQ,1417.6675978000276,,Absorption_response,1.8999999999999975,Experience Sampling Questions,1,6563695,,Marker Started at 5,Zero-Back Task
ESQ,1421.3682852999773,,Knowledge_response,10.0,Experience Sampling Questions,1,6563695,,Marker Started at 7,Zero-Back Task
