METADATA:
Experiment Seed,Subject
4365712,subject041
Time after setup,899.3842603999947
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
Start Time,921.0322701999976
Movie Task Start,921.0323059999937,,,,Movie Task,1,subject041,,,
Movie Init,947.681547500004,,,,Movie Task,1,subject041,,,
Movie Start,947.6815875000029,,,,Movie Task,1,subject041,,incept.mp4,
ESQ,1025.169715600001,,Knowledge_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1043.205975799996,,Knowledge_response,1.0,Movie Task,1,subject041,,Marker Started at 6,Movie Task-incept
ESQ,1043.207539199997,,Detailed_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1057.4664417000022,,Detailed_response,8.99999999999999,Movie Task,1,subject041,,Marker Started at 6,Movie Task-incept
ESQ,1057.4680158999981,,Past_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1070.3438546999969,,Past_response,2.2999999999999985,Movie Task,1,subject041,,Marker Started at 4,Movie Task-incept
ESQ,1070.345564000003,,Words_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1074.7636798000021,,Words_response,2.0,Movie Task,1,subject041,,Marker Started at 2,Movie Task-incept
ESQ,1074.765225199997,,Emotion_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1084.3889227000036,,Emotion_response,1.0,Movie Task,1,subject041,,Marker Started at 2,Movie Task-incept
ESQ,1084.3905948000029,,Self_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1093.828895700004,,Self_response,8.100000000000003,Movie Task,1,subject041,,Marker Started at 9,Movie Task-incept
ESQ,1093.830535999994,,Problem_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1108.1232959000045,,Problem_response,10.0,Movie Task,1,subject041,,Marker Started at 10,Movie Task-incept
ESQ,1108.124080900001,,Distracting_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1119.1327343000012,,Distracting_response,3.800000000000006,Movie Task,1,subject041,,Marker Started at 7,Movie Task-incept
ESQ,1119.1343762000033,,Other_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1125.2210322000028,,Other_response,10.0,Movie Task,1,subject041,,Marker Started at 4,Movie Task-incept
ESQ,1125.2225767999917,,Deliberate_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1136.3309807000041,,Deliberate_response,2.899999999999998,Movie Task,1,subject041,,Marker Started at 5,Movie Task-incept
ESQ,1136.3325299999997,,Images_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1141.1509474999912,,Images_response,10.0,Movie Task,1,subject041,,Marker Started at 5,Movie Task-incept
ESQ,1141.152500199998,,Sounds_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1144.7358629999944,,Sounds_response,10.0,Movie Task,1,subject041,,Marker Started at 8,Movie Task-incept
ESQ,1144.7375702999998,,Future_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1147.605866900005,,Future_response,10.0,Movie Task,1,subject041,,Marker Started at 10,Movie Task-incept
ESQ,1147.606368599998,,Focus_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1162.4838355999964,,Focus_response,3.9000000000000132,Movie Task,1,subject041,,Marker Started at 9,Movie Task-incept
ESQ,1162.4853966999945,,Intrusive_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1167.002909399991,,Intrusive_response,8.299999999999995,Movie Task,1,subject041,,Marker Started at 7,Movie Task-incept
ESQ,1167.0045971999934,,Absorption_start,,Movie Task,1,subject041,,,Movie Task-incept
ESQ,1172.7258588999975,,Absorption_response,3.0,Movie Task,1,subject041,,Marker Started at 3,Movie Task-incept
Movie End incept.mp4,1192.791868100001,,,,Movie Task,1,subject041,,77,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1192.8139314
ESQ,1197.0912242999912,,Absorption_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1211.489761299992,,Absorption_response,1.0,Experience Sampling Questions,1,subject041,,Marker Started at 10,Movie Task-Movie Task-incept
ESQ,1211.4913418999931,,Focus_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1217.6438467999978,,Focus_response,1.0,Experience Sampling Questions,1,subject041,,Marker Started at 2,Movie Task-Movie Task-incept
ESQ,1217.6454164000024,,Images_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1220.8302784999978,,Images_response,10.0,Experience Sampling Questions,1,subject041,,Marker Started at 10,Movie Task-Movie Task-incept
ESQ,1220.8318538000021,,Emotion_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1226.6688084999914,,Emotion_response,5.20000000000001,Experience Sampling Questions,1,subject041,,Marker Started at 8,Movie Task-Movie Task-incept
ESQ,1226.6703904000024,,Other_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1230.738776600003,,Other_response,10.0,Experience Sampling Questions,1,subject041,,Marker Started at 9,Movie Task-Movie Task-incept
ESQ,1230.7404132999945,,Distracting_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1235.6257688000042,,Distracting_response,1.0,Experience Sampling Questions,1,subject041,,Marker Started at 7,Movie Task-Movie Task-incept
ESQ,1235.6273296,,Words_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1245.5833758999943,,Words_response,1.0,Experience Sampling Questions,1,subject041,,Marker Started at 6,Movie Task-Movie Task-incept
ESQ,1245.5849413999968,,Problem_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1250.1857537000033,,Problem_response,10.0,Experience Sampling Questions,1,subject041,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,1250.1865476999956,,Sounds_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1253.9232498999918,,Sounds_response,10.0,Experience Sampling Questions,1,subject041,,Marker Started at 8,Movie Task-Movie Task-incept
ESQ,1253.924913499999,,Deliberate_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1258.1764971999946,,Deliberate_response,10.0,Experience Sampling Questions,1,subject041,,Marker Started at 8,Movie Task-Movie Task-incept
ESQ,1258.1780531999975,,Future_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1261.9455166999978,,Future_response,10.0,Experience Sampling Questions,1,subject041,,Marker Started at 5,Movie Task-Movie Task-incept
ESQ,1261.9471784999914,,Past_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1266.3157485999982,,Past_response,1.0,Experience Sampling Questions,1,subject041,,Marker Started at 5,Movie Task-Movie Task-incept
ESQ,1266.317293,,Self_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1273.0557811000035,,Self_response,5.2000000000000135,Experience Sampling Questions,1,subject041,,Marker Started at 9,Movie Task-Movie Task-incept
ESQ,1273.0574265000032,,Detailed_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1276.9916316000017,,Detailed_response,10.0,Experience Sampling Questions,1,subject041,,Marker Started at 9,Movie Task-Movie Task-incept
ESQ,1276.9932941000006,,Intrusive_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1285.8835076999967,,Intrusive_response,5.3999999999999995,Experience Sampling Questions,1,subject041,,Marker Started at 4,Movie Task-Movie Task-incept
ESQ,1285.8851136000012,,Knowledge_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-incept
ESQ,1294.3886888999987,,Knowledge_response,1.0,Experience Sampling Questions,1,subject041,,Marker Started at 4,Movie Task-Movie Task-incept
EXPERIMENT DATA:,Movie Task
Start Time,1294.4011704000004
Movie Task Start,1294.4012015000044,,,,Movie Task,1,subject041,,,
Movie Init,1300.289542300001,,,,Movie Task,1,subject041,,,
Movie Start,1300.2895796999946,,,,Movie Task,1,subject041,,bridge.mp4,
ESQ,1341.5060876999923,,Intrusive_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1347.4478019999951,,Intrusive_response,1.0,Movie Task,1,subject041,,Marker Started at 2,Movie Task-bridge
ESQ,1347.4493139999977,,Sounds_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1352.5186552999949,,Sounds_response,10.0,Movie Task,1,subject041,,Marker Started at 5,Movie Task-bridge
ESQ,1352.5201970999915,,Distracting_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1357.4056487000053,,Distracting_response,1.0,Movie Task,1,subject041,,Marker Started at 3,Movie Task-bridge
ESQ,1357.4072919000027,,Self_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1362.1428422000026,,Self_response,2.0,Movie Task,1,subject041,,Marker Started at 2,Movie Task-bridge
ESQ,1362.1444026999961,,Words_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1369.348543,,Words_response,10.0,Movie Task,1,subject041,,Marker Started at 8,Movie Task-bridge
ESQ,1369.3501039999974,,Images_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1376.4538831999962,,Images_response,10.0,Movie Task,1,subject041,,Marker Started at 2,Movie Task-bridge
ESQ,1376.4554245000036,,Detailed_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1380.4077456999948,,Detailed_response,7.199999999999996,Movie Task,1,subject041,,Marker Started at 6,Movie Task-bridge
ESQ,1380.4092398999928,,Past_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1386.5956517000013,,Past_response,1.0,Movie Task,1,subject041,,Marker Started at 8,Movie Task-bridge
ESQ,1386.5972117999918,,Emotion_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1391.0653168999997,,Emotion_response,10.0,Movie Task,1,subject041,,Marker Started at 6,Movie Task-bridge
ESQ,1391.0660617999965,,Problem_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1396.019635100005,,Problem_response,1.0,Movie Task,1,subject041,,Marker Started at 6,Movie Task-bridge
ESQ,1396.021220900002,,Other_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1400.5733935000026,,Other_response,10.0,Movie Task,1,subject041,,Marker Started at 2,Movie Task-bridge
ESQ,1400.5749402999936,,Deliberate_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1404.7756017999927,,Deliberate_response,10.0,Movie Task,1,subject041,,Marker Started at 9,Movie Task-bridge
ESQ,1404.777187300002,,Absorption_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1418.387476200005,,Absorption_response,5.799999999999997,Movie Task,1,subject041,,Marker Started at 5,Movie Task-bridge
ESQ,1418.389017900001,,Focus_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1424.4590468999959,,Focus_response,1.0,Movie Task,1,subject041,,Marker Started at 9,Movie Task-bridge
ESQ,1424.460631599999,,Future_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1429.6956455000036,,Future_response,7.000000000000007,Movie Task,1,subject041,,Marker Started at 9,Movie Task-bridge
ESQ,1429.696823499995,,Knowledge_start,,Movie Task,1,subject041,,,Movie Task-bridge
ESQ,1435.2175449999922,,Knowledge_response,2.0,Movie Task,1,subject041,,Marker Started at 3,Movie Task-bridge
Movie End bridge.mp4,1481.2555188999977,,,,Movie Task,1,subject041,,45,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1481.309093399992
ESQ,1484.2534232000035,,Knowledge_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-bridge
ESQ,1491.7626621999952,,Knowledge_response,2.100000000000001,Experience Sampling Questions,1,subject041,,Marker Started at 6,Movie Task-Movie Task-bridge
ESQ,1491.7642406999948,,Distracting_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-bridge
ESQ,1494.9316924000013,,Distracting_response,1.0,Experience Sampling Questions,1,subject041,,Marker Started at 3,Movie Task-Movie Task-bridge
ESQ,1494.9332785000006,,Emotion_start,,Experience Sampling Questions,1,subject041,,,Movie Task-Movie Task-bridge
ESQ,1498.551224499999,,Emotion_response,10.0,Experience Sampling Questions,1,subject041,,Marker Started at 4,Movie Task-Movie Task-bridge
