METADATA:
Experiment Seed,Subject
2050866,subject042
Time after setup,1349.0993963000365
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,6
EXPERIMENT DATA:,Finger Tapping Task
Start Time,1366.1438835000154
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1470.244968599989
ESQ,1493.0067106999923,,Past_response,7.0,Experience Sampling Questions,1,subject042,,Marker Started at 7,Finger Tapping Task
ESQ,1500.5956178000197,,Distracting_response,3.9000000000000097,Experience Sampling Questions,1,subject042,,Marker Started at 8,Finger Tapping Task
ESQ,1504.3985045999289,,Absorption_response,2.099999999999999,Experience Sampling Questions,1,subject042,,Marker Started at 3,Finger Tapping Task
ESQ,1509.4022801999236,,Future_response,2.400000000000005,Experience Sampling Questions,1,subject042,,Marker Started at 7,Finger Tapping Task
ESQ,1516.875538000022,,Emotion_response,2.899999999999998,Experience Sampling Questions,1,subject042,,Marker Started at 5,Finger Tapping Task
ESQ,1523.5151309999637,,Problem_response,7.200000000000006,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1527.5834240999538,,Self_response,8.499999999999988,Experience Sampling Questions,1,subject042,,Marker Started at 5,Finger Tapping Task
ESQ,1532.7048948999727,,Other_response,2.600000000000012,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1538.375786199933,,Intrusive_response,4.900000000000002,Experience Sampling Questions,1,subject042,,Marker Started at 3,Finger Tapping Task
ESQ,1542.8130410999293,,Focus_response,7.299999999999993,Experience Sampling Questions,1,subject042,,Marker Started at 4,Finger Tapping Task
ESQ,1548.817207199987,,Detailed_response,6.900000000000011,Experience Sampling Questions,1,subject042,,Marker Started at 10,Finger Tapping Task
ESQ,1554.955024600029,,Sounds_response,2.0000000000000115,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1557.9744425999233,,Images_response,8.700000000000001,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1563.4291978999972,,Words_response,2.2999999999999976,Experience Sampling Questions,1,subject042,,Marker Started at 5,Finger Tapping Task
ESQ,1568.5665538000176,,Deliberate_response,7.899999999999997,Experience Sampling Questions,1,subject042,,Marker Started at 7,Finger Tapping Task
ESQ,1573.5044745999621,,Knowledge_response,8.199999999999989,Experience Sampling Questions,1,subject042,,Marker Started at 5,Finger Tapping Task
 
Runtime Mod,13
EXPERIMENT DATA:,Finger Tapping Task
Start Time,1573.5199251000304
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1680.1727353000315
ESQ,1693.5482960999943,,Other_response,8.199999999999992,Experience Sampling Questions,1,subject042,,Marker Started at 6,Finger Tapping Task
ESQ,1698.6687234999845,,Problem_response,8.399999999999991,Experience Sampling Questions,1,subject042,,Marker Started at 2,Finger Tapping Task
ESQ,1703.206204499933,,Words_response,1.9999999999999991,Experience Sampling Questions,1,subject042,,Marker Started at 3,Finger Tapping Task
ESQ,1706.7418444999494,,Past_response,8.199999999999989,Experience Sampling Questions,1,subject042,,Marker Started at 4,Finger Tapping Task
ESQ,1710.07804199995,,Images_response,10.0,Experience Sampling Questions,1,subject042,,Marker Started at 10,Finger Tapping Task
ESQ,1717.0506294999504,,Self_response,8.799999999999986,Experience Sampling Questions,1,subject042,,Marker Started at 5,Finger Tapping Task
ESQ,1720.8036878999555,,Sounds_response,2.7000000000000086,Experience Sampling Questions,1,subject042,,Marker Started at 8,Finger Tapping Task
ESQ,1729.0100217999425,,Emotion_response,3.6999999999999997,Experience Sampling Questions,1,subject042,,Marker Started at 4,Finger Tapping Task
ESQ,1734.3807798000053,,Intrusive_response,3.2,Experience Sampling Questions,1,subject042,,Marker Started at 3,Finger Tapping Task
ESQ,1737.2491379999556,,Future_response,7.0999999999999925,Experience Sampling Questions,1,subject042,,Marker Started at 5,Finger Tapping Task
ESQ,1741.3697088999907,,Focus_response,7.9999999999999964,Experience Sampling Questions,1,subject042,,Marker Started at 7,Finger Tapping Task
ESQ,1745.4060062000062,,Detailed_response,7.800000000000004,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1750.0107475999976,,Knowledge_response,9.999999999999986,Experience Sampling Questions,1,subject042,,Marker Started at 6,Finger Tapping Task
ESQ,1757.615569000016,,Distracting_response,3.900000000000001,Experience Sampling Questions,1,subject042,,Marker Started at 3,Finger Tapping Task
ESQ,1763.0531236999668,,Absorption_response,7.199999999999996,Experience Sampling Questions,1,subject042,,Marker Started at 6,Finger Tapping Task
ESQ,1766.5228408999974,,Deliberate_response,8.9,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
 
Runtime Mod,10
EXPERIMENT DATA:,Finger Tapping Task
Start Time,1766.5339891000185
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1876.2777265999466
ESQ,1886.9677779999329,,Emotion_response,8.399999999999988,Experience Sampling Questions,1,subject042,,Marker Started at 5,Finger Tapping Task
ESQ,1890.170215799939,,Words_response,3.4999999999999996,Experience Sampling Questions,1,subject042,,Marker Started at 4,Finger Tapping Task
ESQ,1893.7895339999814,,Other_response,4.100000000000017,Experience Sampling Questions,1,subject042,,Marker Started at 10,Finger Tapping Task
ESQ,1897.226340199937,,Sounds_response,2.0000000000000044,Experience Sampling Questions,1,subject042,,Marker Started at 7,Finger Tapping Task
ESQ,1900.1285915999906,,Intrusive_response,8.59999999999999,Experience Sampling Questions,1,subject042,,Marker Started at 6,Finger Tapping Task
ESQ,1902.7974534999812,,Self_response,8.999999999999986,Experience Sampling Questions,1,subject042,,Marker Started at 5,Finger Tapping Task
ESQ,1906.1834072000347,,Problem_response,8.899999999999993,Experience Sampling Questions,1,subject042,,Marker Started at 7,Finger Tapping Task
ESQ,1909.9024712999817,,Deliberate_response,3.400000000000013,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1916.2574839999434,,Absorption_response,7.30000000000001,Experience Sampling Questions,1,subject042,,Marker Started at 10,Finger Tapping Task
ESQ,1920.0942404000089,,Future_response,8.49999999999999,Experience Sampling Questions,1,subject042,,Marker Started at 3,Finger Tapping Task
ESQ,1922.9625689999666,,Images_response,9.799999999999985,Experience Sampling Questions,1,subject042,,Marker Started at 4,Finger Tapping Task
ESQ,1927.3159315999364,,Distracting_response,6.10000000000001,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1930.1523410999216,,Focus_response,7.599999999999992,Experience Sampling Questions,1,subject042,,Marker Started at 4,Finger Tapping Task
ESQ,1933.5382855000207,,Detailed_response,9.299999999999999,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1936.6071334999288,,Past_response,8.9,Experience Sampling Questions,1,subject042,,Marker Started at 9,Finger Tapping Task
ESQ,1940.795069499989,,Knowledge_response,7.8999999999999915,Experience Sampling Questions,1,subject042,,Marker Started at 3,Finger Tapping Task
 
Runtime Mod,-12
EXPERIMENT DATA:,GoNoGo Task
Start Time,1940.8062848999398
