METADATA:
Experiment Seed,Subject
5428207,testar
Time after setup,1420.9866295999964
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-6
EXPERIMENT DATA:,Friend Task
Start Time,1430.3553142000164
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1537.3450513000134
ESQ,1548.3289529000176,,Problem_response,4.4,Experience Sampling Questions,1,testar,,Marker Started at 4,Friend Task
ESQ,1551.1310883999977,,Other_response,8.500000000000005,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1553.7660450999974,,Emotion_response,6.20000000000001,Experience Sampling Questions,1,testar,,Marker Started at 9,Friend Task
ESQ,1556.835252000019,,Future_response,2.000000000000015,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1559.5874965999974,,Past_response,4.300000000000017,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1562.4751365999982,,Intrusive_response,5.0,Experience Sampling Questions,1,testar,,Marker Started at 5,Friend Task
ESQ,1564.0743075000064,,Detailed_response,6.0,Experience Sampling Questions,1,testar,,Marker Started at 6,Friend Task
ESQ,1565.6594478000188,,Knowledge_response,7.0,Experience Sampling Questions,1,testar,,Marker Started at 7,Friend Task
ESQ,1568.095098299993,,Deliberate_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1569.5792287999939,,Words_response,9.0,Experience Sampling Questions,1,testar,,Marker Started at 9,Friend Task
ESQ,1570.963500700018,,Images_response,8.0,Experience Sampling Questions,1,testar,,Marker Started at 8,Friend Task
ESQ,1572.2472188000102,,Self_response,4.0,Experience Sampling Questions,1,testar,,Marker Started at 4,Friend Task
ESQ,1573.649185999995,,Absorption_response,2.0,Experience Sampling Questions,1,testar,,Marker Started at 2,Friend Task
ESQ,1575.0334662999958,,Distracting_response,8.0,Experience Sampling Questions,1,testar,,Marker Started at 8,Friend Task
ESQ,1576.351345300005,,Focus_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1577.6023656000034,,Sounds_response,4.0,Experience Sampling Questions,1,testar,,Marker Started at 4,Friend Task
 
Runtime Mod,13
EXPERIMENT DATA:,Friend Task
Start Time,1577.6198896999995
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1672.685058300005
ESQ,1682.020080300019,,Distracting_response,3.0,Experience Sampling Questions,1,testar,,Marker Started at 3,Friend Task
ESQ,1683.3363063000143,,Problem_response,7.0,Experience Sampling Questions,1,testar,,Marker Started at 7,Friend Task
ESQ,1684.6394766000158,,Focus_response,2.0,Experience Sampling Questions,1,testar,,Marker Started at 2,Friend Task
ESQ,1686.0885850000195,,Absorption_response,3.0,Experience Sampling Questions,1,testar,,Marker Started at 3,Friend Task
ESQ,1687.3396035000042,,Future_response,5.0,Experience Sampling Questions,1,testar,,Marker Started at 5,Friend Task
ESQ,1688.6572913000127,,Images_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1689.9082819000178,,Deliberate_response,6.0,Experience Sampling Questions,1,testar,,Marker Started at 6,Friend Task
ESQ,1691.2426015000092,,Emotion_response,3.0,Experience Sampling Questions,1,testar,,Marker Started at 3,Friend Task
ESQ,1692.6270871000015,,Self_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1693.9442699000065,,Words_response,2.0,Experience Sampling Questions,1,testar,,Marker Started at 2,Friend Task
ESQ,1695.4642217000073,,Past_response,2.0,Experience Sampling Questions,1,testar,,Marker Started at 2,Friend Task
ESQ,1696.815252600005,,Sounds_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1698.0980555000133,,Other_response,4.0,Experience Sampling Questions,1,testar,,Marker Started at 4,Friend Task
ESQ,1699.4005594000046,,Intrusive_response,5.0,Experience Sampling Questions,1,testar,,Marker Started at 5,Friend Task
ESQ,1700.8663963,,Detailed_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1702.5016648000164,,Knowledge_response,4.0,Experience Sampling Questions,1,testar,,Marker Started at 4,Friend Task
 
Runtime Mod,5
EXPERIMENT DATA:,Friend Task
Start Time,1702.5177131000091
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1793.1141242000158
ESQ,1804.167223700002,,Self_response,8.0,Experience Sampling Questions,1,testar,,Marker Started at 8,Friend Task
ESQ,1805.6178748999955,,Distracting_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1807.0195644000196,,Images_response,6.0,Experience Sampling Questions,1,testar,,Marker Started at 6,Friend Task
ESQ,1808.3024319999968,,Words_response,3.0,Experience Sampling Questions,1,testar,,Marker Started at 3,Friend Task
ESQ,1809.8201375000062,,Focus_response,3.0,Experience Sampling Questions,1,testar,,Marker Started at 3,Friend Task
ESQ,1811.137964900001,,Absorption_response,8.0,Experience Sampling Questions,1,testar,,Marker Started at 8,Friend Task
ESQ,1812.7554763999942,,Intrusive_response,3.0,Experience Sampling Questions,1,testar,,Marker Started at 3,Friend Task
ESQ,1814.3071794999996,,Problem_response,6.0,Experience Sampling Questions,1,testar,,Marker Started at 6,Friend Task
ESQ,1815.6765828999924,,Detailed_response,3.0,Experience Sampling Questions,1,testar,,Marker Started at 3,Friend Task
ESQ,1817.1443215000036,,Deliberate_response,7.0,Experience Sampling Questions,1,testar,,Marker Started at 7,Friend Task
ESQ,1819.4446615000197,,Knowledge_response,8.0,Experience Sampling Questions,1,testar,,Marker Started at 8,Friend Task
ESQ,1821.1126525000145,,Sounds_response,3.0,Experience Sampling Questions,1,testar,,Marker Started at 3,Friend Task
ESQ,1823.5484612,,Future_response,5.0,Experience Sampling Questions,1,testar,,Marker Started at 5,Friend Task
ESQ,1825.716717000003,,Past_response,8.0,Experience Sampling Questions,1,testar,,Marker Started at 8,Friend Task
ESQ,1827.015470800019,,Other_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1828.2849989999959,,Emotion_response,4.0,Experience Sampling Questions,1,testar,,Marker Started at 4,Friend Task
 
Runtime Mod,11
EXPERIMENT DATA:,You Task
Start Time,1828.3072960000136
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1918.8143187999958
ESQ,1927.0313636999927,,Words_response,7.0,Experience Sampling Questions,1,testar,,Marker Started at 7,You Task
ESQ,1929.1330748000182,,Intrusive_response,9.0,Experience Sampling Questions,1,testar,,Marker Started at 9,You Task
ESQ,1930.501636800007,,Sounds_response,6.0,Experience Sampling Questions,1,testar,,Marker Started at 6,You Task
ESQ,1931.8028178999957,,Images_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,You Task
ESQ,1933.285214500007,,Self_response,9.0,Experience Sampling Questions,1,testar,,Marker Started at 9,You Task
ESQ,1934.6695346999913,,Deliberate_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,You Task
ESQ,1936.3207855999935,,Absorption_response,5.0,Experience Sampling Questions,1,testar,,Marker Started at 5,You Task
