METADATA:
Experiment Seed,Subject
5428207,testar
Time after setup,1420.9866138999932
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Friend Task
Start Time,1430.3553014000063
Self_Task_Start,1467.2594060999982,,,,Friend Task,1,testar,,,
Start_of_impractical,1471.3182927000162,,,,Friend Task,1,testar,,,
End_of_impractical,1472.8694658000022,,,,Friend Task,1,testar,left,,
Start_of_silent,1476.939501100016,,,,Friend Task,1,testar,,,
End_of_silent,1478.2069990000164,,,,Friend Task,1,testar,left,,
Start_of_unfriendly,1482.2769276000035,,,,Friend Task,1,testar,,,
End_of_unfriendly,1483.8114703000174,,,,Friend Task,1,testar,left,,
Start_of_excitable,1487.8815780000004,,,,Friend Task,1,testar,,,
End_of_excitable,1488.749718200008,,,,Friend Task,1,testar,right,,
Start_of_dominating,1492.818597800011,,,,Friend Task,1,testar,,,
End_of_dominating,1493.4357075000007,,,,Friend Task,1,testar,left,,
Start_of_greedy,1497.4891996000079,,,,Friend Task,1,testar,,,
End_of_greedy,1497.9059148000088,,,,Friend Task,1,testar,right,,
Start_of_unemotional,1501.9756696000113,,,,Friend Task,1,testar,,,
End_of_unemotional,1502.2093384000182,,,,Friend Task,1,testar,left,,
Start_of_shy,1506.2628336999915,,,,Friend Task,1,testar,,,
End_of_shy,1506.546126900008,,,,Friend Task,1,testar,right,,
Start_of_ill-mannered,1510.599386899994,,,,Friend Task,1,testar,,,
End_of_ill-mannered,1510.9333044000086,,,,Friend Task,1,testar,left,,
Start_of_fearful,1514.9864026000141,,,,Friend Task,1,testar,,,
End_of_fearful,1515.0861077000154,,,,Friend Task,1,testar,right,,
Start_of_self-confident,1519.1562171000114,,,,Friend Task,1,testar,,,
End_of_self-confident,1519.4232125999988,,,,Friend Task,1,testar,left,,
Start_of_clumsy,1523.476295200002,,,,Friend Task,1,testar,,,
End_of_clumsy,1523.709517500014,,,,Friend Task,1,testar,right,,
Start_of_unattentive,1527.7799076999945,,,,Friend Task,1,testar,,,
End_of_unattentive,1528.1298955999955,,,,Friend Task,1,testar,left,,
Start_of_pleasant,1532.2000842000125,,,,Friend Task,1,testar,,,
End_of_pleasant,1532.4667407000088,,,,Friend Task,1,testar,left,,
Start_of_ambitious,1536.5368088000105,,,,Friend Task,1,testar,,,
End_of_ambitious,1536.8202081999916,,,,Friend Task,1,testar,left,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,1537.3450362000149
ESQ,1544.7537196000048,,Problem_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1548.3289529000176,,Problem_response,4.4,Experience Sampling Questions,1,testar,,Marker Started at 4,Friend Task
ESQ,1548.3298266000056,,Other_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1551.1310883999977,,Other_response,8.500000000000005,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1551.1314124999917,,Emotion_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1553.7660450999974,,Emotion_response,6.20000000000001,Experience Sampling Questions,1,testar,,Marker Started at 9,Friend Task
ESQ,1553.7670459999936,,Future_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1556.835252000019,,Future_response,2.000000000000015,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1556.8363276000018,,Past_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1559.5874965999974,,Past_response,4.300000000000017,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1559.588493599993,,Intrusive_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1562.4751365999982,,Intrusive_response,5.0,Experience Sampling Questions,1,testar,,Marker Started at 5,Friend Task
ESQ,1562.4762459000049,,Detailed_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1564.0743075000064,,Detailed_response,6.0,Experience Sampling Questions,1,testar,,Marker Started at 6,Friend Task
ESQ,1564.074710100016,,Knowledge_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1565.6594478000188,,Knowledge_response,7.0,Experience Sampling Questions,1,testar,,Marker Started at 7,Friend Task
ESQ,1565.6604403000092,,Deliberate_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1568.095098299993,,Deliberate_response,10.0,Experience Sampling Questions,1,testar,,Marker Started at 10,Friend Task
ESQ,1568.0960756000131,,Words_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1569.5792287999939,,Words_response,9.0,Experience Sampling Questions,1,testar,,Marker Started at 9,Friend Task
ESQ,1569.5795872000162,,Images_start,,Experience Sampling Questions,1,testar,,,Friend Task
ESQ,1570.963500700018,,Images_response,8.0,Experience Sampling Questions,1,testar,,Marker Started at 8,Friend Task
