trial_num,expression,expr_onset,expr_offset,expr_dura,choice,choi_onset,choi_offset,choi_dura,correct_ans,blank,blank_onset,blank_offset,blank_dura
1,14  +  7,0,1.45,1.45,23        21,1.45,2.9,1.45,2, ,2.9,3,0.1
2,19  +  9,3,4.45,1.45,28        26,4.45,5.9,1.45,1, ,5.9,6,0.1
3,14  +  8,6,7.45,1.45,22        20,7.45,8.9,1.45,1, ,8.9,9,0.1
4,17  +  7,9,10.45,1.45,26        24,10.45,11.9,1.45,2, ,11.9,12,0.1
5,16  +  9,12,13.45,1.45,23        25,13.45,14.9,1.45,2, ,14.9,15,0.1
6,1  +  6,15,16.45,1.45,7        5,16.45,17.9,1.45,1, ,17.9,18,0.1
7,8  +  1,18,19.45,1.45,9        11,19.45,20.9,1.45,1, ,20.9,21,0.1
8,4  +  6,21,22.45,1.45,12        10,22.45,23.9,1.45,2, ,23.9,24,0.1
9,4  +  2,24,25.45,1.45,6        8,25.45,26.9,1.45,1, ,26.9,27,0.1
10,1  +  5,27,28.45,1.45,6        8,28.45,29.9,1.45,1, ,29.9,30,0.1
11,4  +  6,30,31.45,1.45,8        10,31.45,32.9,1.45,2, ,32.9,33,0.1
12,7  +  1,33,34.45,1.45,6        8,34.45,35.9,1.45,2, ,35.9,36,0.1
13,1  +  1,36,37.45,1.45,4        2,37.45,38.9,1.45,2, ,38.9,39,0.1
14,9  +  1,39,40.45,1.45,8        10,40.45,41.9,1.45,2, ,41.9,42,0.1
15,6  +  2,42,43.45,1.45,8        6,43.45,44.9,1.45,1, ,44.9,45,0.1
16,17  +  9,45,46.45,1.45,26        28,46.45,47.9,1.45,1, ,47.9,48,0.1
17,19  +  6,48,49.45,1.45,27        25,49.45,50.9,1.45,2, ,50.9,51,0.1
18,19  +  4,51,52.45,1.45,23        25,52.45,53.9,1.45,1, ,53.9,54,0.1
19,14  +  8,54,55.45,1.45,22        24,55.45,56.9,1.45,1, ,56.9,57,0.1
20,17  +  8,57,58.45,1.45,25        23,58.45,59.9,1.45,1, ,59.9,60,0.1
21,18  +  3,75,76.45,1.45,23        21,76.45,77.9,1.45,2, ,77.9,78,0.1
22,19  +  6,78,79.45,1.45,25        23,79.45,80.9,1.45,1, ,80.9,81,0.1
23,14  +  9,81,82.45,1.45,21        23,82.45,83.9,1.45,2, ,83.9,84,0.1
24,16  +  8,84,85.45,1.45,26        24,85.45,86.9,1.45,2, ,86.9,87,0.1
25,15  +  8,87,88.45,1.45,23        25,88.45,89.9,1.45,1, ,89.9,90,0.1
26,2  +  3,90,91.45,1.45,5        7,91.45,92.9,1.45,1, ,92.9,93,0.1
27,5  +  4,93,94.45,1.45,7        9,94.45,95.9,1.45,2, ,95.9,96,0.1
28,7  +  3,96,97.45,1.45,10        12,97.45,98.9,1.45,1, ,98.9,99,0.1
29,3  +  5,99,100.45,1.45,8        10,100.45,101.9,1.45,1, ,101.9,102,0.1
30,3  +  6,102,103.45,1.45,9        7,103.45,104.9,1.45,1, ,104.9,105,0.1
31,17  +  6,105,106.45,1.45,23        25,106.45,107.9,1.45,1, ,107.9,108,0.1
32,18  +  4,108,109.45,1.45,20        22,109.45,110.9,1.45,2, ,110.9,111,0.1
33,18  +  6,111,112.45,1.45,24        26,112.45,113.9,1.45,1, ,113.9,114,0.1
34,18  +  8,114,115.45,1.45,24        26,115.45,116.9,1.45,2, ,116.9,117,0.1
35,18  +  5,117,118.45,1.45,25        23,118.45,119.9,1.45,2, ,119.9,120,0.1
36,4  +  4,120,121.45,1.45,10        8,121.45,122.9,1.45,2, ,122.9,123,0.1
37,2  +  1,123,124.45,1.45,3        5,124.45,125.9,1.45,1, ,125.9,126,0.1
38,1  +  8,126,127.45,1.45,11        9,127.45,128.9,1.45,2, ,128.9,129,0.1
39,7  +  2,129,130.45,1.45,7        9,130.45,131.9,1.45,2, ,131.9,132,0.1
40,2  +  7,132,133.45,1.45,7        9,133.45,134.9,1.45,2, ,134.9,135,0.1
41,2  +  6,150,151.45,1.45,8        6,151.45,152.9,1.45,1, ,152.9,153,0.1
42,2  +  1,153,154.45,1.45,5        3,154.45,155.9,1.45,2, ,155.9,156,0.1
43,3  +  1,156,157.45,1.45,4        2,157.45,158.9,1.45,1, ,158.9,159,0.1
44,9  +  1,159,160.45,1.45,10        12,160.45,161.9,1.45,1, ,161.9,162,0.1
45,3  +  2,162,163.45,1.45,5        3,163.45,164.9,1.45,1, ,164.9,165,0.1
46,15  +  6,165,166.45,1.45,21        19,166.45,167.9,1.45,1, ,167.9,168,0.1
47,16  +  7,168,169.45,1.45,23        21,169.45,170.9,1.45,1, ,170.9,171,0.1
48,17  +  4,171,172.45,1.45,23        21,172.45,173.9,1.45,2, ,173.9,174,0.1
49,19  +  2,174,175.45,1.45,21        23,175.45,176.9,1.45,1, ,176.9,177,0.1
50,13  +  9,177,178.45,1.45,20        22,178.45,179.9,1.45,2, ,179.9,180,0.1
51,2  +  8,180,181.45,1.45,10        8,181.45,182.9,1.45,1, ,182.9,183,0.1
52,5  +  4,183,184.45,1.45,9        7,184.45,185.9,1.45,1, ,185.9,186,0.1
53,2  +  5,186,187.45,1.45,9        7,187.45,188.9,1.45,2, ,188.9,189,0.1
54,5  +  5,189,190.45,1.45,12        10,190.45,191.9,1.45,2, ,191.9,192,0.1
55,2  +  8,192,193.45,1.45,10        12,193.45,194.9,1.45,1, ,194.9,195,0.1
56,15  +  7,195,196.45,1.45,24        22,196.45,197.9,1.45,2, ,197.9,198,0.1
57,16  +  9,198,199.45,1.45,23        25,199.45,200.9,1.45,2, ,200.9,201,0.1
58,19  +  7,201,202.45,1.45,26        24,202.45,203.9,1.45,1, ,203.9,204,0.1
59,19  +  5,204,205.45,1.45,22        24,205.45,206.9,1.45,2, ,206.9,207,0.1
60,19  +  8,207,208.45,1.45,29        27,208.45,209.9,1.45,2, ,209.9,210,0.1
61,6  +  3,225,226.45,1.45,9        7,226.45,227.9,1.45,1, ,227.9,228,0.1
62,1  +  7,228,229.45,1.45,6        8,229.45,230.9,1.45,2, ,230.9,231,0.1
63,4  +  3,231,232.45,1.45,9        7,232.45,233.9,1.45,2, ,233.9,234,0.1
64,5  +  3,234,235.45,1.45,8        6,235.45,236.9,1.45,1, ,236.9,237,0.1
65,1  +  4,237,238.45,1.45,5        7,238.45,239.9,1.45,1, ,239.9,240,0.1
66,12  +  9,240,241.45,1.45,19        21,241.45,242.9,1.45,2, ,242.9,243,0.1
67,13  +  8,243,244.45,1.45,19        21,244.45,245.9,1.45,2, ,245.9,246,0.1
68,16  +  5,246,247.45,1.45,19        21,247.45,248.9,1.45,2, ,248.9,249,0.1
69,17  +  5,249,250.45,1.45,22        24,250.45,251.9,1.45,1, ,251.9,252,0.1
70,15  +  9,252,253.45,1.45,24        26,253.45,254.9,1.45,1, ,254.9,255,0.1
71,15  +  7,255,256.45,1.45,22        20,256.45,257.9,1.45,1, ,257.9,258,0.1
72,18  +  7,258,259.45,1.45,25        23,259.45,260.9,1.45,1, ,260.9,261,0.1
73,18  +  9,261,262.45,1.45,27        29,262.45,263.9,1.45,1, ,263.9,264,0.1
74,19  +  3,264,265.45,1.45,22        20,265.45,266.9,1.45,1, ,266.9,267,0.1
75,16  +  6,267,268.45,1.45,24        22,268.45,269.9,1.45,2, ,269.9,270,0.1
76,1  +  6,270,271.45,1.45,9        7,271.45,272.9,1.45,2, ,272.9,273,0.1
77,5  +  2,273,274.45,1.45,5        7,274.45,275.9,1.45,2, ,275.9,276,0.1
78,5  +  1,276,277.45,1.45,8        6,277.45,278.9,1.45,2, ,278.9,279,0.1
79,1  +  4,279,280.45,1.45,3        5,280.45,281.9,1.45,2, ,281.9,282,0.1
80,4  +  2,282,283.45,1.45,4        6,283.45,284.9,1.45,2, ,284.9,285,0.1
