stimulus type,image,trial type,correct_ans,expr_onset
FACES,FC_050_F25.png,non-target,2,0
FACES,FC_064_F32.png,non-target,2,2.5
FACES,FC_041_M21.png,non-target,2,5
FACES,FC_038_F19.png,non-target,2,7.5
FACES,FC_034_F17.png,non-target,2,10
FACES,FC_001_M1.png,non-target,2,12.5
FACES,FC_046_F23.png,non-target,2,15
FACES,FC_096_F48.png,non-target,2,17.5
FACES,FC_009_M5.png,non-target,2,20
FACES,FC_096_F48.png,target,1,22.5
FACES,FC_067_M34.png,non-target,2,25
FACES,FC_067_M34.png,target-lure,2,27.5
FACES,FC_091_M46.png,non-target,2,30
FACES,FC_020_F10.png,non-target,2,32.5
FACES,FC_091_M46.png,target,1,35
FACES,FC_100_F101.png,non-target,2,37.5
FACES,FC_024_F12.png,non-target,1,40
FACES,FC_100_F101.png,target,2,42.5
FACES,FC_069_M35.png,non-target,2,45
FACES,FC_016_F8.png,non-target,2,47.5
FACES,FC_016_F8.png,target-lure,2,50
FACES,FC_088_F44.png,non-target,2,52.5
FACES,FC_094_F47.png,non-target,2,55
FACES,FC_088_F44.png,target,1,57.5
FACES,FC_070_F35.png,non-target,2,60
FACES,FC_010_F5.png,non-target,2,62.5
FACES,FC_084_F42.png,non-target,2,65
FACES,FC_057_M29.png,non-target,2,67.5
FACES,FC_057_M29.png,target-lure,2,70
FACES,FC_084_F42.png,target-lure,2,72.5
FACES,FC_015_M8.png,non-target,2,75
FACES,FC_011_M6.png,non-target,2,77.5
FACES,FC_015_M8.png,target,1,80
FACES,FC_079_M40.png,non-target,2,82.5
FACES,FC_011_M6.png,target-lure,2,85
