stimulus type,image,trial type,correct_ans,expr_onset
FACES,FC_043_M22.png,non-target,2,0
FACES,FC_015_M8.png,non-target,2,2.5
FACES,FC_063_M32.png,non-target,2,5
FACES,FC_015_M8.png,target,1,7.5
FACES,FC_082_F41.png,non-target,2,10
FACES,FC_082_F41.png,target-lure,2,12.5
FACES,FC_014_F7.png,non-target,2,15
FACES,FC_041_M21.png,non-target,2,17.5
FACES,FC_049_M25.png,non-target,2,20
FACES,FC_041_M21.png,target,1,22.5
FACES,FC_073_M37.png,non-target,2,25
FACES,FC_078_F39.png,non-target,2,27.5
FACES,FC_064_F32.png,non-target,2,30
FACES,FC_101_M100.png,non-target,2,32.5
FACES,FC_078_F39.png,target-lure,2,35
FACES,FC_101_M100.png,target,1,37.5
FACES,FC_068_F34.png,non-target,2,40
FACES,FC_025_M13.png,non-target,2,42.5
FACES,FC_095_M48.png,non-target,2,45
FACES,FC_025_M13.png,target,1,47.5
FACES,FC_007_M4.png,non-target,2,50
FACES,FC_023_M12.png,non-target,2,52.5
FACES,FC_036_F18.png,non-target,2,55
FACES,FC_039_M20.png,non-target,2,57.5
FACES,FC_023_M12.png,target-lure,2,60
FACES,FC_088_F44.png,non-target,2,62.5
FACES,FC_088_F44.png,target-lure,2,65
FACES,FC_028_F14.png,non-target,2,67.5
FACES,FC_097_M97.png,non-target,2,70
FACES,FC_005_M3.png,non-target,2,72.5
FACES,FC_076_F38.png,non-target,2,75
FACES,FC_011_M6.png,non-target,2,77.5
FACES,FC_021_M11.png,non-target,2,80
FACES,FC_011_M6.png,target,1,82.5
FACES,FC_076_F38.png,target-lure,2,85
