stimulus type,image,trial type,correct_ans,expr_onset
SCENES2,PL_073_P53.1.png,non-target,2,0
SCENES2,PL_017_SCENE_03.png,non-target,2,2.5
SCENES2,PL_021_SCENE_07.png,non-target,2,5
SCENES2,PL_093_O57.1.png,non-target,2,7.5
SCENES2,PL_026_SCENE_24.png,non-target,2,10
SCENES2,PL_018_SCENE_04.png,non-target,2,12.5
SCENES2,PL_026_SCENE_24.png,target,1,15
SCENES2,PL_022_SCENE_08.png,non-target,2,17.5
SCENES2,PL_074_P60.1.png,non-target,2,20
SCENES2,PL_023_SCENE_09.png,non-target,2,22.5
SCENES2,PL_074_P60.1.png,target,1,25
SCENES2,PL_028_SCENE_35.png,non-target,2,27.5
SCENES2,PL_024_SCENE_10.png,non-target,2,30
SCENES2,PL_090_O47.1.png,non-target,2,32.5
SCENES2,PL_078_P71.1.png,non-target,2,35
SCENES2,PL_090_O47.1.png,target,1,37.5
SCENES2,PL_078_P71.1.png,target,1,40
SCENES2,PL_015_SCENE_01.png,non-target,2,42.5
SCENES2,PL_015_SCENE_01.png,target-lure,2,45
SCENES2,PL_094_O6.1.png,non-target,2,47.5
SCENES2,PL_094_O6.1.png,target-lure,2,50
SCENES2,PL_080_O1.1.png,non-target,2,52.5
SCENES2,PL_101_O89.1.png,non-target,2,55
SCENES2,PL_016_SCENE_02.png,non-target,2,57.5
SCENES2,PL_101_O89.1.png,target,1,60
SCENES2,PL_077_P70.1.png,non-target,2,62.5
SCENES2,PL_098_O80.1.png,non-target,2,65
SCENES2,PL_071_P5.1.png,non-target,2,67.5
SCENES2,PL_077_P70.1.png,target-lure,2,70
SCENES2,PL_082_O11.1.png,non-target,2,72.5
SCENES2,PL_095_O65.1.png,non-target,2,75
SCENES2,PL_088_O42.1.png,non-target,2,77.5
SCENES2,PL_088_O42.1.png,target-lure,2,80
SCENES2,PL_095_O65.1.png,target-lure,2,82.5
SCENES2,PL_075_P63.1.png,non-target,2,85
